Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Show de delfines,"Excelente Show de delfines, pasamos un buen momento disfrutando del acuario, tocando mantarayas...el momento cumbre fue el show de los delfines por la tarde",Familia,5,"Ciudad Juárez, México",14 de agosto de 2025,ago de 2025
Nado con delfines es lo mejor,"Gran experiencia el nado con el delfines. Los animales están muy cuidados y se aprecia que tienen precaución en mantenerlos bien. El agua está helada, pero con el clima de Cancún se soporta muy bien. La experiencia Trek es muy buena. No es fácil bajar, porque se siente un poco desconcertante los cambios de presión, pero siguiendo las instrucciones de los guías se hace sin problema. Solo estén preparados para una sensación rara. No es una actividad que puedan hacer niños, no tanto por la edad sino por el requerimiento físico. Los niños necesitan tener fuerza para carga el casco sobre sus hombros y el casco pesa en el agua 6 kg, entonces no solo consideren la edad sino las dimensiones de los niños. El acuario está pequeño, pero muy bonito. La parte de contacto es muy interesante al poder tocar algunas especies como estrellas, pepinos y liebres marinas. Es altamente recomendable el show de delfines de la tarde.",Familia,5,Maria del Carme... M,3 de agosto de 2025,jul de 2025
Mediocre,"Cuesta alrededor de $ 65 para una familia de 4, lo cual no está mal, pero el acuario es un poco pequeño y no hay mucho que ver. Parece grande ya que el restaurante y el área de delfines ocupan la mayor parte del espacio. Fue divertido ver a los delfines y tocar mantarrayas y estrellas de mar, pero eso es todo. Estuvimos allí aproximadamente entre una hora y una hora y media.",Familia,3,"Dubái, Emiratos Árabes Unidos",11 de julio de 2025,jul de 2025
Visita al acuario de compras,"Tuvimos un tiempo fantástico en el acuario en Cancún! El lugar estaba impecable y bien cuidado, mostrando un verdadero compromiso con la limpieza y el cuidado de la vida silvestre. El personal estaba bien informado y claramente apasionado por la vida marina, haciendo que la experiencia fuera educativa y agradable. Gran relación calidad-precio — sin duda merece la pena una visita si estás en la zona!",Pareja,5,JT,11 de julio de 2025,jul de 2025
Gran encuentro de delfines pero fotos caras,"Tuvimos un tiempo increíble en este encuentro de delfines! Compramos el paquete de viaje en el que no gastamos mucho debido a tener vales que cubrían el costo de 3. 5 de 5 personas en nuestro grupo. El encuentro duró solo 30 minutos a menos que compre un paquete de nivel superior, por supuesto. No podíamos tomar nuestras propias fotos y tenían fotógrafos haciéndolas por nosotros. Los paquetes de fotos cobran una tarifa por persona, lo que hizo que nuestro paquete más bajo costara $ 254 para 5 personas. Si no fuera por nuestro bajo costo para el encuentro de delfines no habríamos comprado un paquete de fotos. Sin embargo, las compramos y las fotos son bonitas pero muy caras!",Familia,3,Ria,18 de junio de 2025,jun de 2025
Visita el restaurante en el acuario!,"Había 6 adultos en nuestra fiesta, y visitamos el acuario interactivo una tarde. Fue un poco difícil de encontrar, ya que se encuentra en el distrito comercial de Isla y no está claro desde la carretera principal. Fue entre Louis Vuitton y Johnny Rockets. El acuario en sí era agradable y en su mayoría con aire acondicionado. Los delfines estaban afuera. Nos perdimos el show de delfines, que creo que era solo dos veces al día. La verdadera sorpresa fue el restaurante. Decidimos tomar cócteles, y fueron los mejores que tuvimos durante todo el viaje. Habíamos comido en otro lugar, pero nos trajeron patatas fritas frescas y 3 tipos diferentes de ""salsa"", todos de cortesía. Encontramos espacio en nuestras barrigas, y las papas fritas parecían ser auténticas mexicanas. El servicio era de primera categoría! El restaurante tenía vistas a la piscina de delfines, y pudimos presenciar a las familias haciéndose fotos con los delfines. Recomiendo esta parada durante su viaje a Cancún.",Amigos,5,lisa b,13 de junio de 2025,jun de 2025
HORRIBLE EXPERIENCIA. NO VAYAS!!!!!!!!,Este lugar es horrible. NO VAYAS. Hicimos la natación de delfines y caminata por el mar y fue solo una sesión de fotos. Las fotos eran más que la aventura. Los precios de las fotos no están a la par con los otros lugares de la ciudad. Pagamos la mitad del precio en otro baño de delfines donde realmente llegamos a nadar con ellos en lugar de solo posar para fotos.,Familia,1,1 aporte,26 de mayo de 2025,abr de 2025
Maravillosa experiencia,"Sea Trek fue increíble te pusieron un casco de burbujas y bajas unos 20 pies bajo el agua. Los peces nadan a tu alrededor. Los peces globo eran mucho más grandes de lo que pensaba. Tenemos que acariciar a una Mantarraya y ellos alimentaron al gigante frente a nosotros. Fue realmente genial, y los buceadores que te guían alrededor eran muy amables y serviciales. Realmente lo hicieron una experiencia tan agradable y te sentiste seguro con su guía. Cuando terminamos allí para nuestras instrucciones para el encuentro de delfines. Esto también fue increíble porque había 6 personas en lugar de 4 tuvimos un paseo de aleta gratis junto con 40 minutos en la piscina con los delfines y el empuje superman donde dos delfines te empujan fuera del agua por tus pies. Fue una experiencia increíble y me encantó cada minuto. Una vez más, el personal para la experiencia fue tan increíble y dio instrucciones muy claras y me gustó mucho aprender sobre cada delfín individual con el que estábamos jugando. Después de nuestra diversión con los delfines recorrimos el acuario era pequeño pero muy fresco. No tomé fotos porque llevábamos puestos profesionales. Después de eso hicimos algunas compras en la tienda de regalos. En general, valió la pena el dinero y una experiencia inolvidable. El personal en cada atracción era muy amable y solo una experiencia increíble alrededor.",Amigos,5,"London, Canadá",24 de mayo de 2025,abr de 2025
"Chico, descuidado y mala atención.","Una experiencia que debería ser placentera resulta desagradable.Sin duda disfrute ver a mi hijo interactuar, pero ver a los animales tan descuidados, ver que en AÑOS no han mejorado absolutamente nada, que sigue siendo tan pequeño y sobretodo que cada vez es más nefasto el staff; epecialmente la gente que se encuentra en el área interactiva y donde se hace la fila para el show de delfines; no les preguntes NADA porque ponen caras y contestan de mala gana... o que tal una chica de lentes, blanquita que su trabajo es ""organizar"" la fila, se pelea con TODA LA GENTE! No es casualidad que todos discutan con ella, no tiene tacto, rezonga TODO, conmigo discutio y no dejo de responderme mal, definitivamente  mal educada, sumado a que se puso a señalarme con sus compañeras sin discresión ya manera de seguir haciendo mas grande el pleito, en fin, si no tuviera esa promoción de local, sentiria demasiado enojo y decepcion, pero con el precio entiendo mucho mas el por que esta tan descuidado todo, no lo recomiendo en absoluto.",Familia,1,"Cancún, México",30 de abril de 2025,abr de 2025
Acuario interactivo cancun,"Era realmente encantador y tenía una gran selección de peces en el acuario, así como los que se pueden tocar. Era perfecto para mi bebé de 9 meses, ya que tenía aire acondicionado y también lo suficiente para ver para mantenernos todos ocupados. Pudimos ver los delfines en la piscina. Puedes actualizar tus entradas para nadar con ellos, pero decidimos no hacerlo. Parecía muy divertido y tiene un restaurante en el lugar mirando a los delfines.",Familia,5,"Londres, UK",25 de abril de 2025,abr de 2025
