Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Zona muy bonita y segura,"Hermoso barrio, tan bonito todo, muchos restaurantes , es como cualquier restaurante es genial, desde un simple hasta un lujo, todo genial, las calles son muy encantadoras, muy verdes, se siente como si no hubiera contaminación en absoluto, sé que tenía, pero no lo sentía. Nos alojamos en un hotel luego airbnb, todo muy bonito, todo bien hecho, buenas calles, super seguro , muchas cosas que hacer alrededor",Pareja,5,IVAN M,22 de marzo de 2025,mar de 2025
¡Qué buen lugar!,"Esta semana - fin, fuimos a CDMX a hacer nuestro pasaporte francés, nos alojamos en un hotel en Polanco cerca de la embajada francesa, pero nunca pensamos que la experiencia sería tan buena. El lugar es maravilloso, es una mezcla de ciudad moderna, ciudad vieja mexicana y tienen muy buena vibra que se puede comparar con la vibra de SanFrasisco pero con ese pequeño toque mexicano. El lugar está lleno de turistas por lo que de ustedes vienen de otro país, la probabilidad de ver a alguien que vienen de su país es muy alta y eso es algo muy positivo para mí. Entonces hablemos de la diversidad de los restaurantes, desde el francés al italiano, pasando por el portugués y el restaurante mexicano, todo lo que necesita gastronómicamente hablando está aquí en Polanco (recomiendo ir a comer a las 7 donde la vibra está en su máximo potencial). Después de la comida puedes ir a disfrutar de una increíble sesión de compras, con una calle que tiene todas las marcas de lujo como LV, GG, etc, el palacio de hierro más grande de México y Antara a 5 minutos del palacio de hierro, hay todo lo que necesitas en Polanco para una buena sesión de compras. Para concluir, Polanco es el lugar perfecto para un fin de semana en el que planeas gastar algo de dinero pero no lo recomiendo para relajarte.",Familia,4,"Zapopan, México",11 de noviembre de 2024,nov de 2024
Bonito Barrio,Muy bonito barrio. Se siente como ponerse audifonos y momentaneamente no sentir el caos de una ciudadtan grande como CDMX,Familia,5,"Milán, Italia",4 de noviembre de 2024,nov de 2024
Mi lugar fav de CDMX,Amo todo el barrio tiene experiencias gastronómicas muy buenas. 7Sus edificios son muy bonitos y salir de noche es toda una experiencia agradable.,Pareja,5,"Morelia, México",17 de julio de 2024,jul de 2024
Zona muy bonita (exclusiva),"Esta zona es uno de los mejores barrios, pero los hoteles son más caros que otros. Barrio seguro, cuenta con las embajadas, y las patrullas de seguridad de todos los niveles siempre presentes y visuales. Tiene “Los Mejores Restaurantes” de la Ciudad de México, como Pujol y Quintonil”.Recomiendo encarecidamente alojarse en la zona, o al menos caminar por las bonitas calles y visitar los parques.",Pareja,5,Estados Unidos,26 de abril de 2024,abr de 2024
La mejor parte de la ciudad,"Es simplemente una de las mejores zonas de la ciudad.Excelente arquitectura, increíbles opciones de comida, tiendas y también se siente seguro y limpio.",Pareja,5,"Melbourne, Australia",18 de abril de 2024,abr de 2024
Colonia exclusiva de la Ciudad de México,"Polanco es un distrito céntrico en la Ciudad de México que cuenta con muchos buenos hoteles, restaurantes, tiendas y casas. La zona es segura y es un gran lugar para caminar. Aunque en el corazón de la ciudad hay algunos parques pequeños y uno más grande al otro lado de La Reforma.",Solitario,5,Colonia exclusiva de la Ciudad de México,9 de marzo de 2024,mar de 2024
"Barrio con comercios, restaurantes, hoteles, bares, cafés, centros comerciales y museos","El barrio de Polanco es una zona al poniente de la ciudad de México con una gran variedad de restaurantes para todos los gustos con costos de medio a elevados. Tiendas de alta gama, ropa y joyerías. Cerca de Chapultepec y de la zona de museos. Al lado del Auditorio Nacional y cerca del museo Soumaya. Hoteles de lujos. Aun quedan algunas casas estilo California de su época como barrio residencial. Vale la pena visitar si te encuentras en la ciudad.",Amigos,5,"Ciudad de México, México",25 de agosto de 2023,ago de 2023
Debes verlo,"Este lugar es imprescindible. Tómese su tiempo y camine por todas las calles alrededor del parque Lincoln. Muchos buenos lugares para comer y beber. ¡Puedes ver mansiones, esculturas, un aviario, Walmart, centros comerciales de techo abierto, parques infantiles y tantos árboles!",,5,"West Des Moines, IA",8 de julio de 2023,jul de 2023
Polanco una región muy exclusiva y atractiva dentro de la Ciudad de México,"La boda de la hijastra. Recomiendo encarecidamente el Hyatt Regency en Polanco/Ciudad de México. Hay un montón de excelentes restaurantes, muchos de los cuales ofrecen cenas en el patio. Zona muy segura dentro de la Ciudad con muchas calles arboladas y un gran parque similar al Central Park. Buen acceso al transporte, pero recomendaría encarecidamente taxis o servicios de Uber a menos que hable español con fluidez.",,5,Polanco una región muy exclusiva y atractiva dentro de la Ciudad de México,15 de abril de 2023,abr de 2023
Polanco está bien,"Hay muchas tiendas que se ven del primer mundo, tienen muy bien cuidadas sus calles, noté que hay más vigilancia que lo habitual.",,4,"Lima, Perú",7 de marzo de 2023,oct de 2022
Maravillosa y moderna Polanco,"Las tiendas de lujo más famosas del mundo, los centros comerciales más bellos, la ""ciudad corporativa"" dentro de CDMX, muy lindos museos y algunos de los mejores restoranes del mundo, es lo que nos ofrece Polanco. Tardé en conocer esta zona de Ciudad de México ya que anteriormente siempre me inclinaba por la zona histórica o Chapultepec, pero cuando la conocí, México me siguió enamorando.",,5,"Buenos Aires, Argentina",20 de febrero de 2023,ene de 2023
Zona para alojarse y caminar y caminar,"Estuvimos en DF 5 días y alquilamos en Polanco, muy recomendable, Zona moderna con excelente arquitectura, calles arboladas, centros comerciales, parques, gastronomía, museos, etc, y segura, a pocos minutos del metro",,5,"Buenos Aires, Argentina",11 de febrero de 2023,feb de 2023
Excelente vecindario exclusivo para caminar,"Es el Upper East Side, Mayfair en Londres o Brentwood en Los Ángeles. Muy exclusivo, muy seguro, pero solo cadenas minoristas más globales. La alegría es caminar, una increíble variedad de restaurantes y la accesibilidad a casi todas partes en CDMX.",Pareja,5,"Nueva York, Estado de Nueva York",22 de enero de 2023,ene de 2023
El mejor vecindario para visitantes internacionales a la Ciudad de México por seguridad y lugares de interés,"Una amiga australiana que pasó su año sabático en la Ciudad de México nos recomendó quedarnos en Polanco. No podríamos haber encontrado un lugar mejor como nuestra ""base de operaciones"" para la visita de 8 días. Nos alojamos en un AirBnB en el complejo residencial y comercial Miyana, que tiene una ubicación central para todos los destinos turísticos y es extremadamente conveniente porque hay tiendas (supermercados, salones, etc.). Llevamos Ubers A TODAS PARTES, lo cual fue rápido, barato y muy conveniente. El viaje promedio de Uber fue de alrededor de US$ 4 por viaje. Mucho más fácil, más seguro y más rápido que tomar el transporte público. Otros excelentes barrios para hospedarse y visitar son La Condesa y Roma.",,5,El mejor vecindario para visitantes internacionales a la Ciudad de México por seguridad y lugares de interés,11 de enero de 2023,ene de 2023
Vecindario fácil para basar sus vacaciones,"Acabo de terminar una estadía de 2 semanas en la Ciudad de México. Muy contento de haber optado por ese barrio como base. Ambiente muy limpio y seguro, hemos estado saliendo todas las noches sin ningún problema, una buena variedad de restaurantes (un poco caros pero no fuera de este mundo), me encantaron los parques agradables y en la mayoría de los casos estás en un 10 Viaje en Uber USD desde otras partes interesantes de la ciudad (y Uber aquí es LA forma de viajar para los turistas). ¡Disfrutar!",Familia,5,"Acabo de terminar una estadía de 2 semanas en la Ciudad de México. Muy contento de haber optado por ese barrio como base. Ambiente muy limpio y seguro, hemos estado saliendo todas las noches sin ningún problema, una buena variedad de restaurantes (un poco caros pero no fuera de este mundo), me encantaron los parques agradables y en la mayoría de los casos estás en un 10 Viaje en Uber USD desde otras partes interesantes de la ciudad (y Uber aquí es LA forma de viajar para los turistas). ¡Disfrutar!",6 de enero de 2023,ene de 2023
Polanco es Soumaya,"Si vas a Polanco, no dudes en ir al Museo de Soumaya, junto al acuario que se encuentra al frente, lugar bastante comercial, con varias Plazas. Recorrer el parque junto a la antigua linea del tren, antes de llegar a Soumaya.",,4,"Santiago, Chile",13 de diciembre de 2022,nov de 2022
Polanco una joya en la ciudad,"Este es un vecindario dentro de la ciudad que alberga excelentes restaurantes, tiendas, el Acuario y varios museos de arte. La accesibilidad para peatones es buena y ofrece una hermosa arquitectura moderna junto con algunas estructuras tradicionales. Fuimos específicamente para ir al Acuario, que se revisará por separado, pero nos quedamos todo el día porque había mucho que hacer y ver.",,5,"Monroe, Estado de Nueva York",9 de diciembre de 2022,nov de 2022
La mejor parte de la ciudad,"Si te gusta Rodeo Drive en Beverly Hills, esto pondrá ese barrio marginal en su lugar. Mucho más bonito. Todos los mejores restaurantes y tiendas de gama alta están aquí. La gente es amable y el barrio tiene muchos parques pequeños y áreas verdes. Volveré.",,5,Ethan K,2 de diciembre de 2022,nov de 2022
Amo,Amo A polanco yo vivo ahi masaric inpresionante mi escuela colegio romera mejor escuela de mundo mejor,,5,Elías A,18 de noviembre de 2022,nov de 2022
Excelente gastronomía,"Excelebte gastronomía, limpieza y seguridad. Mal el tema discriminatorio, en  algunos centros comerciales.",,4,Carolina P,15 de noviembre de 2022,nov de 2022
Grandes restaurantes en la zona.,Este barrio tiene muchos restaurantes y tiendas y está en la línea de metro. Fácil de pasear y un vecindario seguro.,,4,"Phoenix, AZ",12 de septiembre de 2022,sept de 2022
Espectacular ambiente y seguridad.!!,"La verdad toda el area deRestaurantes y hoteles muy bien, mucha seguridad y áreas muy limpias.Buen servicio de transporte.",Pareja,5,"Madrid, España",30 de agosto de 2022,ago de 2022
Infinidad de Opciones a tu Alcance.,"Si vives fuera de la CDMX y vas de visita, hospedarte aquí no es la opción más económica. Sin embargo, si tienes el presupuesto, no encontrarás una mejor opción.A tu alcance tendrás hoteles de primer nivel, restaurantes de todo tipo, tiendas departamentales y diversión, como diferentes teatros, auditorios, etc.Aparte, es una de las zonas en la ciudad donde puedes caminar con relativa tranquilidad.",,5,"Hermosillo, México",17 de agosto de 2022,ago de 2022
Suave tal vez,"Hemos estado aquí varias veces para comer o simplemente caminar. Es un barrio residencial muy agradable acompañado de tiendas realmente lujosas (William Sonoma, BMW, etc.). Hemos comido en varios lugares aquí y todos son demasiado llamativos para nosotros, ¡pero podrían ser exactamente lo que necesitas!",,3,turksandallys,31 de julio de 2022,may de 2022
Vecindario exclusivo,"Bonito barrio exclusivo! Restaurantes y vida nocturna accesible fácilmente. También más exclusivo en precio para restaurantes. Un poco más lejos del centro y del centro histórico, pero los ubers son relativamente baratos en cdmx. Bonito lugar para pasear.",,5,"Houston, TX",28 de julio de 2022,jul de 2022
Debería haberse quedado en Polanco,"Cuando estaba investigando por primera vez sobre dónde hospedarme en la Ciudad de México, todo lo que leía decía que Reforma, Condesa, Roma, el Zócalo y Polanco eran los mejores vecindarios para hospedarse. Terminamos quedándonos en Reforma, a 3 cuadras del Ángel. La ubicación era agradable, había restaurantes y vida nocturna, etc. Nos quedamos en Reforma porque estaba ubicado en el centro y las reseñas recomendaron que el transporte de Uber sería más económico. Por eso no me quedé en Polanco. Si tuviera que hacerlo de nuevo, me quedaría en Polanco. Polanco es exclusivo con un toque europeo. Hay muchos restaurantes y cafeterías en todo Polanco. El restaurante tiende a ser más exclusivo, $ 15 - 30 por plato. Aunque Polanco está más lejos del Zócalo y de algunos lugares de interés turístico, el costo es relativo, Uber es extremadamente económico, en promedio, mi costo de Uber fue de $ 4 - $ 6, lo máximo que pagué por Uber fue de $ 9.",,5,"Cuando estaba investigando por primera vez sobre dónde hospedarme en la Ciudad de México, todo lo que leía decía que Reforma, Condesa, Roma, el Zócalo y Polanco eran los mejores vecindarios para hospedarse. Terminamos quedándonos en Reforma, a 3 cuadras del Ángel. La ubicación era agradable, había restaurantes y vida nocturna, etc. Nos quedamos en Reforma porque estaba ubicado en el centro y las reseñas recomendaron que el transporte de Uber sería más económico. Por eso no me quedé en Polanco. Si tuviera que hacerlo de nuevo, me quedaría en Polanco. Polanco es exclusivo con un toque europeo. Hay muchos restaurantes y cafeterías en todo Polanco. El restaurante tiende a ser más exclusivo, $ 15 - 30 por plato. Aunque Polanco está más lejos del Zócalo y de algunos lugares de interés turístico, el costo es relativo, Uber es extremadamente económico, en promedio, mi costo de Uber fue de $ 4 - $ 6, lo máximo que pagué por Uber fue de $ 9.",19 de julio de 2022,jul de 2022
Lindo,"Caminar por las calles de este barrio tradicional es fantástico, muchos lugares para comer muy bien y tomarse un buen café",,5,"Bogotá, Colombia",28 de junio de 2022,jun de 2022
Genial para un paseo,"Como local, me encanta caminar por las esquinas de Polanco. Ofrece una gran variedad de restaurantes, tiendas y rincones para disfrutar de una gran tarde ya sea con amigos, familia o con tu pareja.",,5,México,27 de junio de 2022,feb de 2022
Muy buena sección de la ciudad.,"Polanco tiene una ubicación céntrica ya poca distancia a pie de muchas atracciones. (Parque de Chapultepec, Castillo, Monumento a los Héroes, estatua de la victoria alada y fuente. Excelentes restaurantes, hoteles de alta gama",,5,"Littleton, CO",13 de junio de 2022,may de 2022
Bonito barrio,"Es un barrio que lo tiene todo, mucha vida nocturna, cafés, restaurantes a cualquier hora y muy bonito y de los más seguros de la ciudad, vale mucho la pena recorrerlo a pie.",,4,"Culiacán, México",19 de mayo de 2022,abr de 2022
Hermosa zona rica,"Toda esta área no está abarrotada: los edificios/casas no están abarrotados. Es espacioso, caro, hermoso. Me hubiera encantado pasar más tiempo paseando.",,5,"Chapel Hill, North Carolina",20 de abril de 2022,abr de 2022
Hermosa visita en bus,"Recorrimos todo el barrio Polanco con Turibus. Divino el barrio, lleno de verde, hermosos restaurantes, negocios de nivel internacional muy alto. Para los argentinos nos resulta caro todo allí, pero es lindo recorrer y conocer un poco más esta ciudad maravillosa",,4,"Rosario, Argentina",11 de abril de 2022,mar de 2022
Barrio espectacular,"Es uno de los mejores barrios de Ciudad de México, tiene un gran centro comercial, museos y los mejores restaurantes",,5,"Bogotá, Colombia",17 de febrero de 2022,dic de 2021
Vale la pena una visita,"Esto definitivamente vale la pena visitar la Ciudad de México. Un gran lugar para caminar, te da una idea de cómo vive la ""otra mitad"". También se ha convertido en el centro de la comunidad judía.",,4,"Esto definitivamente vale la pena visitar la Ciudad de México. Un gran lugar para caminar, te da una idea de cómo vive la ""otra mitad"". También se ha convertido en el centro de la comunidad judía.",21 de enero de 2022,ene de 2022
Bonito barrio,"Polanco es el lugar de lujo en la Ciudad de México. Hermosas tiendas caras, bonitos edificios de apartamentos y restaurantes. Pero parece que algunas de las tiendas están cerradas o no funcionan. En general, fue una experiencia ver el “Beverly Hills” de la Ciudad de México.",Solitario,5,"Polanco es el lugar de lujo en la Ciudad de México. Hermosas tiendas caras, bonitos edificios de apartamentos y restaurantes. Pero parece que algunas de las tiendas están cerradas o no funcionan. En general, fue una experiencia ver el “Beverly Hills” de la Ciudad de México.",16 de enero de 2022,dic de 2021
PARA ANDAR,"Este un sector es de los más bonitos que he conocido en el D.F., es muy agradable para caminar, comer, comprar; vale la pena dedicar un tiempo para pasear por allí.",,5,"Bogotá, Colombia",17 de diciembre de 2021,nov de 2021
"Hermosa zona, muy parecida a Beverly Hills.","Si necesita un anillo Tiffany, o cualquier diseñador de alta gama, lo encontrará en Polanco. Además, algunos de los mejores restaurantes de la Ciudad de México se encuentran en esta zona. Nos encantó aquí y comimos algo realmente bueno.",,5,"Si necesita un anillo Tiffany, o cualquier diseñador de alta gama, lo encontrará en Polanco. Además, algunos de los mejores restaurantes de la Ciudad de México se encuentran en esta zona. Nos encantó aquí y comimos algo realmente bueno.",14 de diciembre de 2021,dic de 2021
no tan interesante,"Es cierto que esta es una zona próspera con apartamentos, hoteles, tiendas y restaurantes de alta gama. También es muy limpio, seguro y bastante agradable. Pero aparte del Museo Soumaya (que es genial), no hay mucho interés para el turista en general.",Solitario,3,"Miami Beach, FL",20 de noviembre de 2021,oct de 2021
Zona muy exclusiva para conocer,Aqui radican las familias de abolengo. están rodeados de muchos círculos influyentes. Hasta un parque donde la mayoría son judios.,,4,"Ciudad de México, México",27 de octubre de 2021,mar de 2021
El Beverly Hills de la ciudad de México,"Originalmente fuimos a cenar con ella en el increíble restaurante francés en el hotel intercontinental Presidente... cuando extendimos nuestro viaje no pudimos quedarnos en el gran hotel ciudad de México, así que nos mudamos a Polanco y al intercontinental... . restaurantes y compras de primera….",,5,El Beverly Hills de la ciudad de México,20 de octubre de 2021,oct de 2021
Lindo Barrio,"Ubicado al Norte de la ciudad es un lindo y seguro barrio, con muchos lugares para comer y comprar. Vale la pena visitar",,4,"Guayaquil, Ecuador",28 de septiembre de 2021,sept de 2021
Exclusivo,"Barrio exclusivo con restaurantes elegantes y embajadas. Caminando escuchamos mucho inglés hablado, más que en cualquier otra parte de la CDMX.",Pareja,4,"Savannah, GA",10 de septiembre de 2021,sept de 2021
Zona acogedora,"Polanco es una gran área con muchos restaurantes, tiendas y bares. Si desea disfrutar de la vida de la ciudad en la Ciudad de México, entonces reserve un hotel en este vecindario.",,4,"Polanco es una gran área con muchos restaurantes, tiendas y bares. Si desea disfrutar de la vida de la ciudad en la Ciudad de México, entonces reserve un hotel en este vecindario.",10 de septiembre de 2021,sept de 2021
