Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia,Ciudad,Atraccion,TituloReview
Promiedo la verdad no para volver,"El museo la verdad  no está tan lindo y les falta mejorar muchas cosas… para empezar deberían mejorar el aire acondicionado se siente muy sofocado adentro de las salas .. ( la única zona donde había aire acondicionado era la tienda de souvenirs) y aparte muy pocas piezas en exhibición.. y solo hay 2 salas y todo lo demás es zona arqueológica… se ve que el gobierno y INAH no le meten tanto presupuesto, aunque también lo bueno es que tiene bonita fachada .. la verdad no volvería a menos de que lo mejoraran.",desconocido,3,anonimo,2025-08-09,2025-08-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Promiedo la verdad no para volver. El museo la verdad  no está tan lindo y les falta mejorar muchas cosas… para empezar deberían mejorar el aire acondicionado se siente muy sofocado adentro de las salas .. ( la única zona donde había aire acondicionado era la tienda de souvenirs) y aparte muy pocas piezas en exhibición.. y solo hay 2 salas y todo lo demás es zona arqueológica… se ve que el gobierno y INAH no le meten tanto presupuesto, aunque también lo bueno es que tiene bonita fachada .. la verdad no volvería a menos de que lo mejoraran."
"Identidad, Cultura y Patrimonio","El Museo Maya en verdad que nos muestra como fue parte del desarrollo de la civilización Maya y sus alrededores, ademas de conservarse en el tiempo. Así mismo la zona arqueologica esta realmente conservada y cuidada. Es una aventura para quienes gozan y disfrutan de la historia, la cultura y la naturaleza.",Amigos,5,Sami.Frank,2025-07-11,2025-07-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Identidad, Cultura y Patrimonio. El Museo Maya en verdad que nos muestra como fue parte del desarrollo de la civilización Maya y sus alrededores, ademas de conservarse en el tiempo. Así mismo la zona arqueologica esta realmente conservada y cuidada. Es una aventura para quienes gozan y disfrutan de la historia, la cultura y la naturaleza."
Decepcionada del lugar que debería ser un referente de Cancún,"Es un lugar abandonado por el gobierno, no funciona el aire acondicionado, no funciona el elevador, estructura deteriorada, no hay guías turísticos, no tiene ningún evento planeado, ni exposiciones temporales, le falta inversión y restauración , al ser una zona tan importante y turística no cumple las expectativas, lo bueno es que tiene rampas para movilizarse en silla de ruedas",Familia,1,anonimo,2025-07-03,2025-07-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Decepcionada del lugar que debería ser un referente de Cancún. Es un lugar abandonado por el gobierno, no funciona el aire acondicionado, no funciona el elevador, estructura deteriorada, no hay guías turísticos, no tiene ningún evento planeado, ni exposiciones temporales, le falta inversión y restauración , al ser una zona tan importante y turística no cumple las expectativas, lo bueno es que tiene rampas para movilizarse en silla de ruedas."
¡Recomiendo!,"Realmente encantador museo muy barato y un montón de ruinas para ver fuera con un montón de hermosos paisajes. Si te gustan las iguanas están a la vuelta de cada esquina! Definitivamente traigo algún tipo de spray para insectos ya que tengo más de 20 picaduras por todo mí. La única cosa mala que tengo que decir sobre este lugar es que la pasarela a las ruinas tienen piedras que sobresalen del suelo, que también me tropecé y me corté el dedo del pie, así que tendría cuidado con eso. Y las habitaciones no tienen aire acondicionado, así que hace mucho calor allí.",Familia,4,"Aberdeen, UK",2025-06-18,2025-06-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"¡Recomiendo!. Realmente encantador museo muy barato y un montón de ruinas para ver fuera con un montón de hermosos paisajes. Si te gustan las iguanas están a la vuelta de cada esquina! Definitivamente traigo algún tipo de spray para insectos ya que tengo más de 20 picaduras por todo mí. La única cosa mala que tengo que decir sobre este lugar es que la pasarela a las ruinas tienen piedras que sobresalen del suelo, que también me tropecé y me corté el dedo del pie, así que tendría cuidado con eso. Y las habitaciones no tienen aire acondicionado, así que hace mucho calor allí."
¡Ciudad Iguana!,"¡El museo fue un descanso muy necesario de la escena festiva del hotel resort de Cancún! Disfruté de los artefactos y la información, y la caminata por la jungla/ruinas, sin embargo me perturbaron mucho las iguanas en el camino y de hecho trepé una barrera para evitar una, ¡si no te importan los lagartos salvajes, estarás bien! Se lo recomendaría a cualquiera, ya que el museo y el paseo cuestan solo 100 pesos; creo que los turistas pagarían más para mantenerlo en funcionamiento. Hay una linda tienda y si necesitas una bebida fría, el 7/11 al otro lado de la calle tiene muchas y tiene aire acondicionado.",Amigos,4,"Nottingham, UK",2025-06-09,2025-06-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"¡Ciudad Iguana!. ¡El museo fue un descanso muy necesario de la escena festiva del hotel resort de Cancún! Disfruté de los artefactos y la información, y la caminata por la jungla/ruinas, sin embargo me perturbaron mucho las iguanas en el camino y de hecho trepé una barrera para evitar una, ¡si no te importan los lagartos salvajes, estarás bien! Se lo recomendaría a cualquiera, ya que el museo y el paseo cuestan solo 100 pesos; creo que los turistas pagarían más para mantenerlo en funcionamiento. Hay una linda tienda y si necesitas una bebida fría, el 7/11 al otro lado de la calle tiene muchas y tiene aire acondicionado."
Cancún-Museo de Maya y San Miguelito,"El relativamente nuevo Museo de Maya y las ruinas de San Miguelito están a poca distancia - a poco menos de una milla - de la Fiesta Americana Condesa. O uno podría tomar el autobús. Lo caminamos, y tomamos un Uber de vuelta ya que se había puesto bastante caliente. El museo es bastante modesto, pero ofrece información interesante sobre la historia y la cultura maya. Desde allí contiguas -e incluidas en el precio de la entrada- se encuentran las ruinas de San Miguelito. Muchas exploraciones a pie se pueden hacer a través del bosque allí. ¡Muchas iguanas!",Pareja,4,"Fairfield, CA",2025-05-31,2025-05-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Cancún-Museo de Maya y San Miguelito. El relativamente nuevo Museo de Maya y las ruinas de San Miguelito están a poca distancia - a poco menos de una milla - de la Fiesta Americana Condesa. O uno podría tomar el autobús. Lo caminamos, y tomamos un Uber de vuelta ya que se había puesto bastante caliente. El museo es bastante modesto, pero ofrece información interesante sobre la historia y la cultura maya. Desde allí contiguas -e incluidas en el precio de la entrada- se encuentran las ruinas de San Miguelito. Muchas exploraciones a pie se pueden hacer a través del bosque allí. ¡Muchas iguanas!."
Vale la pena una visita,"Un museo muy educativo, pequeño con ruinas mayas adyacentes. Una gran manera de pasar un par de horas. Recomiendo encarecidamente una visita",Pareja,5,"Cambridge, UK",2025-05-19,2025-05-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Vale la pena una visita. Un museo muy educativo, pequeño con ruinas mayas adyacentes. Una gran manera de pasar un par de horas. Recomiendo encarecidamente una visita."
Musuem maya,"Increíble museo para aprender cultura maya ambiente limpio, fácil acceso. Las placas están en español, así que toma tu teléfono para la traducción.",Solitario,5,anonimo,2025-04-16,2025-02-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Musuem maya. Increíble museo para aprender cultura maya ambiente limpio, fácil acceso. Las placas están en español, así que toma tu teléfono para la traducción."
Gran actividad barata y fácil de hacer después del almuerzo cuando está súper caliente y brillante,"Vinimos aquí una tarde para tomar un descanso del calor del mediodía y el sol. Fue una visita agradable y fácil. Esto es en la zona hotelera. Nuestro niño de 7 años disfrutó caminando por la parte exterior a través de la selva (en busca de iguanas). Era agradable y sombrío y pacífico. La parte interior estaba bien. Esta es una gran actividad barata y fácil de hacer después del almuerzo cuando hace mucho calor y luz, para mantenerse alejado del sol! Podríamos haber tomado un autobús por 12 pesos o $ 1 USD de nuestro hotel, pero no nos dimos cuenta.",Familia,5,"Chicago, IL",2025-04-01,2025-03-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Gran actividad barata y fácil de hacer después del almuerzo cuando está súper caliente y brillante. Vinimos aquí una tarde para tomar un descanso del calor del mediodía y el sol. Fue una visita agradable y fácil. Esto es en la zona hotelera. Nuestro niño de 7 años disfrutó caminando por la parte exterior a través de la selva (en busca de iguanas). Era agradable y sombrío y pacífico. La parte interior estaba bien. Esta es una gran actividad barata y fácil de hacer después del almuerzo cuando hace mucho calor y luz, para mantenerse alejado del sol! Podríamos haber tomado un autobús por 12 pesos o $ 1 USD de nuestro hotel, pero no nos dimos cuenta."
Gran museo y zona arqueológica increíble,"Pasamos por una visita por la tarde y realmente disfrutamos del museo, pero nos sorprendió el arqueológico por lo que se puede caminar por todos los restos de un pueblo que existía hace mucho tiempo. Las señales en todo el sitio están en inglés y español. Está bastante sombreado en la mayoría de los caminos y, sin embargo, hay manchas solares para que las iguanas tomen el sol. Un gran lugar para visitar. Hacía bastante frío a la sombra con la brisa de hoy.",Pareja,5,"Ponte Vedra Beach, FL",2025-03-28,2025-03-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Gran museo y zona arqueológica increíble. Pasamos por una visita por la tarde y realmente disfrutamos del museo, pero nos sorprendió el arqueológico por lo que se puede caminar por todos los restos de un pueblo que existía hace mucho tiempo. Las señales en todo el sitio están en inglés y español. Está bastante sombreado en la mayoría de los caminos y, sin embargo, hay manchas solares para que las iguanas tomen el sol. Un gran lugar para visitar. Hacía bastante frío a la sombra con la brisa de hoy."
