TituloReview,Ciudad,Clasificacion_Subjetividad,TotalFrases,FrasesSubjetivas,FrasesObjetivas,ClasificacionPorFrases,EsMixta,PorcentajeSubjetivo,PorcentajeObjetivo
"Estafar en imágenes Estafa completa en imágenes. Mientras que la experiencia es agradable. Cotizan $ 250 - $ 294 para fotos. Si vas con una familia y como no puedes tomar tus propias fotos, saben que te tienen. No lo descontarán. Así que técnicamente usted 2 - 3 veces el precio del boleto de entrada.",Cancun,Mixta,7,2,5,Mixta,True,28.57142857142857,71.42857142857143
"Me encantó, volvería y claro que lo recomiendo Exelente servicio, un trato muy agradable, con personal capacitado y amigable. Jugamos carreras, me tire de cabeza, unas vistas super bonitas",Puerto Vallarta,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"Recomendado Coyoacán es uno de los mejores lugares para tener una date con tu pareja. Hay muchas opciones de comidas y bebidas, así como diferentes espacios de difusión cultural.",CDMX,Mixta,3,2,1,Mixta,True,66.66666666666666,33.33333333333333
"A nice outdoor mall... for the most part. Nice outdoor mall with a good selection of stores.  Security is very visible.  We went on the Ferris Wheel and ate at Johnny Rockets and grabbed coffee at Starbucks.  Just 1 salesperson yelled at us to try and sell us something.  Overall, a good experience.  The only negative thing I have to say about the mall is the disgusting dolphin experience they have at their aquarium.  They really need to join the 21st century and ban that basura.  :'(",Cancun,Mixta,8,7,1,Mixta,True,87.5,12.5
"Recomiendo Bellísimo, es un lugar bonito, las actividades culturales son muy bien organizadas Vale la pena verlo varias veces en un año",CDMX,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"Increible Una playa pequeña con acceso publico pero muy privada!!! super tranquila y agusto, la recomiendo 100%",Puerto Vallarta,Subjetiva,3,2,1,Mixta,True,66.66666666666666,33.33333333333333
"Bahia Una experiencia única, los restaurantes que estaban cerca muy buenos, la comida de lujo, había un juego inflable en el mar para disfrute, cuenta con muchos servicios cerca, aunque el acceso al lugar es un poco difícil.",Puerto Vallarta,Mixta,1,1,0,Subjetivo,False,100.0,0.0
"Paseo por la costa del Pacífico Este paseo marítimo de poco menos de dos kilómetros (aproximadamente una milla) es un magnífico lugar para pasear tranquilamente y disfrutar de las vistas de los océanos Pacíficos, o detenerse en uno de los muchos restaurantes, bares y cafeterías. Por la noche ofrece impresionantes vistas de la puesta de sol y una animada vida nocturna en las muchas discotecas. También hay una actuación regular de los Voladores de Papantla, un grupo de temerarios que realizan este antiguo ritual precolombino en la playa a lo largo del paseo marítimo.",Puerto Vallarta,Mixta,4,0,4,Objetivo,False,0.0,100.0
"Impresionante Simplemente espectacular, hay una sensación de tranquilidad en el interior, es un lugar para admirar todos los detalles que existen.",Puebla,Subjetiva,2,2,0,Subjetivo,False,100.0,0.0
Nada espectacular El paseo por la tabla es esquemático. Nada espectacular en absoluto. La gente intentará venderte drogas y la gente Multipropiedad no te dejará solo. Sigue caminando.,Puerto Vallarta,Subjetiva,6,4,2,Mixta,True,66.66666666666666,33.33333333333333
"Asombrosamente hermoso centro de la ciudad Al planear nuestro viaje a la Ciudad de México, quería reservar un hotel con fácil acceso al Zócalo en el corazón del casco histórico de la ciudad. Tuvimos suerte, aterrizando 2. A 5 cuadras de la Plaza de la Constitución - a solo cinco minutos a pie. Este peatón - única porción de bienes raíces es el latido del corazón de toda la ciudad. Nos amontonamos en la plaza nuestro primer día, precisamente cuando las campanas del mediodía comenzaron a sonar en las torres de la Catedral Metropolitana. La belleza era tan abrumadora que nos quedamos atónitos... y llorosos de ojos. Durante nuestra estancia, volvimos aquí cada día para encontrar nuevas sorpresas. Una tarde, nos encontramos con actuaciones de danza azteca. Todos los días se instalaban mercados ambulantes en la plaza, con vendedores que vendían comida local y todo tipo de baratijas (con excepción de recuerdos, una carencia bastante significativa). Vimos músicos locales tocando para propinas justo al lado de la plaza. Un joven tocando una bachata perfecta en su saxofón fue otra lágrima - jerker, al igual que un violonchelista brillante que se instaló y tocó el domingo por la noche. Sentí como si estuviera en Europa. Otro día nos topamos con Templo Mayor en el extremo norte de la plaza, que alguna vez fue la gran pirámide de Tenochtitlán. Este es el sitio de ruinas aztecas del asentamiento original aquí, que data de hace setecientos años. Puede ver las ruinas desde una plataforma sobre la plaza, o puede ir bajo tierra y pagar por recorrerlas. Las multitudes eran masivas, pero todos tenían buenos modales, posiblemente debido a una notable presencia policial. Como dos mujeres viajando juntas, mi hija y yo nos sentimos muy seguros en toda esta sección de la ciudad. Hay tanto que ver solo en este pequeño segmento del distrito histórico que podría pasar días aquí mismo. Explora cada rincón.",CDMX,Mixta,20,7,13,Mixta,True,35.0,65.0
Remarkable viewable open air ruins Remarkable open air ruins viewable from the street. Museum attached nearby with walks through the ruins. A Mexica mesoamerican temple built in their capital city of Tenochtitlanh (now Mexico City).,CDMX,Objetiva,4,2,2,Mixta,True,50.0,50.0
