Titulo,Review,Calificacion,FechaEstadia,Ciudad,Atraccion,TituloReview,TituloReviewLimpio,SentimientoPorCalificacion,SentimientoPorHF,SentimientoPorCardiff,SubjetividadConHF,SubjetividadConFrases,SubjetividadConLLM,TopicoConBERTopic,TopicoConFASTopic,labels_parsed,num_labels,TopicoConLLM_gpt-4o-mini,TopicoConLLM_gpt-4.1-mini
¡Divertido y seguro!,"Estoy muy impresionado con Mazatlán, Mx. . La gente aquí es amable. . nos alojamos en El Cid resort el Moro. . Me encantó el complejo, las piscinas eran divertidas y el personal de los restaurantes nos cuidó mucho. . . Mis hijos también se alojaron en el club infantil, Leti y Susan cuidaron mucho de mis dos hijos mientras disfrutaba de mi tiempo en la piscina. También dimos un paseo hasta el Malecón, NO hay problemas durante mi paseo, la vibra era divertida y segura . . . todos conduciendo y caminando nos lo estamos pasando genial . . . Gracias Mazatlán este es ahora mi nuevo lugar de vacaciones. . . Volveré en mis próximas vacaciones!",5,2025-08-01,Mazatlan,Malecon De Mazatlan,"¡Divertido y seguro!. Estoy muy impresionado con Mazatlán, Mx. . La gente aquí es amable. . nos alojamos en El Cid resort el Moro. . Me encantó el complejo, las piscinas eran divertidas y el personal de los restaurantes nos cuidó mucho. . . Mis hijos también se alojaron en el club infantil, Leti y Susan cuidaron mucho de mis dos hijos mientras disfrutaba de mi tiempo en la piscina. También dimos un paseo hasta el Malecón, NO hay problemas durante mi paseo, la vibra era divertida y segura . . . todos conduciendo y caminando nos lo estamos pasando genial . . . Gracias Mazatlán este es ahora mi nuevo lugar de vacaciones. . . Volveré en mis próximas vacaciones!.",divertido y estar mucho con mazatlar mx el gente aqui ser amable yo alojar en el cid resort el moro yo encantar el complejo el piscina ser divertir y el personal de el restaurante yo cuir mucho mi hijo tambien él alojar en el club infantil leti y susar cuidar de mi dos hijo mientras disfrutar de mi tiempo en el piscina tambien dar uno paseo hasta el malecon no haber problema durante mi paseo el vibra ser divertido y seguro todo conducir y caminar yo él estar pasar genial gracias mazatlar este ser ahora mi nuevo lugar de vacación volverir en mi proxima vacación,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[0, 1, 8, 10]",4,"[0, 10, 11]","[0, 1, 10, 11]"
Un mes en Mazatlán,"Acabamos de pasar un mes en Mazatlán. No estoy de acuerdo con algunas críticas. La infantería de marina, la patrulla fronteriza y la policía están allí para mostrar a todos una presencia. Una sensación de seguridad. Mientras estuvimos allí por treinta días oímos de solo 2 cosas. Un accidente de tráfico en la carretera principal y un pequeño problema de cartel fuera de la ciudad. Todo allí es bastante pacífico. En todas las zonas turísticas. Centro, Zona Dorada y Cerrito. No estábamos asustados ni un poco. Salimos día y noche. Hasta las 11 pm. Espero permanecer callado con la excepción del carnaval. Les encantan sus carnavales. Encontré que toda la zona era senior ex pats y locales / mexicanos. Una buena mezcla. No es un lugar para los jóvenes ni para nadadores. El agua siempre está agitada. Mis 2 quejas más grandes fueron 1) el ruido... Estéreos, buggys de dunas off road y coches y bicicletas sin silenciadores. 2 ) es bastante humeante. . Cada noche. Sentí que tenía unos cigarrillos. Also. Los conductores distraídos tienen el derecho de inmediato. Sobre peatones. Haha. Tan loco como eso. No nos arrepentimos de haber ido. Diciendo eso. No creo que volvamos.",3,2025-01-01,Mazatlan,Malecon De Mazatlan,"Un mes en Mazatlán. Acabamos de pasar un mes en Mazatlán. No estoy de acuerdo con algunas críticas. La infantería de marina, la patrulla fronteriza y la policía están allí para mostrar a todos una presencia. Una sensación de seguridad. Mientras estuvimos allí por treinta días oímos de solo 2 cosas. Un accidente de tráfico en la carretera principal y un pequeño problema de cartel fuera de la ciudad. Todo allí es bastante pacífico. En todas las zonas turísticas. Centro, Zona Dorada y Cerrito. No estábamos asustados ni un poco. Salimos día y noche. Hasta las 11 pm. Espero permanecer callado con la excepción del carnaval. Les encantan sus carnavales. Encontré que toda la zona era senior ex pats y locales / mexicanos. Una buena mezcla. No es un lugar para los jóvenes ni para nadadores. El agua siempre está agitada. Mis 2 quejas más grandes fueron 1) el ruido... Estéreos, buggys de dunas off road y coches y bicicletas sin silenciadores. 2 ) es bastante humeante. . Cada noche. Sentí que tenía unos cigarrillos. Also. Los conductores distraídos tienen el derecho de inmediato. Sobre peatones. Haha. Tan loco como eso. No nos arrepentimos de haber ido. Diciendo eso. No creo que volvamos.",uno mes en mazatlar acabir de pasar uno mes en mazatlan no estar de acuerdo con alguno critica el infanteria de marina el patrulla fronterizo y el policia estar alli para mostrar a todo uno presencia uno sensacion de seguridad mientras estuvir alli por treinta dia oir de solo cosa uno accidente de trafico en el carretera principal y uno pequeno problema de cartel fuera de el ciudad todo alli ser bastante pacifico en todo el zona turistica centro zona dorado y cerrito no estabar asustado ni uno poco salir dia y noche hasta el pm esperar permanecer callado con el excepcion del carnaval él encantar su carnaval encontre que todo el zona ser senior ex pats y local mexicano uno buen mezcla no ser uno lugar para el joven ni para nadador el agua siempre este agitado mi queja mas grande ser el ruido estereo buggys de duna off road y coche y bicicleta sin silenciador ser bastante humeante cada noche senti que tener uno cigarrillos also el conductor distraido tener el derecho de inmediato sobre peatones haha tanto loco como ese no yo arrepentir de haber ir decir ese no creer que volver,Neutro,Negativo,Negativo,Subjetivo,Mixta,Mixta,,Patrimonio cultural e historia,"[11, 13]",2,"[3, 11]","[3, 9, 10, 11]"
Maravilloso,"Ubicado en la zona más turística de Mazatlán, su recorrido es inmenso y lleno de alegría, cuenta con esculturas, puestos de vendimia, restaurantes y atracciones turísticas como zona de clavados y piscina natural. Es el segundo más grande del mundo solo superado por el del Rio de Brasil, sin embargo los locales cuentan sobre una posible ampliación para tomar el primer lugar, esperemos que sea cierto ya que el ambiente y la gente lo amerita.",5,2025-01-01,Mazatlan,Malecon De Mazatlan,"Maravilloso. Ubicado en la zona más turística de Mazatlán, su recorrido es inmenso y lleno de alegría, cuenta con esculturas, puestos de vendimia, restaurantes y atracciones turísticas como zona de clavados y piscina natural. Es el segundo más grande del mundo solo superado por el del Rio de Brasil, sin embargo los locales cuentan sobre una posible ampliación para tomar el primer lugar, esperemos que sea cierto ya que el ambiente y la gente lo amerita.",ubicado en el zona mas de mazatlar su recorrido ser inmenso y lleno de alegrio cuenta con escultura puesto de vendimia restaurante y atracción turistica como zona de clavado y piscina natural ser el segundo mas grande del mundo solo superado por el del rio de brasil sin embargo el local contar sobre uno posible ampliacion para tomar el primero lugar esperer que ser cierto ya que el ambiente y el gente él ameritir,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[1, 5, 6, 13]",4,"[1, 5, 8, 9]","[1, 6, 8]"
Caminando por el Malecón,"Hermoso El Malecón de Mazatlán he caminado en dos ocasiones, otras varias en camioneta y pulmonía, a todas horas es fascinante, pero las puestas de sol son imperdibles",5,2024-12-01,Mazatlan,Malecon De Mazatlan,"Caminando por el Malecón. Hermoso El Malecón de Mazatlán he caminado en dos ocasiones, otras varias en camioneta y pulmonía, a todas horas es fascinante, pero las puestas de sol son imperdibles.",caminar por el malecon hermoso el malecon de mazatlan haber caminar en dos ocasión otro varios en camioneta y pulmonia a todo hora ser fascinante pero el puesta de sol ser imperdibl,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Miradores y paseos panorámicos,"[2, 8]",2,"[2, 8]","[2, 8, 9]"
"Nunca más, por desgracia","Mazatlán no es seguro. Lamento escribir esto, pero estuvimos allí una semana y el Malecón estaba prácticamente vacío, al igual que la playa. La violencia del cártel tiene a todos fuera de la vista y para nosotros y otros no mexicanos que conocimos durante nuestra estancia, había una clara sensación incómoda entre todos nosotros que definitivamente no éramos bienvenidos. No salimos de nuestro hotel en Centro en el malecón durante los últimos 2 días de nuestra estancia como resultado de las docenas de personal militar y otros policías por todas partes. 3 pick ups de cañonera cargados con un . Cañón touret de 50 cal y 4 más con C-7 en la parte trasera conduciendo arriba y abajo de la calle en un bucle. No vimos una sola familia no mexicana caminando por el malecón en 7 días. El cártel claramente es dueño y opera Mazatlán y todo el mundo parece saberlo. Decenas de edificios vacíos y proyectos de construcción de edificios a medio terminar.",1,2024-12-01,Mazatlan,Malecon De Mazatlan,"Nunca más, por desgracia. Mazatlán no es seguro. Lamento escribir esto, pero estuvimos allí una semana y el Malecón estaba prácticamente vacío, al igual que la playa. La violencia del cártel tiene a todos fuera de la vista y para nosotros y otros no mexicanos que conocimos durante nuestra estancia, había una clara sensación incómoda entre todos nosotros que definitivamente no éramos bienvenidos. No salimos de nuestro hotel en Centro en el malecón durante los últimos 2 días de nuestra estancia como resultado de las docenas de personal militar y otros policías por todas partes. 3 pick ups de cañonera cargados con un . Cañón touret de 50 cal y 4 más con C-7 en la parte trasera conduciendo arriba y abajo de la calle en un bucle. No vimos una sola familia no mexicana caminando por el malecón en 7 días. El cártel claramente es dueño y opera Mazatlán y todo el mundo parece saberlo. Decenas de edificios vacíos y proyectos de construcción de edificios a medio terminar.",nunca mas por desgracia mazatlan no ser seguro lamento escribir este pero estuvir alli uno semana y el malecon estar practicamente vacio al igual que el playa el violencia del cartel tener a todo fuera de el vista y para yo y otro no mexicano que conocimos durante nuestro estancia habio uno claro sensacion incomoda entre todo yo que definitivamente no erar bienvenir no salir de nuestro hotel en centro en el malecon durante el ultimo dia de nuestro estancia como resultado de el docena de personal militar y otro policia por todo parte pick ups de canonera cargado con uno canon touret de cal y mas con c en el parte trasero conducir arriba y abajo de el calle en uno bucle no ver uno solo familia no mexicano caminar por el malecon en dia el cartel claramente ser dueno y operar mazatlan y todo el mundo parecer saber él decena de edificio vacio y proyecto de construccion de edificio a medio terminar,Negativo,Negativo,Negativo,Subjetivo,Mixta,Mixta,,Servicios y atención turística,[11],1,[11],"[8, 9, 10, 11]"
Tranquilo ,"Es enorme y con muchas esculturas, es ideal para ver el atardecer, de día me parece bonito de noche siento que le hace falta iluminación.",4,2024-12-01,Mazatlan,Malecon De Mazatlan,"Tranquilo. Es enorme y con muchas esculturas, es ideal para ver el atardecer, de día me parece bonito de noche siento que le hace falta iluminación.",ser y con mucho escultura ser para ver el atardecer de dia yo parecer de noche siento que él hacer falta iluminacion,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Servicios y atención turística,[13],1,[8],"[4, 8]"
Espectacular,"Todo me Encanto. Las comidas el acuario, Las compa en el mercado el ambiente en la playa incredible si quieres divertirte este es el lugar. Lo mejor de todo el faro y el malecon fabulosas vistas para fotos.",5,2024-09-01,Mazatlan,Malecon De Mazatlan,"Espectacular. Todo me Encanto. Las comidas el acuario, Las compa en el mercado el ambiente en la playa incredible si quieres divertirte este es el lugar. Lo mejor de todo el faro y el malecon fabulosas vistas para fotos.",todo yo encantar el comida el acuario el compa en el mercado el ambiente en el playa incredible si querer divertirte este ser el lugar él mejor de todo el faro y el malecon fabulosas vistas para foto,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Vida nocturna y gastronomía,"[1, 4, 8, 9]",4,"[1, 5, 8, 9]","[1, 5, 8, 9, 12]"
Hermosa zona y gente maravillosa!,"Bajamos durante el carnaval y sí, estaba ocupado, pero uno de los mejores espectáculos que he visto! Mucho que ver y hacer. Un montón de grandes opciones de comida para cualquier presupuesto y grandes Compras",5,2024-08-01,Mazatlan,Malecon De Mazatlan,"Hermosa zona y gente maravillosa!. Bajamos durante el carnaval y sí, estaba ocupado, pero uno de los mejores espectáculos que he visto! Mucho que ver y hacer. Un montón de grandes opciones de comida para cualquier presupuesto y grandes Compras.",zona y gente bajar durante el carnaval y si estar pero uno de el espectaculo que haber ver mucho que ver y hacer uno monton de opción de comida para cualquiera presupuesto y compra,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Vida nocturna y gastronomía,"[1, 3, 5]",3,"[1, 3, 5]","[1, 3, 5]"
Caminando por el malecón,Caminamos desde el área de Cliff Divers hasta el malecón y fue un agradable paseo. El área de buceo desde acantilados es grande y cuenta con vendedores ambulantes donde comprar fruta fresca y bebidas (nos perdimos el espectáculo y simplemente pasamos un rato). Las estatuas a lo largo del paseo eran bonitas y ofrecían excelentes oportunidades para tomar fotografías. Caminar por la calle Beatles Cavern Club fue genial para ver más oportunidades para tomar fotografías. Una buena manera de ver los sitios a pie y pasar un par de horas.,4,2024-04-01,Mazatlan,Malecon De Mazatlan,Caminando por el malecón. Caminamos desde el área de Cliff Divers hasta el malecón y fue un agradable paseo. El área de buceo desde acantilados es grande y cuenta con vendedores ambulantes donde comprar fruta fresca y bebidas (nos perdimos el espectáculo y simplemente pasamos un rato). Las estatuas a lo largo del paseo eran bonitas y ofrecían excelentes oportunidades para tomar fotografías. Caminar por la calle Beatles Cavern Club fue genial para ver más oportunidades para tomar fotografías. Una buena manera de ver los sitios a pie y pasar un par de horas.,caminar por el malecon caminamo desde el area de cliff hasta el malecon y ser uno paseo el area de buceo desde acantilado ser y contar con vendedor donde comprar fruta y bebida yo perder el espectaculo y simplemente pasar uno rato el estatua a él del paseo ser y ofreciar oportunidad para tomar fotografia caminar por el calle club ser para ver ma oportunidad para tomar fotografia uno manera de ver el sitio a pie y pasar uno par de hora,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Miradores y paseos panorámicos,"[4, 5, 8]",3,"[1, 4, 5, 8]","[5, 8, 10]"
Paseo en familia,"Un paseo excelente! La playa un poco fuerte el oleaje pero muy limpia, las bandas bien chéveres, un ambiente muy bueno para pasar el dia",5,2024-05-01,Mazatlan,Malecon De Mazatlan,"Paseo en familia. Un paseo excelente! La playa un poco fuerte el oleaje pero muy limpia, las bandas bien chéveres, un ambiente muy bueno para pasar el dia.",pasear en familia uno paseo el playa uno poco el oleaje pero mucho el banda bien uno ambiente mucho bueno para pasar el dia,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[8, 9, 13]",3,"[7, 9]","[3, 7, 9]"
