Titulo,Review,Calificacion,FechaEstadia,Ciudad,Atraccion,TituloReview,Sentimiento,SentimientoHF
10 de 10,Simplemente espectacular! No se lo pierdan el ballet folklórico. Tienen mucho talento esos chicos y chicas ………………!!!,5,2025-08-01,Cdmx,Palacio De Bellas Artes,10 de 10. Simplemente espectacular! No se lo pierdan el ballet folklórico. Tienen mucho talento esos chicos y chicas ………………!!!.,Positivo,Positivo
Mexican muralism at its finest!,"It was an outstanding example of Mexican muralism. A do not miss activity. From Rivera, Orozco, Tamayo and Siqueiros, absolutely stunning!",5,2025-08-01,Cdmx,Palacio De Bellas Artes,"Mexican muralism at its finest!. It was an outstanding example of Mexican muralism. A do not miss activity. From Rivera, Orozco, Tamayo and Siqueiros, absolutely stunning!.",Positivo,Positivo
Ballet Folklórico de México de Amalia Hernández,"excelente producción, que te llena los sentidos y te transporta hacia los lugares que están en el programa, excelente el duelo de arpas correspondiente a la fiesta de Tlacotalpan, así mismo el charro haciendo el floreo de reata , todo espectacular; El prietito en el arroz fue que en su programa no incluyeran un capitulo  sobre la música norteña, que se llenara el recinto con el sonido del acordeón, bajosesto y  tololoche, de ahí pal real vale la pena cada centavo que pagaste por la entrada",5,2025-08-01,Cdmx,Palacio De Bellas Artes,"Ballet Folklórico de México de Amalia Hernández. excelente producción, que te llena los sentidos y te transporta hacia los lugares que están en el programa, excelente el duelo de arpas correspondiente a la fiesta de Tlacotalpan, así mismo el charro haciendo el floreo de reata , todo espectacular; El prietito en el arroz fue que en su programa no incluyeran un capitulo  sobre la música norteña, que se llenara el recinto con el sonido del acordeón, bajosesto y  tololoche, de ahí pal real vale la pena cada centavo que pagaste por la entrada.",Positivo,Positivo
Siempre agradable,"En esta ocasión fui al museo, que albergaba la exposición “La Revolución Impresionista”, pero aproveché para conocer la de Jorge González Camarena “La utopía inacabada” y los murales de Siqueiros, Rivera, Orozco, Camarena y más. Visitar el Palacio es siempre un deleite visual.",5,2025-07-01,Cdmx,Palacio De Bellas Artes,"Siempre agradable. En esta ocasión fui al museo, que albergaba la exposición “La Revolución Impresionista”, pero aproveché para conocer la de Jorge González Camarena “La utopía inacabada” y los murales de Siqueiros, Rivera, Orozco, Camarena y más. Visitar el Palacio es siempre un deleite visual.",Positivo,Positivo
"Un edificio que data de unos 100 años aproximadamente si es lo que entendí quisa más, el lugar se siente como un viaje en el tiempo , quisa lo han remodelado claro pero mantiene esa esencia,grandes artistas han pasado por esas puertas , increíble exposiciones artistas mexicanos e internacionales una parada obligada si te encuentras en la ciudad de Mexico","Un edificio que data de unos 100 años aproximadamente si es lo que entendí quisa más, el lugar se siente como un viaje en el tiempo , quisa lo han remodelado claro pero mantiene esa esencia,grandes artistas han pasado por esas puertas , increíble exposiciones artistas mexicanos e internacionales una parada obligada si te encuentras en la ciudad de Mexico",5,2025-07-01,Cdmx,Palacio De Bellas Artes,"Un edificio que data de unos 100 años aproximadamente si es lo que entendí quisa más, el lugar se siente como un viaje en el tiempo , quisa lo han remodelado claro pero mantiene esa esencia,grandes artistas han pasado por esas puertas , increíble exposiciones artistas mexicanos e internacionales una parada obligada si te encuentras en la ciudad de Mexico. Un edificio que data de unos 100 años aproximadamente si es lo que entendí quisa más, el lugar se siente como un viaje en el tiempo , quisa lo han remodelado claro pero mantiene esa esencia,grandes artistas han pasado por esas puertas , increíble exposiciones artistas mexicanos e internacionales una parada obligada si te encuentras en la ciudad de Mexico.",Positivo,Positivo
"Unique Place, Exceeded My Expectations","This place truly exceeded my expectations. It's unique, thoughtfully designed, and offers a great atmosphere :)I would definitely return and recommend it to others.",5,2025-06-01,Cdmx,Palacio De Bellas Artes,"Unique Place, Exceeded My Expectations. This place truly exceeded my expectations. It's unique, thoughtfully designed, and offers a great atmosphere :)I would definitely return and recommend it to others.",Positivo,Positivo
Views and more,"Best exterior view of the Art Nouveau building is from the Sears building 8th floor café.Access is free to seniors60 and over with ID. Also, Sundays free admission. Interior of building us a fusion of Art Deco and Mexican art. Artists include Rivera, Siqueiros and Camarena.",5,2025-06-01,Cdmx,Palacio De Bellas Artes,"Views and more. Best exterior view of the Art Nouveau building is from the Sears building 8th floor café.Access is free to seniors60 and over with ID. Also, Sundays free admission. Interior of building us a fusion of Art Deco and Mexican art. Artists include Rivera, Siqueiros and Camarena.",Positivo,Positivo
Lo mejor en compañía de mi hija menor,"Sin duda alguna la sala de exposiciones y museo es una gran oportunidad de observar y apreciar los mejores murales como Siqueiros, Diego Rivera, Camarena, Orozco y para terminar escuchar la orquesta sinfónica nacional.",5,2025-06-01,Cdmx,Palacio De Bellas Artes,"Lo mejor en compañía de mi hija menor. Sin duda alguna la sala de exposiciones y museo es una gran oportunidad de observar y apreciar los mejores murales como Siqueiros, Diego Rivera, Camarena, Orozco y para terminar escuchar la orquesta sinfónica nacional.",Positivo,Positivo
Prepare to have your heart stolen by Baile Folklórico at Palacio de Bellas Artes,"Baile Folklórico at the Palacio de Bellas Artes is hands down one of the most beautiful and moving performances I’ve ever witnessed. From the very first drumbeat, I was completely captivated. The show is a vibrant celebration of Mexico’s diverse regions, with each dance telling a unique story through traditional footwork, colorful costumes, and dramatic choreography. You can truly feel the soul of Mexico come alive on stage.The venue itself, the Palacio de Bellas Artes, is breathtaking—its grand architecture makes the entire evening feel like a special occasion. I highly recommend dressing up a bit and making a night of it. If you're looking to experience authentic Mexican culture and artistry, this performance is unforgettable.",5,2024-06-01,Cdmx,Palacio De Bellas Artes,"Prepare to have your heart stolen by Baile Folklórico at Palacio de Bellas Artes. Baile Folklórico at the Palacio de Bellas Artes is hands down one of the most beautiful and moving performances I’ve ever witnessed. From the very first drumbeat, I was completely captivated. The show is a vibrant celebration of Mexico’s diverse regions, with each dance telling a unique story through traditional footwork, colorful costumes, and dramatic choreography. You can truly feel the soul of Mexico come alive on stage.The venue itself, the Palacio de Bellas Artes, is breathtaking—its grand architecture makes the entire evening feel like a special occasion. I highly recommend dressing up a bit and making a night of it. If you're looking to experience authentic Mexican culture and artistry, this performance is unforgettable.",Positivo,Positivo
Palacio de Bellas artes-Ballet Amalia Hernández,"Ballet de Amalia Hernández en domingo, concurrido. Llega con tiempo ya que es puntual la función. El metro bellas artes o metrobus son la opción en transporte.",5,2024-05-01,Cdmx,Palacio De Bellas Artes,"Palacio de Bellas artes-Ballet Amalia Hernández. Ballet de Amalia Hernández en domingo, concurrido. Llega con tiempo ya que es puntual la función. El metro bellas artes o metrobus son la opción en transporte.",Positivo,Positivo
