Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Show de delfines ,"Excelente Show de delfines, pasamos un buen momento disfrutando del acuario, tocando mantarayas...el momento cumbre fue el show de los delfines por la tarde",,5,"Ciudad Juárez, México",,ago de 2025
Nado con delfines es lo mejor,"Gran experiencia el nado con el delfines. Los animales están muy cuidados y se aprecia que tienen precaución en mantenerlos bien. El agua está helada, pero con el clima de Cancún se soporta muy bien. La experiencia Trek es muy buena. No es fácil bajar, porque se siente un poco desconcertante los cambios de presión, pero siguiendo las instrucciones de los guías se hace sin problema. Solo estén preparados para una sensación rara. No es una actividad que puedan hacer niños, no tanto por la edad sino por el requerimiento físico. Los niños necesitan tener fuerza para carga el casco sobre sus hombros y el casco pesa en el agua 6 kg, entonces no solo consideren la edad sino las dimensiones de los niños. El acuario está pequeño, pero muy bonito. La parte de contacto es muy interesante al poder tocar algunas especies como estrellas, pepinos y liebres marinas. Es altamente recomendable el show de delfines de la tarde.",,5,,,jul de 2025
Mediocre,"It’s about $65 for a family of 4, which isn’t bad but the aquarium is kind of small and not much to see. It’s looks big as the restaurant and dolphin area takes up most of the space. It was fun seeing the dolphins and touching stingrays and starfish but that’s about it. We were there for about an hr to hr 1/2.",,3,"Dubái, Emiratos Árabes Unidos",,jul de 2025
Mid Shopping Aquarium Visit,"Had a fantastic time at the aquarium in Cancun! The place was spotless and well-maintained, showing a real commitment to cleanliness and care for the wildlife. The staff were knowledgeable and clearly passionate about marine life, making the experience both educational and enjoyable. Great value for the price—definitely worth a visit if you’re in the area!",,5,,,jul de 2025
Great Dolphin Encounter But Pricey Photos,"We had an amazing time at this dolphin encounter! We purchased the ride package which we didn’t spend a lot on due to having vouchers that covered the cost of 3.5 of 5 people in our group. The encounter did last only 30 minutes unless you purchase a higher level package of course. We could not take our own photos and they had photographers taking them for us. The photo packages charge a fee per person which made our lowest package cost $254 for 5 people. If it were not for our low cost for the dolphin encounter we would not have purchased a photo package. However, we did purchase them and the photos are nice but very pricey!",,3,,,jun de 2025
Visit the restaurant at the acquarium!,"There were 6 adults in our party, and we visited the interactive acquarium one afternoon. It was a little tricky to find, as it is located in the Isla shopping district and is not clear from the main road. It was between Louis Vuitton and Johnny Rockets. The acquarium itself was nice and mostly air-conditioned. The dolphins were outside. We missed the dolphin show, which I believe was only twice a day. The real surprise was the restaurant. We decided to grab cocktails, and they were the best we had during the entire trip. We had eaten lunch elsewhere, but we were brought fresh chips and 3 different types of ""salsa,"" all complimentary. We found room in our bellies, and the chips and dip seemed to be authentic Mexican. The service was top-notch! The restaurant overlooked the dolphin pool, and we got to witness families getting their pictures taken with the dolphins. I recommend this stop during your trip to Cancun. ",,5,,,jun de 2025
HORRIBLE EXPERIENCE. DO NOT GO!!!!!!!,This place is horrible. DO NOT GO. We did the dolphin swim and sea trek and it was only a photo shoot. The pictures were more than the adventure. The prices of the photos are are not on par with the other places in town. We paid half the price at another dolphin swim where we actually got to swim with them rather than just pose for pictures.,,1,,,abr de 2025
Wonderful Experience,"Sea Trek was amazing they put a bubble helmet on you and you go down about 20 ft under the water. The fish are swimming all around you. The puffer fish were huge way bigger than I thought they were. We got to pet a Manta Ray and they fed the puffer in front of us. It was really cool, and the scuba divers guiding you around were super friendly and helpful. They really made it such an enjoyable experience and you felt safe with their guidance. When we finished there off for our instructions for the dolphin encounter. This was also amazing because there were 6 people instead of 4 we got a free fin ride along with 40 minutes in the pool with the dolphins and the superman push where two dolphins push you out of the water by your feet. It was an incredible experience and I loved every minute of it. Again the staff for the experience were so amazing and gave very clear instructions and I really appreciated learning about each individual dolphin we were playing with. After our fun with the dolphins we toured the aquarium it was small but very cool. I didn't take pictures cause we were wearing go pros. After that we did some shopping at the gift store. All in all it was well worth the money and an unforgettable experience.  The staff at every attraction were super friendly and just an amazing experience all around.",,5,"London, Canadá",,abr de 2025
"Chico, descuidado y mala atención.","Una experiencia que debería ser placentera resulta desagradable.Sin duda disfrute ver a mi hijo interactuar, pero ver a los animales tan descuidados, ver que en AÑOS no han mejorado absolutamente nada, que sigue siendo tan pequeño y sobretodo que cada vez es más nefasto el staff; epecialmente la gente que se encuentra en el área interactiva y donde se hace la fila para el show de delfines; no les preguntes NADA porque ponen caras y contestan de mala gana... o que tal una chica de lentes, blanquita que su trabajo es ""organizar"" la fila, se pelea con TODA LA GENTE! No es casualidad que todos discutan con ella, no tiene tacto, rezonga TODO, conmigo discutio y no dejo de responderme mal, definitivamente  mal educada, sumado a que se puso a señalarme con sus compañeras sin discresión ya manera de seguir haciendo mas grande el pleito, en fin, si no tuviera esa promoción de local, sentiria demasiado enojo y decepcion, pero con el precio entiendo mucho mas el por que esta tan descuidado todo, no lo recomiendo en absoluto.",,1,"Cancún, México",,abr de 2025
Interactive aquarium cancun,"It was really lovely and had a great selection of fish in the aquarium,  as well as ones you can touch.  It was perfect for my 9 month baby as was air conditioned and also enough to see to keep us all occupied.  We could see the dolphins in the pool. You can upgrade your tickets to swim with them but we decided not to. It looked really fun and has an onsite restaurant looking over at the dolphins.",,5,"Londres, UK",,abr de 2025
