Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
"Me gusto mucho lo recomiendo, es un lugar para ver el mar y poder comer súper buena la música. Lo recomiendo","Súper buena la atención y la comida, recomiendo mucho este lugar igual al que nos atendió marco. La música es muy agradable y el ambiente",,5,,,jul de 2025
"Me encanto coco bongo, una experiencia diferente","Me pareció sobrevalorado, tiene lugares lindos si, pero no cumplió mis expectativas, en cuanto al servicio del hotel (hard rock Riviera maya) instalaciones muy cómodas, diferentes ambientes de restaurantes y un servicio muy bueno.",,4,,,mar de 2025
No es lo que fue,"Antes era una avenida muy pintoresca, decorada con columnas que simulaban ser monumentos mayas. Ahora los quitaron, se puede encontrar cada tanto un restaurante, estan todos los hoteles. Lo bueno es que el transporte publico es bueno, rapido y frecuente. Y no es caro, el boleto cuesta 12 MXN. En uno de sus extremos hay 2 malls, y una rueda gigante.",,3,"Montevideo, Uruguay",,may de 2024
Great location,"Convenient location. Main road, easy access to local bus routes, tourist places, shopping centers, restaurants, activities and hotels.",,5,"Atlanta, GA",,jul de 2023
Una buena avenida,Esta avenida es una de las más importantes y la realidad es que si tiene mucho que ofrecer. Es una de las que más visito cuando estoy en Cancún.,,5,,,feb de 2024
Great Christmas Vacation,This resort is amazing.  We loved everything about it!  The food was delicious.  Drinks were top notch.  The service everywhere was very good from the beach to the housekeeping.,,5,,,dic de 2023
Un símbolo de la zona hotelera y de todo Cancún,"La avenida Kukulcán a lo largo de sus 26 kms. une todos los hoteles de la zona hotelera de norte a sur, inicia saliendo de Cancún y termina cerca del acceso al aeropuerto. Las numerosas líneas de ""camiones"" (ómnibus) trasladan a los turistas de los hoteles más distantes a la zona más céntrica y viceversa.",,4,"Nassau, Isla Nueva Providencia",,mar de 2023
I stayed here,I think it is a great place to go dinning or go out at night. But I stayed here for long time during my vacations and I don't think it was a good choice for me.Next time will choose somewhere more quiet,,5,"Sarajevo, Bosnia-Herzegovina",,ene de 2024
If Las Vegas was in the Caribbean ,"A beautiful and long boulevard lined with many resorts and green areas filled with palms. Nice to walk through during the day and night. Many restaurants, casinos and stores.",,5,Perú,,ene de 2023
La mejor elección.,"La avenida Kukulkan es fantástica. Es ideal para correr o caminar, para tomar un bus o andar en bici, tanto de día como de noche. Conecta todo: hoteles, shoppings, restos, bancos y atracciones. Fue fantástico estar cerca de esta avenida, super iluminada, con mucho movimiento a toda hora. La zona hotelera de Cancún es sin dudas la mejor elección cuando se busca alojamiento en este magnífico destino.",,5,"Los Ángeles, CA",,ene de 2023
zona hotelera Cancun,"ir en bus publico, taxi o bus turistico hop on hop off (U$S 16), bajar en Playa Tortugas(hay OXXO por víveres)  y Playa Gaviota Azul para playa mar tranquilo, desde aca al sur mar bravo olas, luego caminar zona Cocobongo, precio altos, cambio moneda, shoppings caros no vale la pena perder tiempo, con el mar hermoso hay corredores(pasajes) entre algunos hoteles para quela gente pase a la playa publica.  Zona artesanias, restaurantes. ",,4,"Montevideo, Uruguay",,feb de 2023
Conexiones,"Esta avenida conecta la zona hotelera, shoppings, casas de cambio, propuestas gastronómicas y de entretenimiento.Se puede pasear caminando o recorrerla en los buses que pasan continuamente.",,4,"Buenos Aires, Argentina",,dic de 2022
Tranquilidad absoluta,"Pasear por este lugar me hizo sentir muy tranquila y en armonía, perdí la noción del tiempo mientras caminaba por aquí, lo amé.",,5,"Ciudad de México, México",,sept de 2022
Para pasear,"Una buen opción para pasar el día, disfrutarlo con comida, caminando y comprando cosas, hay muchas personas haciendo distintas actividades y se puede caminar con seguridad, es perfecto para desestresarse y hacer compras de todo tipo.",,5,Perú,,nov de 2022
Segura,"Realmente la avenida es muy segura, con mi esposo nos gusta caminar y lo hicimos en varios horarios, se ve muchas personas haciendo deporte por la avenida. Está bien mantenida y limpia. Lo único es que durante toda la avenida hay muy pocos cruces peatonales o semáforos, por lo que tenías que cruzar corriendo la autopista",,4,"Santiago, Chile",,feb de 2022
¡Súper fácil y divertido!,La avenida más larga de Cancún te llevará al punto A para estar en Cancún. Autobuses públicos fácilmente disponibles. Cuesta $ 12 pesos (diciembre de 2021) viajar por trayecto. Vale la pena ver el paisaje local fuera de su hotel.,,5,"Calgary, Canadá",,dic de 2021
Vía artería,"Es la principal avenida junto a la playa por la cual se llegan a las principales playas públicas, centros comerciales, embarcaderos y hoteles de lujo.",,5,"Medellín, Colombia",,dic de 2021
límpialo,"No culpamos a los turistas por abarrotar este lugar. La culpa debería recaer en la política de no abordar todo tipo de malos tratos y comportamientos que se dan en esta vía. Seguramente, el lugar podría limpiarse. Además, basura por todas las calles.",,1,,,mar de 2021
Shopping ,Shopping muy lindo kulkucan es el shopping más bonito pero aún se encuentra medio vacío pero es hermoso ,,5,,,feb de 2021
Bulevar principal de la Zona Hotelera,"Bueno, la Avenida Kukulkan es la calle principal que recorre toda la Zona Hotelera. Deriva su nombre de la deidad emplumada maya que tenía poderes sobrenaturales.Sin embargo, el bulevar no es de especial interés turístico. Es una calle bastante larga con hoteles esparcidos a lo largo de ella, algunos centros comerciales y restaurantes (que me pregunto cómo se las arreglan para sobrevivir, ya que casi todos los hoteles alrededor son todo incluido).Tampoco me pareció interesante para caminar ya que no pasa por el mar, sino por hoteles monstruosos de hormigón.",,3,"Belgrado, Serbia",,ene de 2021
Vacation ,"Nice place to have a great walk, dinner and enjoy the great weather of Cancun, Good restaurants and a lot of bars to have great time.",,5,"Dallas, TX",,feb de 2021
VERY NICE,"Kukulkán Avenue is where all the hotels in Cancun are located and it offers us a beautiful landscape To walk, run or go for a very enjoyable bike ride",,5,"Saskatoon, Canadá",,ene de 2021
