Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Promiedo la verdad no para volver,"El museo la verdad  no está tan lindo y les falta mejorar muchas cosas… para empezar deberían mejorar el aire acondicionado se siente muy sofocado adentro de las salas .. ( la única zona donde había aire acondicionado era la tienda de souvenirs) y aparte muy pocas piezas en exhibición.. y solo hay 2 salas y todo lo demás es zona arqueológica… se ve que el gobierno y INAH no le meten tanto presupuesto, aunque también lo bueno es que tiene bonita fachada .. la verdad no volvería a menos de que lo mejoraran.",,3,,,ago de 2025
"Identidad, Cultura y Patrimonio","El Museo Maya en verdad que nos muestra como fue parte del desarrollo de la civilización Maya y sus alrededores, ademas de conservarse en el tiempo. Así mismo la zona arqueologica esta realmente conservada y cuidada. Es una aventura para quienes gozan y disfrutan de la historia, la cultura y la naturaleza.",,5,,,jul de 2025
Decepcionada del lugar que debería ser un referente de Cancún ,"Es un lugar abandonado por el gobierno, no funciona el aire acondicionado, no funciona el elevador, estructura deteriorada, no hay guías turísticos, no tiene ningún evento planeado, ni exposiciones temporales, le falta inversión y restauración , al ser una zona tan importante y turística no cumple las expectativas, lo bueno es que tiene rampas para movilizarse en silla de ruedas",,1,,,jul de 2025
¡Recomiendo!,"Realmente encantador museo muy barato y un montón de ruinas para ver fuera con un montón de hermosos paisajes. Si te gustan las iguanas están a la vuelta de cada esquina! Definitivamente traigo algún tipo de spray para insectos ya que tengo más de 20 picaduras por todo mí. La única cosa mala que tengo que decir sobre este lugar es que la pasarela a las ruinas tienen piedras que sobresalen del suelo, que también me tropecé y me corté el dedo del pie, así que tendría cuidado con eso. Y las habitaciones no tienen aire acondicionado, así que hace mucho calor allí.",,4,"Aberdeen, UK",,jun de 2025
¡Ciudad Iguana!,"¡El museo fue un descanso muy necesario de la escena festiva del hotel resort de Cancún! Disfruté de los artefactos y la información, y la caminata por la jungla/ruinas, sin embargo me perturbaron mucho las iguanas en el camino y de hecho trepé una barrera para evitar una, ¡si no te importan los lagartos salvajes, estarás bien! Se lo recomendaría a cualquiera, ya que el museo y el paseo cuestan solo 100 pesos; creo que los turistas pagarían más para mantenerlo en funcionamiento. Hay una linda tienda y si necesitas una bebida fría, el 7/11 al otro lado de la calle tiene muchas y tiene aire acondicionado.",,4,"Nottingham, UK",,jun de 2025
Cancún-Museo de Maya y San Miguelito,"El relativamente nuevo Museo de Maya y las ruinas de San Miguelito están a poca distancia - a poco menos de una milla - de la Fiesta Americana Condesa. O uno podría tomar el autobús. Lo caminamos, y tomamos un Uber de vuelta ya que se había puesto bastante caliente. El museo es bastante modesto, pero ofrece información interesante sobre la historia y la cultura maya. Desde allí contiguas -e incluidas en el precio de la entrada- se encuentran las ruinas de San Miguelito. Muchas exploraciones a pie se pueden hacer a través del bosque allí. ¡Muchas iguanas!",,4,"Fairfield, CA",,may de 2025
Vale la pena una visita,"Un museo muy educativo, pequeño con ruinas mayas adyacentes. Una gran manera de pasar un par de horas. Recomiendo encarecidamente una visita",,5,"Cambridge, UK",,may de 2025
$5! ¡Necesito hacer esto!,"¡Definitivamente hazlo! ¡Solo 100 pesos/$ 5 por adulto! Tanto que ver, que puedes hacerlo tan largo o corto como quieras. Creo que cualquiera disfrutaría. Cosas que saber -  1 . ) Son 2 partes. La primera parte es museo cubierto. Luego caminas por el camino cubierto de árboles en la selva como escenario para ver ruinas.  2. ) los ascensores de los museos están rotos, por lo que al entrar se camina por gran pasarela espiral gradual. Y dejándote caminar por rampas. Sí, creo que handycap / cochecito accesible pero quería tener en cuenta y Estos también son al aire libre. ADEMÁS, el museo es en su mayoría ventanas y no tiene aire acondicionado. Fuimos alrededor del mediodía, eran 87 * e interior era muy cálido, no insoportable, pero cerca. Recomendaría ir lo antes posible.  3 . ) tienen que traducir google en el teléfono - no todos los signos están traducidos. Hay qr descargar pero mi teléfono dijo que el enlace estaba roto.  4 . ) tour al aire libre - es un buen paseo y bien cuidado. No hay insectos. Muchos lagartos y niños les encantaba verlos. Agradablemente cubierto por árboles tan no demasiado caliente. Voy a subir fotos de camino - así que si silla de ruedas o cochecito que tiene idea. Hay rocas empujando a través de / Me pregunto si era como piedra adoquinada debajo? Está bordeado de piedras. Muchos lugares para sentarse en el camino.  5. ) aparcamiento gratuito. Autobús es menos de un dólar — — — - Hay muchos artefactos. Me sorprendió. Incluso si caminaste/ corriste por la parte del museo... ¡eso vale $5! Hemos estado viniendo aquí por más de 15 años y nunca supe de esto",,5,"Cadillac, MI",,may de 2025
Musuem maya,"Increíble museo para aprender cultura maya ambiente limpio, fácil acceso. Las placas están en español, así que toma tu teléfono para la traducción.",,5,,,feb de 2025
Gran actividad barata y fácil de hacer después del almuerzo cuando está súper caliente y brillante,"Vinimos aquí una tarde para tomar un descanso del calor del mediodía y el sol. Fue una visita agradable y fácil. Esto es en la zona hotelera. Nuestro niño de 7 años disfrutó caminando por la parte exterior a través de la selva (en busca de iguanas). Era agradable y sombrío y pacífico. La parte interior estaba bien. Esta es una gran actividad barata y fácil de hacer después del almuerzo cuando hace mucho calor y luz, para mantenerse alejado del sol! Podríamos haber tomado un autobús por 12 pesos o $ 1 USD de nuestro hotel, pero no nos dimos cuenta.",,5,"Chicago, IL",,mar de 2025
Gran museo y zona arqueológica increíble,"Pasamos por una visita por la tarde y realmente disfrutamos del museo, pero nos sorprendió el arqueológico por lo que se puede caminar por todos los restos de un pueblo que existía hace mucho tiempo. Las señales en todo el sitio están en inglés y español. Está bastante sombreado en la mayoría de los caminos y, sin embargo, hay manchas solares para que las iguanas tomen el sol. Un gran lugar para visitar. Hacía bastante frío a la sombra con la brisa de hoy.",,5,"Ponte Vedra Beach, FL",,mar de 2025
Artefactos interesantes - Vale la pena visitar,"Tuve una mañana libre en la Zona Hotelera así que tomé un Uber a este museo y ruinas. El lugar parecía bastante deteriorado, pero después de caminar 8 rampas hasta el nivel del museo, la habitación con los artefactos valió la pena el esfuerzo. Las placas de cada artefacto están en español, así que usé la cámara de mi iPhone con Google Translate para entender lo que estaba mirando. Fui alrededor de las 9: 30 am un miércoles y no había cola y muy poca gente allí. Puedes tomar fotos. Después de pasear por el museo bajé y caminé por el camino de las ruinas. Los restos del templo y la casa eran un agradable paseo por los árboles. Bonita sombra pero muy húmeda, por supuesto. Cuando terminé caminé una milla hasta Playa Delphines y disfruté de algún tiempo allí antes de tomar un Uber de regreso a mi hotel.",,4,"Berthoud, CO",,mar de 2025
Tan triste su deterioro.,He estado aquí tres veces desde su apertura en 2013. El museo en sí no ha sido mantenido. Caliente. No hay aire. 81 grados. Ambos ascensores fuera de servicio. Tengo que subir 8 rampas. Pintura pelada en el exterior. Pasamanos oxidados. Corte de iluminación para ahorrar dinero. No otra vez.,,2,,,feb de 2025
Una visita obligada!! No te arrepentirás!!,"¡Es una visita obligada! ¡Era un museo bastante genial! Mi marido y yo nos tomamos una hora para caminar por la exposición interior y exterior. ¡Había muchos artefactos y ruinas geniales! El precio era genial, apenas había nadie allí, y tantas piezas geniales! Utilizamos Google Lente para ayudar con la traducción y resumir los tableros. También tenían algunos tableros en inglés. Recomendaría alejarse de las típicas atracciones turísticas y ver este museo!",,5,,,mar de 2025
