Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
"Don`t expect a perfect beach , but it`s a good start","Don`t expect a perfect beach , but it`s a good start , safe enough , clean enough, indeed crowdy during weekends, but , it`s for everybody ,and free. Watch the rocks in the water.",,5,"Montreal, Canada",,mar de 2025
Lindo día de playa,Hoy decidimos venir caminando hasta esta linda playa para ser especial solo debería tener algo de sombra o algunas tumbonas que se pudieran alguilar a los turistas por lo demás súper especial,,4,"Miami, FL",,abr de 2025
Tour,"Hermoso el tour y el guía super amable, César Och, super cálido y muy claro al explicar, nos acompañó en cada actividad con mucho profesionalismo",,5,,,mar de 2025
Déception,"La playa en si es muy linda el GRAN PROBLEMA es la gente que va a comer y bebe alcohol, con musica super fuerte.. Dejan toda pero toda la suciedad en las playas hace 11 años que vengo a cancun y en estos ultimos tres el deterioro es visible... Mucha mucha pero mucha basura.. Es una gran pena que ni la gente, ni las autoridades hagan algo.. Y quiero aclarar no son turistas son LOCALES.. Los que mas ensucian..Como no valorizan la belleza que tienen",,4,"Saint-Léonard-d'Aston, Canadá",,ene de 2025
Would not want to spend time here - only came here to catch the ferry  - not impressed,"Monday 28th October and we were here to catch the ferry to Isla Mujeres. It's name translates as the Beach of the Turtles, we did not see any.Overall this crescent shaped beach, with it's white sand, is enclosed by rugged rock formations at one end and a wooden jetty at the other. The beach is washed by the waters of the Caribbean Sea. The ferry pier has split the beach into two sections.The beach on the right hand side of the pier, when facing out to sea, is the smaller of the two. To the rear of this beach there are a number of bars with seating and tables on the sand. There were a handful of sunbeds and umbrellas as well. This section of the beach is enclosed by the ferry pier at one end and rocky headland at the other. At the time of our visit this side of the beach was rather ugly looking with lots of seaweed piled up along the waterfront.The left hand side of the beach was the larger and cleaner side. It sits between the ferry pier and the wooden jetty at the far end. Nearby the pier there was a bar with seating and tables.There was a tent/gazebo along the beach which appeared to be some sort of emergency treatment centre (centro de atencion inmediata). When we were here people were using it as a sunshade.Towards the jetty there was a restaurant/bar with sunbeds and umbrellas along the beach.The beach is accessible by public transport or by walking from the nearby hotels.",,2,"Devon, UK",,oct de 2024
Precioso lugar pero muy caro,"PLAYA PRECIOSA, muchos tours, baños, etc.Precios carismas, es lo único maloHay muchos hoteles en las orillasPlaya tranquila, donde se puede bañar o estar en la playa observando el mar",,4,El Salvador,,dic de 2024
Cancún beach visit,"We had a really good time at this beach, the water was beautiful and the waves were calm. We brought our own food and drinks but unfortunately as the beach is small there’s no where to sit other than in the waves! They have loungers/tables to rent but for $35 until 4pm. This is the same as the much larger beaches in Cancun but these are much larger so there’s more room to find a spot in the sand",,3,,,nov de 2024
Small underwhelming beach,"Small beach right on the port. Boats coming in and out from the port, packs of tourists coming in and out. The actual beach is like a 2 yards long. Very underwhelming",,2,"Orlando, FL",,oct de 2024
Pretty smaller beach,Very pretty beach. It’s small but clean and has cafes and bathrooms there.  There are chairs available with umbrellas for an extra cost.,,4,,,ago de 2024
Excellent!,One of the best playas. We have really enjoyed it alot! Its very easy to find and there alot of activities to do with the families including the beach.,,5,,,ago de 2024
