Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Muy bien trato y organización.,"Muy buena experiencia con el Capitán Cristian, la pasé bien y me agradó… el tiempo de recorrido y s adecuado… todo muy bien",Familia,5,1 aporte,31 de agosto de 2025,ago de 2025
Jet SKY,"Es una experiencia increíble la atención del Capitán Charly la mejor , muy atento, una persona muy especial, las motos estaban en perfectas condiciones con una amplia zona para recorrer La recomiendo al 100 para todo aquel que desee una buena experiencia para recordar",Familia,5,1 aporte,28 de agosto de 2025,ago de 2025
Nos fascinó regresaríamos de nuevo,"Excelente y de nuestro capitán Fox la atención 10/10 , es hermoso el tour y el paseo en barquito ni se diga . Cada año venimos a Cancún volveríamos a tomar el tour .",Familia,5,1 aporte,28 de agosto de 2025,ago de 2025
Fast and Funny,"Una actividad muy divertida y llena de adrenalina, vas muy rápido pero con la seguridad necesaria, además que el snorkeling es en un arrecife muy lindo",Pareja,5,1 aporte,24 de agosto de 2025,ago de 2025
Very good experience,Charly muy buena persona muy amable primera vez manejando jet ski y charly muy buen instructor los recomiendo mucho les doy un 10,Familia,5,1 aporte,22 de agosto de 2025,ago de 2025
Una experiencia para repetir sin duda,"Un experiencia muy buena. Desde la llegada, el show maya, el recorrido por la jungla.La lancha súper divertido y el snorkel muy bonita zona, con el coral, los peces y las estatuas. Nuestro capitán Fox súper  bien!!",Pareja,5,Amaia Z,21 de agosto de 2025,ago de 2025
Waverunner,¡Gran instructor volverá para Waverunner de nuevo! Disfrutamos de la velocidad y los trucos. Seguro y servicial. Bonita zona y bar es agradable,,5,1 aporte,15 de agosto de 2025,ago de 2025
Un lugar paradisíaco para relajarte y pasar los mejores de tus días,"Espectacular lugar , super la atención del personal .recomendado 100%.vistas y paisajes hermosos. Nuestro guía Roberto el mejor de todos",,5,1 aporte,15 de agosto de 2025,ago de 2025
Una de las mejores experiencias que he tenido,Qué bonita experiencia. Lo mejor de todo fue el de los barcos. El capitán Chris era un buen tipo y nos ayudó mucho a mí y a mi familia.,Familia,5,1 aporte,15 de agosto de 2025,ago de 2025
Gran tour con el capitán Fox,"El tour con el capitán Fox fue muy divertido y nos gustó mucho la experiencia. Fue muy amable, nos llevó a las estatuas y nos apoyó en todo momento. Lo recomiendo!",,5,1 aporte,13 de agosto de 2025,ago de 2025
Jungle tour,Padrísimo todooo! Y el servicio de Romel excelente ⭐️⭐️⭐️⭐️⭐️ sin duda lo volveríamos a hacer! La pasamos muy bien mis amigas y yo,Amigos,5,1 aporte,12 de agosto de 2025,ago de 2025
Excelente experiencia,¡Impresionante! Recomendaría a cualquiera que busque explorar la laguna / alrededores de Cancún y experimentar un pequeño pedazo de cultura maya,Pareja,5,1 aporte,5 de agosto de 2025,ago de 2025
Buen trato,"Muy buen tour para ir con la familia y muy buena atención del personal, de mi parte de Fernando y Enrique 👍🏻 totalmente recomendado",Familia,5,1 aporte,3 de agosto de 2025,ago de 2025
Excelente experiencia ya estuvimos antes aquí y repetimos,"Excelente experiencia, nos divertimos mucho, vinimos un grupo de seis personas, ya habíamos venido antes y repetimos la verdad lo recomendamos muchísimo una experiencia inolvidable",Familia,5,1 aporte,2 de agosto de 2025,ago de 2025
Actividad de Jet Sky,Súper recomendable con el amigo Bryan muy amable y súper atento con el tour de jet Sky muchas gracias y volveré…………………..,Amigos,5,1 aporte,30 de julio de 2025,jul de 2025
Interesante pero muy mal trato,"El tour en las lanchas y el snorkel es interesante y divertido, sin embargo,  tuve una terrible experiencia con el capitán de las lanchas Robert. Cuando nos subimos a las lanchas hice una pregunta auténtica y se enojó conmigo porque según él no había puesto atención, él dio las instrucciones en un inglés mal pronunciado, yo entiendo inglés pero no es mi primera lengua.Al comenzar el tour estaba muy emocionada manejando pero en cierto punto empezó a regañarme de manera grosera que iba muy lento, es una experiencia que nunca había hecho, por lo que no sabía que tan rápido teníamos que ir.Seguimos y volvió a detenerme y regañarme porque no estaba cumpliendo bien la fila, ahí sí se que yo estuve mal, pero consideraba que era una fila mientras estuviéramos todos uno atrás del otro no exactamente atrás de su bote.Fue sumamente grosero, me amenazó con regresarme y acabar con mi tour sin ningún reembolso, que no era capaz de hacer las cosas y que no entendía; me tuve que cambiar de asiento con mi acompañante, fue sumamente descortés y me hizo sentir muy mal, arruinó por completo toda mi experiencia y me sentí miserable el resto del trayecto.Eramos las únicas mexicanas del tour y fuimos a las que peor nos trató.Después en el snorkel intentó ser amable pero ya era demasiado tarde, dice que es así por temas de seguridad, pero hay manera de hacer las cosas y de comunicarse, pero él manejó muy mal la situación.Es una lástima que después de tanto viaje y entusiasmo por la experiencia se arruine todo por una persona como él. Sentí que pagué por pasar una experiencia horrible. Además de eso, no hay ningún interés por la cultura y nadie sabe nada de la historia de los mayas.",Familia,2,1 aporte,29 de julio de 2025,jul de 2025
Increíble experiencia,Fuimos con unos amigos 3 adultos y dos nenes de 9 y 10 años y la experiencia es increíble. Desde el comienzo por la limpieza energética maya y la carrera por el puente colgante hasta el recorrido en lanchas y el snorkel en los corales. Sin duda lo super recomiendo los chicos lo pasaron genial.,Familia,5,"Buenos Aires, Argentina",28 de julio de 2025,jul de 2025
Buena visita con Romel,"Muy buena!! Capitán Romel es el mejor! Manejar la lancha es muy increible, bucear con el snorkel y la comida es muy buena!!",Familia,5,1 aporte,28 de julio de 2025,jul de 2025
Increíble,Mi experiencia fue increíble con Charlie. Hermosa vista. Definitivamente vendrá de nuevo. Debe experimentar una vez en la vida. Love México Cancún.,Amigos,5,Mi experiencia fue increíble con Charlie. Hermosa vista. Definitivamente vendrá de nuevo. Debe experimentar una vez en la vida. Love México Cancún.,27 de julio de 2025,jul de 2025
Increíble,"Fernando fue muy divertido y guapo y el tour está increíble, vine con mi pareja y los dos nos divertíamos mucho. Recomendando",Pareja,5,"Cancún, México",26 de julio de 2025,jul de 2025
,"Charlie nos trató muy bien, las motos avanzan muy bien y en muy buenas condiciones , la verdad se recomienda mucho, hay que tener cuidado con las vueltas x que se pueden caer el segundo pasajero",,5,1 aporte,25 de julio de 2025,jul de 2025
Buen paseo!! Recomendable,Muy bien Roberto! Lo importante es que se ve que manejan muy bien todo y te sientes seguro(a) todo excelente!! Si vuelvo!,Amigos,5,"Nuevo Leon, México",24 de julio de 2025,jul de 2025
Increíble panorama y experiencia,"Excelente y novedoso tour , lo hicimos con Fernando y excelente guía también muy recomendable a mis niñas les encantó en familia una súper experiencia",Familia,5,jenny h,24 de julio de 2025,jul de 2025
,Increíble mejor servicio y la tripulación se queda cerca para asegurarse de que todo el mundo está a salvo mejor moto acuática en la ciudad! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,,5,1 aporte,21 de julio de 2025,jul de 2025
Excelente actividad para todos,"Excelente trabajo, se disfrutó mucho, siempre guiado, se sintió seguro y los capitanes muy atentos y amabkes. Vistas muy bonitas  y divertido para todos.",Familia,5,1 aporte,20 de julio de 2025,jul de 2025
Excelente,"Estuvimos aquí con mi familia y definitivamente puedo decir que es un lugar increíble, desde el recibimiento, la comida, el ambiente. Nicole hizo de nuestra velada una noche increíble, su atención fue muy buena, esperamos volver !",Familia,5,1 aporte,18 de julio de 2025,jul de 2025
Jetskis,"Un paseo muy divertido, va a la velocidad deseada, muy cansador y con posibilidad de caerse, pero lo recomendaría a todas las edades mayores de 12 años, ya que solo aquellos que tienen 18 años o más pueden conducir el Jetski y a mi hermano le costó mucho sujetarse.",Familia,5,1 aporte,10 de julio de 2025,jul de 2025
Dulce comentario,Muy buena atención y excelente atracción recomendada nos tocó un guía muy buena onda Llamado Romel nos ayudó mucho en las instrucciones para tener un buen tour 👌🏻,Pareja,5,1 aporte,9 de julio de 2025,jul de 2025
Emocionante y bonito la vez,"Excelente experiencia, muy bien organizado, la lancha funcionó muy bien.Fernando fue un gran guía durante el recorrido",Familia,5,"Santa Marta, Colombia",6 de julio de 2025,jul de 2025
Excelente,"Me encanto elServicio de todos los empleados y más de nuestro guía romel, nos auxilió en todo! Excelente!!!!!!!!!!!!!!!",Familia,5,Daniela P,5 de julio de 2025,jul de 2025
Increíble,"Muy buena atención, establecen bien las reglas y están al pendiente de todos. Increíble servicio, por supuesto que volvería a realizar esta actividad",Pareja,5,1 aporte,5 de julio de 2025,jul de 2025
Amazing tour,"The service of the captain fox was amazing 🤩 I will definitely do it again         Gracias Al capitán Fox pude realizar mi actividad,mucho apoyo y profesionalismo",Familia,5,1 aporte,4 de julio de 2025,jul de 2025
Captain Fox 10/10,"Excellent service with captain fox, it was super fun. Excelente servicio con el capitan fox fue muy divertido sin duda una experiencia que lo volveria a repetir",Pareja,5,1 aporte,1 de julio de 2025,jul de 2025
Excelente,"Perfecto muy padre todo, el capitán Fox muy atento y amable en todo momento, gran persona y profesional en su trabajo, ayudó a mi novia todo el tiempo",Pareja,5,1 aporte,1 de julio de 2025,jun de 2025
Jet sky,"Me la pasé increíble, el chico bryan tiene mucho talento y muy atento y amable, todo es muy seguro y la experiencia y vistas inigualables",Pareja,5,1 aporte,1 de julio de 2025,jul de 2025
Buena experiencia,"La experiencia estuvo buenísima, Fernando es un excelente capitán lo recomiendo, explica muy bien en inglés y español",Solitario,5,Minsel,25 de junio de 2025,jun de 2025
El viaje mas divertido,"Buena experiencia, mi guía fue Cristian viajé con mi familia a este tour por Cancún y fui a varios más pero para mí este fue el mejor cuando íbamos buceando viendo el mar por accidente me raspé con un coral y Christian me rescató, me ayudo y me desinfecto la herida. Mientras los demas buceaban los ultimos 5 minutos el me ayudo con la herida y se puso a platicar conmigo y mis hijas. Sin dudas, no seria la misma experiencia sin estos guias tan serviciales, amables y divertidos. Los personajes mayas en especial Juan o Jesus, no recuerdo cómo se llamaba.",Familia,5,1 aporte,23 de junio de 2025,jun de 2025
El mejor viaje,"El viaje fue muy divertido y emocionante. La mejor parte fue cuando nos subimos a las lanchas, nuestro guía fue Cristian de Cancún Quintana Roo. Nos guió y cuando buseamos el noto que me daban miedo los peces y me ayudó a nadar, después de que nos diera el tour yo y mi familia nos pusimos a platicar con el. El viaje fue muy divertido y nuestro guía fue muy amable y divertido. Fui a 5 tours por Cancún y sinceramente este fue el mejor.",Familia,5,1 aporte,23 de junio de 2025,jun de 2025
Divertido,"Muy buen servicio de capitán Fox y todo el staff del lugar, fue una experiencia muy divertida y satisfactoria, vengaaan 10/10",Amigos,5,1 aporte,18 de junio de 2025,jun de 2025
Muy buena experiencia,"Excelente tour, muy completo y el guía Fox se portó excelente, muy buena atención, gracias, recomendados ampliamante,",Pareja,5,"Hermosillo, México",16 de junio de 2025,jun de 2025
"Increibleeeeee , lo super recomiendo la verdad una experiencia unica, el equipo super especializado , muy atentos y dedi","Increibleeeeee capitan Fox  , lo super recomiendo la verdad una experiencia unica, el equipo super especializado , muy atentos y dedicados con todos nosotros, gracias gracias gracias regresaremos desde las vegas nevada !!!!",Pareja,5,"Montevideo, Uruguay",11 de junio de 2025,jun de 2025
"EXCELENTE STAFF, TOUR Y LOCACIÓN","Estuvo fantástico, desde la recepción quienes con una sonrisa nos dieron la bienvenida, la decoración del lugar, los baños y lockers limpios y presentables. El show maya con Erick, Giselle, Harry y Jesus con sus asombrosos atuendos y el baile. Juan quien nos explicó muy bien en español e ingles acerca de los mayas y como funcionaba el tour. La fotografa quien tambien tiene una actitud super positiva. El staff en la lancha también muy atentos, nuestro capitan Fox estuvo siempre atento y priorizo la seguridad para que todos nos divirtamos. El snack estuvo bien y la mesera y bartender se acercaron a ofrecernos algo más y también tenian una muy buena actitud. Recomiendo ampliamente el Puerto Maya Jungle Tour!!! Excelente staff y actividades!",Pareja,5,samantha r,11 de junio de 2025,jun de 2025
10/10,Fernando fue un guia muy bueno y atendiente. Lo haria mil veces mas si pudiera. Fue muy divertido y familiar. Era bastante tiempo para hacerlo todo.,Familia,5,Sofia O,10 de junio de 2025,jun de 2025
Paseo en manglar tranquilo y relajante,Hicimos el tour de manglares con Fabio y fue el mejor! Un paseo relajante muy agradable a través de los manglares. Fabio nos condujo por un laberinto de manglares y nos señaló dónde suele ver iguanas y cocodrilos. ¡También vimos un montón de peces!,Pareja,5,1 aporte,10 de junio de 2025,jun de 2025
Un paseo que vale la pena hacer,"Súper recomendable, vale mucho la pena hacer este recorrido 😍, no con niños muy pequeños . Nuestro guía Don Enrique gran anfitrión , las vistas , desde la laguna hasta el océano incomparable . Seria bueno que el tiempo haciendo snorkel fuera un poco más y el show maya un pocoMenos tiempo pero volverías una y otra vez",Pareja,5,Arena B,10 de junio de 2025,jun de 2025
"Great service, amazing experience","El capitán Fox es un excelente guía, fue muy paciente con muchos de los turistas que se estaban quedando un poco atrás, y ayudó a mi mujer cuando estaba sintiendo un poco de ansiedad al bajar el speed boat y hacer snorkel",Pareja,5,1 aporte,6 de junio de 2025,jun de 2025
Vacaciones,Excelente súper recomendado el chico que nos atendió nos dio un excelente servicio conducimos  lo recomendamos al 100 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,Amigos,5,1 aporte,31 de mayo de 2025,may de 2025
Excelente gracias al capitán Fernando,"Capitán FERNANDO fue excelente,  atento, claro, amable,  me ayudo a poder practicar la actividad sin miedo y con mucha confianza",Solitario,5,1 aporte,30 de mayo de 2025,may de 2025
La mejor experiencia,"Es increíble el snorkel los corales, en especial las vistas hermosas, el guía hace un excelente trabajo en la explicación su personalidad es genial, amable, amigable",Negocios,5,1 aporte,30 de mayo de 2025,may de 2025
Me encantó mucho esta experiencia y a mi familia mucho más,"Estuvo todo muy increíble, el guía Cristian muy amable y buena compañía, gracias por todo y excelente servicio...GRACIAS!!!",Familia,5,1 aporte,30 de mayo de 2025,may de 2025
Excelente,"Me encantó la experiencia sinceramente en capitán Fox hizo la dinámica buenisima , la atención y todo lo demás me encantó todo.",Pareja,5,1 aporte,28 de mayo de 2025,may de 2025
Mejor actividad 100/10,"Capitán Fox es el mejorrrrr capitán del mundo, muy simpático, didáctico, y energético. Recomendadosisisiismo este tour, la mejor actividad que hice en Cancún, por lejos.",Solitario,5,1 aporte,28 de mayo de 2025,may de 2025
Divertida experiencia,"Excelente actividad, muy divertida y bonitos paisajes. Muy bien llevado por nuestro guia Flash, muy atento y explicaciones concisas",Solitario,5,"Madrid, España",27 de mayo de 2025,may de 2025
Visita a Jungle Tour y speed boat.,"Fue muy divertido, guía con instrucciones claras, seguro y con buen snorkel.Lo volvería a hacer y regreso pronto con mi familia.",Solitario,5,Noel moo,27 de mayo de 2025,may de 2025
Muy bueno,"Excelente tour con nuestro capitán Flash. Muy recomendable! Muy buen trato, actividades y tiempo para cada una. Tuvimos 1 snack tradicional delicioso",Solitario,5,Said L,27 de mayo de 2025,may de 2025
Una experiencia inolvidable ♥️,"Super padre la experiencia, la atención del personal es super amable y el ambiente perfecto para disfrutar de unas deliciosas vacaciones. Sin duda lo recomendamos ✨️🎉♥️",Pareja,5,1 aporte,25 de mayo de 2025,may de 2025
"Excelente atención, seguridad y hermosos paisajes","La experiencia fue súper buena, desde un inicio los guías explican todo muy bien. Las instalaciones bastante cuidadas y llamativas. Hermosos paisajes entre los manglares y el snorkel fue toda una experiencia, ves mucha fauna marina y todo es seguro. El guía Fabio es muy atento, amable y todo el tiempo está pendiente de ti, de tu seguridad y de que disfrutes el tour. También nos tocó el Capitán Charlie en los jeskies, da la información bastante bien sobre lo que se debe y no se debe hacer, está cuidando de ti en todo momento y hace que la experiencia sea segura y divertida.",Pareja,5,1 aporte,17 de mayo de 2025,may de 2025
Tour de Manglar,"Disfrutamos mucho del corto espectáculo maya, ya que los actores fueron muy buenos y divertidos para interactuar. El personal era muy amable y servicial.",Familia,4,Wanderer52251503707,15 de mayo de 2025,may de 2025
NO TE LO PIERDAS!,"Es un gran tour, el show de Danza maya es muy intersante, la experiencia de manejar la lancha rapida es muy divertida, y segura. Los paisajes que puedes observar durante el recorrido son realmente hermosos, fauna silvestre, aves, etc... La joya de la corona es la parte del Snorkel, es un arrecife con abundante fauna marina y el staff te proporciona todo lo necesario, visor, snorkel, chaleco salvavidas, aletas. El camino de regreso es igual de ameno y divertido, fué tan buena mi experiencia que a los 3 días regrese para hacerlo una segunda vez. Mención honorífca a los guías, son excelentes!, cuidan tu seguridad en todo momento, hablan muy bien ingles y español, son amables, y dan indicaciones claras y precisas. En mi primer viaje tomamos 2 lanchas, eramos un grupo de 5 personas, 3 adultos y dos niños de 6 y 9 años. Yo viajé con mi ahijado de 6, y en la otra lancha viajaron 2 adultos y la menor de 9.En mi segundo tour fuí con mi cuñado y su hija de 16 años, tomamos una lancha familiar y fue igual de divertido que el primer viaje.",Familia,5,"Monterrey, México",14 de mayo de 2025,abr de 2025
Jungle tour,"Exelente tour, muy buen recorrido con el Capi Fernando, exelentes embarcaciones y muy buena explicación.100% familiar",Familia,5,1 aporte,3 de mayo de 2025,may de 2025
Gran tour para divertirse y hacer Snorkeling,"Gran tour con un toque de la cultura maya, Snorkeling y lancha rápida. Fue muy divertido manejar la lancha, los guías son excelentes",Solitario,5,Concierge M,3 de mayo de 2025,may de 2025
Super increíble,Increíble! Todo perfecto y muy bien el capitán Fox súbanle el sueldo hace muy ameno el recorrido Y jhony un excelente trabajo gracias por todo,Pareja,5,Fernando J R,30 de abril de 2025,abr de 2025
Suuuper!!!,"Excelente recorrido, unas vistas preciosas y el arrecife bellísimo!!! Super recomendable!! Romel muchísimas gracias,",Familia,5,1 aporte,26 de abril de 2025,abr de 2025
PESIMA EXPERIENCIA,"pesimo, $ 6,000 y pierdes tiempo al inicio con un show maya. . .  las lanchas son antiguas y apestan a gasolina,  snorkel solo dura 20 minutos . . el trayecto en lanchas es feo lago sucio . . y te presionan para que les des propina $, si ya pagaste caro por el servicio de seudo-tour.",Familia,1,OMAR H,26 de abril de 2025,abr de 2025
"Excelente experiencia, me encantaría repetirla, muy buena y bonita presentación muy recimendados",Maravillosa experiencia en Jungle Tour para disfrutar en familia. Muy amables y experto en lo que hacen los líderes muy atentos a las familias y parejas,Familia,5,Explorer65442092201,25 de abril de 2025,abr de 2025
Increíble Aventura Maya,"El tour es excelente! Los botes son seguros y rápidos. Al inicio la ceremonia Maya fue muy bonita. Nuestro guía de bote, Romel, fue maravilloso. Tenía conocimientos de cómo conducir el bote y todo el tiempo nos hizo sentir seguros. Hablaba en inglés y español así que toda mi familia pudo disfrutar de la experiencia sin problema. Un poco más de historia y contexto Maya sería maravilloso para que tanto nacionales como turistas puedan aprender de nuestra maravillosa y hermosa cultura. 9.5/10 a esta experiencia!",Familia,5,1 aporte,23 de abril de 2025,abr de 2025
El ritual maya esta super!,"Paseamos por toda la laguna, viendo manglares, hoteles, yates. La experiencia es corta pero intensa. El ritual maya a cargo de Giselle me pareció atractivo",Familia,4,"Xalapa, México",21 de abril de 2025,abr de 2025
Bonita y divertida experiencia!,"Excelente opción de tour de 3 horas! Las lanchas y el snorkel estuvo increíble y divertido, nuestro capitán guía fue Fox y realmente la pasamos genial! Recomendado!",Familia,5,Mario B,16 de abril de 2025,abr de 2025
Muy buen servicio,Excelente lugar la estancia y la atención. Todos amables es una muy bonita experiencia. A mis hijas les encanto y volveríamos a repetirlo,Familia,5,1 aporte,13 de abril de 2025,abr de 2025
Increíble,"Primera vez haciendo estas actividades y es excelente, desde la atención hasta el último recorrido. Lo recomendaría.",Pareja,5,1 aporte,13 de abril de 2025,abr de 2025
Gente excelente,Gente Excelente amazing Ariba muchas gracias por todo Brayan mi muchacho hermano. Wowiwowowowowowowowowowowowowowowow.Jet ski,Amigos,5,1 aporte,11 de abril de 2025,abr de 2025
Gran actividad de 3 horas,¡Muy bien! Hermosa actuación maya seguida de un épico paseo en barco a velocidad oceánica hasta un lugar de snorkel y viceversa. Muy eficiente. Me sentí seguro y bien guiado todo el tiempo.,Pareja,5,1 aporte,1 de abril de 2025,abr de 2025
Excelente,"Fercho Fernando era un excelente guía turístico. Más navegación en la costa del océano de lo esperado, pensé que habría más crucero por la selva, pero aún así un buen momento",Familia,5,1 aporte,1 de abril de 2025,abr de 2025
