Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Una gran experiencia con familia.,"Es muy buena la experiencia, el acuario es limpio, nos tocó un día tranquilo y a pesar de que hay gente está muy fluido. La pecera de las medusas son increíbles y muy bonitas",,5,,,sept de 2025
Un día diferente!,Todo muy bien Un poco caro las actividades con costo extraEn Arcade deben dar tickets para intercambiar por dulces o premios.,,4,,,sept de 2025
Maravilloso,"En mi opinión nos facino pasar por el túnel donde estaban los tiburones y a mi niña de 6 años le encantó todos los juegos, es un lugar muy bonito y excelente servicio, áreas muy limpias.",,5,,,sept de 2025
Diversión,"En mi opinión las instalaciones son de muy buen agrado ya que vine con familia y amigos ,la verdad se divirtieron demaciado es un excelente lugar para pasar un buen rato y para pasar una buena diversión.",,5,,,sept de 2025
UN DÍA INOLVIDABLE,Vine con mi familia y la experiencia es increíble en todos los sentidos y tienen una variedad de cosas para chicos y grandes lo que más me gustó pues las diferentes especies que maneja el acuario,,5,,,sept de 2025
La mejor experiencia para tu peque,Es un lugar muy seguro y increíble excelente servicio muy bonito todo el lugar y el personal excelente .Recomendado al 💯,,5,,,sept de 2025
Mi experiencia en el acuario,"Nos gusto ver todo los animales Compartir está experiencia con mi hija fue de lo mejor,le encantó ver a los pingüinos 😁💚💚💚💚💚💚💚💚💚💚💚💚",,4,,,ago de 2025
Acuario Michin con mi novia,"Vine con mi novia y estuvo increíble.Exhibiciones  muy bonitasLugar limpio(Mejorar área de pingüinos, huele a culo) Lugar organizado",,4,,,ago de 2025
Visita agradable,"Mejorar el servicio Guías SeñalamientosOrden Todas las atracciones tienen costos adicionales, con horarios específicos",,3,,,ago de 2025
Experiencia personal.,"Un lugar muy completo, con muchas áreas de interacción para los niños; el cuidado de las especies es muy bueno y el tiempo se pasa súper rápido.",,5,,,ago de 2025
Si recomiendo asistir pero tomando en cuenta los tiempos los,No hay suficientes áreas para que los pequeños puedan jugar. No cuentan con suficientes sillas de ruedas. La comida es muy lenta.Las interacciones si están fuera del presupuesto para todos.,,3,,,ago de 2025
Tiempo,"Es un poco tardado para entrar , los de la entrada muy groseros no te solucionan y tardan mucho en los juegos tardan más a la gente y eso desespera",,4,,,ago de 2025
Mi dia en Acuario Michin,"No me gusta que te cobren todas la sinteracciones adentro , terminas pagando el doble de lo quevpagas a la entrada . Lo ideal sería que te armaran paquetes desde la entrada para saber desde un inicio el verdadero valor . Hace falta más personal , hay muchisima gente, no encuentras quien te pueda resolver una pregunta hasta de donde esta el baño, el lugar es muy grande . En el área de brincolines sacan a los niños que ya entraron y bo los dejan ponerse sus zapatos adentro , los niños tienen que sentarse en el suelo sucio para ponerse sus zapatos . Muy caro",,3,,,ago de 2025
Excelente experiencia,"La experiencia de darles de comer a los pajaros es muy bonita, y el mar abierto igual está impresionante, las ranas muy exoticas",,4,,,ago de 2025
Gran lugar pero hay que ir preparados.,"El lugar tiene muchos atractivos y puedes estar horas sin aburrirte. Complicado la entrada y la cantidad de personas que no deja ver bien los animales. Las opciones de comidas limitadas. Por lo demás, perfecto.",,3,,,ago de 2025
Mi Visita,"Lo que no me gustó fue la falta de aire acondicionado en el lugar, se siente mucho calor, el personal para ingresar nada amigable y lo que si me gustó fueron las capibaras, tarántulas y los juegos",,3,,,ago de 2025
Linda experiencia,"Las especies en buenas condiciones, las interacciones y los animales marino excelentes, buenas instalaciones y todo limpio",,4,,,ago de 2025
En general bien,Solamente ser un poco más amables en donde venden comida ya que no me quisieron dar una coca y vengo en un evento corporativo,,4,,,ago de 2025
Día en el acuario,"Es una exhibición muy completa y agradable, lleno mis expectativas, sin embargo se me hizo de alto costo las atracciones pagadas, sugiero un costo más elevado dentro de un estándar pero teniendo acceso a estos o incluir más interacción.",,3,,,ago de 2025
Bien,"Estuvo bien pero elarea de comida falta personal, esta muy grande el lugar super padre, el boliche lo amo, además los animales están muy bien cuidados",,3,,,ago de 2025
Regular,"No respetan promociones, demasiada gente y poca supervisión de los grupos, las actividades están muy saturadas y no puedes disfrutar el lugar",,3,,,ago de 2025
Algunos inconvenientes,"Llegamos temprano y no alcanzamos la promoción de entrada, pagamos normal y además cobran muy caro por dar de comer a los animales",,3,,,ago de 2025
Planea ir lo más temprano posible,"Me parece un poco caótico, no hay mucho control en varios lugares y las filas de espera son largas, las especies están bien cuidadas.",,3,,,ago de 2025
Experiencia en el acuario,"Está bonito  todo pero nos restringen mucho en algunas actividades por nuestras entradas , pero de ahí en fuera está limpio y  son amables aunque un poco cara la comida.",,3,,,ago de 2025
Buena,"Muy divertido, limpio, con variedad y los animales bien cuidados, pero muchísima gente, seria mejor que por día entrarán menos.",,4,,,ago de 2025
Kendrick pésimo servicio deberían considerar mantener lo de personal,Kendrick ( un miembro de su personal) pésimo servicio me aventé por la tirolesa y de regreso me dio miedo por los puentes le pedí que me apoyara y no hizo más que regañar me uno no paga para que lo regañen a el contario su trabajo es servir y apoyar aparte de todo con su coraje aventó el riel eh hizo que me pegara en la boca!  Todo bien menos esa persona deberían de capacitar a su personal para dar un buen servicio y ser claro que sí no les gusta el atención a clientes que no se renten. De ahí en fuera un lugar excelente,,2,,,ago de 2025
Pésimo manejo de grupos y su seguridad,"Cómo lugar es excelente. Pero la gestión y administración de los grupos que ingresan es muy mala. Cuando fui, desafortunadamente acudieron dos grupos de curso de verano y acapararon todo el dia. Para que los niños pudieran subir a una atracción tenían que hacer fila de 30 niños o más, pesimo. Señores, por favor si ya tiene programados grupos tan grandes cierren el lugar y eviten tan malas experiencias a usuarios de a pie. Programen horarios específicos para estos grupos. En verdad, no solo es el espacio, también la seguridad está de por medio con grupos tan grandes. Por favor pongan atención a esta cuestión.",,2,,,ago de 2025
Terribles condiciones y falta del cuidado con las aves,"Pésima experiencia, como es posible que el aviario esté descubierto a la intemperie, el domingo 10/08/25 cayó un diluvio, las aves q en su mayoría son de clima caliente quedaron empapadas, todos entumidos, una lástima verlos en esas condiciones, eso me hace pensar q no hay especialistas ni se preocupan por los animales, ya que los cuidados básicos como mantenerlos en una área cálida y con opción a refugiarse al parecer no los conocen los cuidadores, que terrible q un lugar tan grande y de tanta fama, se vea tan carente en los cuidados básicos de las aves.Por otra parte los animales como toda especie requiere disciplina y respeto en los horarios de sueño y descanso, cosa q al parecer también desconocen los especialistas y extienden el horario de acuario hasta las 10 de la noche, por lo cual los animales están expuestos a periodos de estrés prolongado. Evidentemente sigue siendo un lugar q solo se aprovecha y maltrata a los animales con tal de beneficiarse económicamente, es una pena q se siga explotando a los animales de esta forma, todo una decepción, fui con la expectativa de un lugar más amigable y cuidadoso con los animales, y salí sumamente decepcionado y triste por las condiciones de varias especies.",,1,,,ago de 2025
"Buena experiencia en el acuario, en la atracciones perdimos","Con la parte del acuario todo bien, pero perdimos casi dos horas formados y solo nos pudimos subir a dos atracciones cuando pagamos para todas.",,3,,,ago de 2025
Salida familiar,"Me agrado el pabellón de los tiburones, pero mi hija venía más que nada a conocer un capibara y los boletos estaban agotados, de ahí en fuera todo agradable.",,3,,,ago de 2025
Me gustó que hay espacio entre cada pabellón para distribuirse,"Las instalaciones son limpias, es accesible para llegar, dentro falta señalización y que habrán más cupo en el horario de promoción",,3,,,ago de 2025
Regular,"Bien en cuanto al acuario, mal en la logística de precios, llegué a las 8-30 y y ame tocaron boletos de las 10.no me gustó el trato del personal para la experiencia de los lemur, parecía que la persona me regañaba, no ha opción de nada, muchas gente, hay cosas que no se.aprecian por estar lidiando con las aglomeraciones de gente. No me parece el precio para lo que es en temporada vacacional.",,3,,,ago de 2025
Regular,"El lugar tiene variedad de reptiles, peces, se ve limpio. Sin embargo, exceden el culpo de personas y llega a ser incómodo el lugar por el exceso de gente que dejan pasar, no permite que uno puedo ver bien a todo y disfrutarlo, además de que no existe ninguna promoción para presionar de discapacidad y de la tercera edad, algo a considerar para la inclusión.",,3,,,ago de 2025
Mi experiencia,"Hay exceso de gente , el acuario es muy pequeño en comparación de las fotos  y promocionales. Hay muchas fila para las actividades interactivas",,3,,,ago de 2025
"Un lugar lindo, pero puede mejorar","Todo está ordenado y limpio, los animales me parece que están en espacios muy reducidos, eso no me gustó, el área de comida de PB es un desastre! No hay personal suficiente desde mi punto de vista",,3,,,ago de 2025
"Me encanta venir, es la 3ra vez que visito el acuario y siempre me sorprende.","Excelentes instalaciones, todas las especies están en muy buen estado. Es un lugar ideal para aprender y divertirse al mismo tiempo.",,5,,,ago de 2025
Experiencia michin,La experiencia es buena en general sin embargo el tema del acceso es un poco complicado. Hay variedad de animales y los costos en cafetería son accesibles.,,3,,,ago de 2025
Excurcion delegación,Me parece que les hace falta un poco de organización. O tal vez el día qie asistimos había demasiada gente y es imposible pasar a ver las atracciones. Debería de haber más personal en las áreas para una mejor organización,,3,,,ago de 2025
CONOCIENDO MICHIN,"Me encantó el área de pingüinos Flexibilidad de horario sugiero mayor tolerancia de acceso y salida, cómo foránea batalle con los traslados.",,4,,,ago de 2025
Fatal,El servicio deja mucho que desear des las cajas hasta el área de comida toda le experiencia muy nefasta el trato muy limitado y todo muy mal organizado,,2,,,ago de 2025
Buen lugar,"El lugar está increíble, los niños se divierten mucho, pero hay mucha gente y filas para todo.Pero en general los niños la pasaron muy bien, hay muchas opciones para comer también",,4,,,ago de 2025
"Fue divertida, entretenida y adecuada a varias edades","Buena, personal amable y atracciones didácticas, es muy amplio y con muchas actividades a realizar, accesos y promociones adecuadas a las necesidades.",,4,,,ago de 2025
Bien,Pues pequeño y mucha gente pero buena organización en cuanto al personal. Y por el precio no diría que vale mucho la pena en algunos aspectos,,3,,,ago de 2025
Salida en familia,El túnel está padrisimo pero todo cobran independiente de la entrada los chicos de la comida muy groseros pero las de los piso muy amables,,3,,,ago de 2025
Menos ruido en el área de animales,"Me parecen bonitas y limpias las instalaciones, solo que haya demasiado ruido, y los animales se estresan, eso no me parece bien",,3,,,ago de 2025
Fue una gran experiencia en todas sus atracciones en el michi,Fue una bonita experiencia solo q salimos sin querer y no nos volvieron a dejar entrar y fue x error q salimos pero al final volvimos a entrar y pagar una entrada más pero si debería dar ala entrada folletos de información sobre la salida😋,,3,,,ago de 2025
Acuario Michin,"Deberías haber paquetes que incluyan todas las actividades. Nos gustó los peces, las actividades del nivel 2 y los capilares.",,3,,,ago de 2025
Regular,"No me agrado el horario cuando entramos a las 11 am ya que los que pagan entrada a las 8 y 9 am acaparan todas las actividades con los animales, también el aforo con grupos de escuela hacen que el recorrido se dificulte por el espacio reducido.",,3,,,ago de 2025
Bonito pero engentada,"Mi consejo sería que si hay promociones que no vendan boletos para todos los días, si no solo el día correspondiente....",,3,,,ago de 2025
Satisfactoria,"Pues creo que las promociones son bastante engañosas y las actividades con costo extra igual son caras, pero lo que si es que es un bonito lugar pero para venir a vivir la experiencia.",,3,,,ago de 2025
