Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
¡Una visita obligada!,Maravilloso lugar para visitar! El guía estaba bien informado sobre el sitio y explicó la importancia y configuración del espacio. Pudimos volver a ver las múltiples estructuras con información contextual.,,5,,,jul de 2025
Hito cultural,"Es un lugar religioso muy apreciado. Consta tanto de la basílica antigua histórica como de la estructura moderna, dando a los visitantes una experiencia arquitectónica y espiritual diversa.",,5,"Fukuoka, Japón",,dic de 2024
Increíble,"Nuestro guía turístico era extremadamente bien informado y servicial! El museo es increíble y hay mucho que ver y experimentar, así que sin duda recomiendo un guía cuando visite",,4,,,jun de 2025
Misas cada 1 hora !!,"Si eres católico, es un imperdible.Si no lo eres y tienes curiosidad por el manto de la Virgen de Guadalupe, vale la pena ir a verlo",,5,"Santiago, Chile",,jun de 2025
¡Unos de los lugares más sagrados del mundo!,"Sin duda alguna este es uno de los lugares más sagrados del mundo, dónde nuestra Virgen de Guadalupe apareció a San Juan Diego. Poder ver la imagen original de nuestra amada madre es una experiencia inolvidable, única y que nos hace sentir paz, amor y recargar nuestras vidas de cosas buenas y del amor divino de nuestro Padre y nuestra Madre celestial! Que hermoso es estar aquí y sentir todo este amor! Lugar increíble, sagrado y lleno de amor! Que Dios y nuestra Madre nos bendiga siempre!",,5,"Ciudad de México, México",,may de 2025
Enorme basilika moderna,"Este es un buen ejemplo de cómo satisfacer las nuevas necesidades religiosas, pero preservando el medio ambiente tradicional. La basílica en sí es impresionante, pero hay otros siete edificios en la zona, así que habla tu tiempo para caminar",,4,"Upsala, Suecia",,abr de 2025
un museo escondido,un gran museo dentro existe un gran museo que pocos conocen un rincón con maravillas de arte novohispano muy recomendable para visitar después de visitar las dos iglesias tomar el tiempo para visitar el museo y disfrutar de grandes muestras de arte sobre todo una pinacoteca muy completa.,,5,"Guadalajara, México",,mar de 2025
Anotar las horas de masa más actualizadas,Fue temprano en la mañana para evitar misa y hubo una misa. No en el sitio web. Caminamos por el terreno y volvimos a la Basílica. La reliquia se puede ver en la pasarela en movimiento incluso cuando está en misa.,,5,"Chicago, IL",,mar de 2025
es todo un complejo religioso... un balsamo espiritual,"no es solo una Basilica, debes hacer el recorrido por todas las iglesias y capillas del complejo, primero eso si, admirar la imagen de Nuestra Señora, visita la tienda de la basilica, hay mucho arte religioso.",,5,"Cali, Colombia",,nov de 2024
Gran lugar para pasar un par de horas,"Hermoso complejo de edificios y estatuas, bastante para caminar y ver. La mayor parte se cierra a las 5: 30 pm pero la basílica principal está abierta hasta las 9 pm. No preguntes por Santa María de Guadalupe solo por la Basílica de Guadalupe ya que hay otra más al norte. Todo es gratis.",,5,"Houston, TX",,feb de 2025
Believe you will experience God's Love,Calm and peaceful... I have got a chance to celebrate Holy Mass and Filled with positive energy after celebrating Holy Mass at the great alter... Thanks,,5,"Kottayam District, India",,feb de 2025
Extraordinary space both inside and out,"Modern-ish church and square, both of huge and impressive size. A real family atmosphere with adults and children sitting and eating everywhere. A lovely place.",,5,"Norwich, UK",,ene de 2025
The cloak..,"We came here as part of our tour. The Basilica itself it rather new and built to hold a large congregation, hence, does not have the grandger of old churchs. I think this place has more meaning for those who are religious. There is a moving sideway that goes under the hung image of the virgin cloak.",,4,"Ann Arbor, MI",,ene de 2025
Imponente,"“La Basílica de Guadalupe es un destino emblemático a nivel mundial y un lugar de gran importancia cultural y religiosa. Aunque tiene una infraestructura impresionante, cuenta con una fisura notable que no pasa desapercibida. Sin embargo, sigue siendo un sitio que vale la pena visitar y disfrutar.”",,4,"Bogotá, Colombia",,ene de 2025
Great place to visit!!,"This place is wonderful, the architecture is perfect; great experience for believers 🙌. If you want to buy souvenirs, go to the mercado next to it as the prices are 50% cheaper than inside the basílica!!",,5,"San Antonio, TX",,dic de 2024
Nice pilgrimage center ,"A nice pilgrimage center, although crowded, but not a long wait at any location within the center, not very accessible to English speaking crowd, to see the shroud we had to guess where the line is but it turned out correct in the end, there could be a long wait at the store, there is a museum but it would have been nice to have descriptions in English too!",,4,"Boston, MA",,dic de 2024
Emocionante,"Un lugar imprescindible para cualquier cristiano que visite Ciudad De México. Las dos Basílicas y los alrededores, son lugares de culto y se nota la devoción de los visitantes. Realmente entrañable e inolvidable.",,5,"Bilbao, España",,nov de 2024
İnteresting Basilica ,"Maybe not the biggest but one of the most important basilicas. Even Visited by popes multiple times. Some of the buildings are tilted, looks like they may collapse any time.",,5,"Graz, Austria",,dic de 2024
This is worth a visit even if you are not religious or Catholic.,"The major draw is the contemporary basilica, but I also suggest going up the hill to see the scenery and people. Amazing!",,5,,,dic de 2024
Sitio obligado de visita,"Lugar obligado para visitar, muy organizada, muy bien preservada, dan misa cada hora, tienen tienda propia para comprar recuerdos, a la salida tienen un sitio para bendecir lo que compraste ",,5,,,nov de 2024
Genial!!,"Es un lugar impresionante, independientemente de la religión que practiques, recomiendo 100% visitarlo, es muy grande y tiene cosas muy interesantes, además de su historia que es bella.La Paz y la tranquilidad de este lugar es maravillosa",,5,"Villa Clara Province, Cuba",,oct de 2024
Historical Breathtaking Catholic Crowded,"Great!Peaceful!Magestic!And very congested with tourists! We came here on an Uber ride, no need for a tour guide.Don’t forget, this is a church that does hold regular mass. It still requires visitors to practice respect toward the Catholic faith. This is a large property with two churches and the hill of Tepeyac. Make sure to take your time and stop and visit everything. Don’t feel intimidated with the stairs leading to El Cerro de Tepeyac, where Juan Diego saw the virgin mother. Once you get there, they have a souvenir section, a cemetery, which I didn’t get to see due to it being closed. You will also visit a small chapel. The chapel is where Virgin Mary tilma used to be. You’ll find a  souvenir shop and some street food vendors.From there, you can also take in a spectacular view of the city. Definitely well worth the short 15 minutes of steps up. The historic old chapel is also worth seeing, as it is gradually sinking. Its architecture is breathtaking.",,5,"Mission, TX",,jul de 2024
Beautiful,"One of the most beautiful churches to visit.very impresive,beautiful to see.when you are in mexico city this is a must.",,5,,,sept de 2024
"""Iglesia monumental""","La Basílica  dedicada a la Virgen de Guadalupe,impresiona por su arquitectura circular,posee un estilo moderno.Es el recinto mariano más visitado del mundo.En su interior hay paredes llenas de obras artísticas.¡¡Es un recinto católico que impresiona!!",,4,"La Serena, Chile",,mar de 2024
