Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Imperdible,"El acceso al parque está bien señalizado, en buen estado y es fácil incluso para personas mayores y niños. Es bastante concurrido. No se permite el ingreso de mochilas, comida ni agua. El castillo es hermoso, muy bien mantenido y muy seguro. Las vistas son espectaculares y todo está muy bien señalizado y rotulado, lo que permite realizar una visita muy bien informada. El personal de seguridad es muy amable y dispuesto a orientar. Sin duda, es una visita imperdible en Ciudad de México.",,5,"Copacabana, Bolivia",,ago de 2024
MAGIA EN CHAPULTEPEC,"Al llegar al Castillo su imagen es imponente, su arquitectura, su disposición. Recorrer los salones,  los jardines, el lugar de carruajes. Poder ver su sala de estar, la biblioteca. Los jardines con fuentes, flores, una vista inigualable de la ciudad de México. La escalera de ingreso al castillo. Las fotos de Carlota y Maximiliano, su vestuario, sus vasijas. Los carruajes es estar en otro mundo, uno diario, uno de lujo. Posiblidad de fotos. Es caminar y retroceder en el tiempo, que sentirían ellos estar ahí. Hogar de presidentes.Hay visitas guiadas que te explican los detalles. No dejen de visitarlo, cada centrímetro vale la pena",,5,"Rosario, Argentina",,may de 2024
ruta,"Uno de mis lugares favoritos para ir corriendo, creo que si eres runner te va bien salir a trotar hacia el Castillo de Chapultepec, la zona es ideal para un buen entrenamiento y de paso unas selfies ahi porque el lugar está padrísimo!!",,5,,,jun de 2024
Genial,"Me encanta visitar el Castillo de Chapultepec, porque para mí es como un viaje a otra época, me gusta conocer la historia que hay detrás de este impresionante sitio. Lo único que no me agrada es lo lleno que está, pero supongo que es inevitable jaja",,5,,,jul de 2024
Lugar emblemático,"Un lugar emblemático de la Ciudad de México. Es el único castillo en América, y uno de los puntos más altos de la ciudad en su momento, cada pieza tiene una historia interesante.",,5,,,feb de 2024
Algo para todos,"Algunas personas lo llaman un castillo, otros lo llaman la antigua residencia presidencial; sea cual sea el nombre que elija, ¡esta es una visita obligada! Aprenda sobre la historia de la gobernanza de México, disfrute de vistas inspiradoras de toda la ciudad en 360 grados, vea muchos muebles y artefactos antiguos. Estás en un verdadero placer. Soy libre de ir contigo cuando quieras. ¡Lo pasaremos genial!",,5,"Los Ángeles, CA",,jul de 2024
Comodidad,El mejor lugar sin duda. Es bueno saber que hay castillos de verdad en nuestro continente. El único pero fue que era muy alto. Así que vayan muy cómodos por favor,,5,,,mar de 2024
Mejor Atracción en Ciudad de México,"Esta fue mi actividad favorita en la Ciudad de México. Hermoso paseo hasta el castillo. Fantásticas obras de arte y jardines. Las mejores vistas de la ciudad. Muy asequible también. El paseo por la colina toma de 10 a 15 minutos, así que asegúrese de que pueda manejarlo.",,5,"San Francisco, CA",,jul de 2024
Empleados poco amables,"Los empleados son muy prepotentes y malmodientos, el del elevador no deja subir a la gente de la 3a edad, les preguntas algo y te contestan como si fueras tonta.Se necesitan más baños!",,3,"Ciudad de México, México",,jul de 2024
Castillo increíble,"Este castillo es tan increíble, me sentí como si estuviera en una película de Disney y yo era la princesa del reino, tomé fotos hermosas.",,5,,,ago de 2023
Fantastic History of Mexico,"After a leisurely stroll up Chapultepec (Grasshopper) Hill, the National History Museum is encased in the historical Chapultepec Castle. A great mix of royal furniture, decoration, art, artefacts and political history.",,5,"Londres, UK",,may de 2025
es uno de mis lugares favoritos y hay muchas formas de llegar ahi,"excelente lugar  con mucha historia , si no caminas para subir hay unos carritos, ademas si hay algun evento de balet es hermoso.",,5,,,may de 2025
Vale la pena,"Vale la pena, lleno de historia y de cosas tan bellas vale la pena tomarse el tiempo de analizar cada rincón del museo lleven zapatos cómodos y bastante agua pueden pagar un guía valdrá que peso que paguen es económica la entrada y personas de la tercera edad no pagan",,5,"Cancún, México",,mar de 2025
Chapultepec es hermoso!,"Visite por primera vez el Castillo de Chapultepec, me encantó, las obras de arte, las exposiciones, cada pasillo y lo imponente que es el bosque desde ahí, es maravilloso, la entrada está en $100 pesos y vale totalmente la pena ",,5,,,abr de 2025
A Beautiful Day at Chapultepec!,"When I checked online, it showed that tickets to Chapultepec Castle were sold out, and I was initially quite disappointed. But we decided to visit Chapultepec Park anyway—and I’m so glad we did!The park is absolutely beautiful, with lovely shaded paths and so much greenery. A real highlight was feeding the squirrels—such a unique and joyful experience that we’d never get to do back home.As we explored, we also stopped by the Anthropology Museum, which was stunning and incredibly vast. While the exhibits were impressive, most of the information was in Spanish, so we couldn’t fully appreciate everything.Eventually, we made our way to Chapultepec Castle, and to our surprise, they were selling tickets at the entrance! We bought them and went in right away. Just a heads-up—the walk up to the castle is fairly steep and long, so wear comfortable shoes and be prepared for a bit of a workout.The castle itself is beautiful, filled with rich history and artifacts. I’m really glad we didn’t give up and decided to walk up to the entrance anyway.Important tip: No food or water is allowed inside. They check bags at the top, and if you’ve brought any, they’ll ask you to throw it away—even if you’ve made it past the entrance. Lockers are available at the bottom, so it’s best to store your items there before heading up.",,5,"Greater London, UK",,abr de 2025
Historia mexicana,"Historia de Mexico, interesante . Instslaciones bien cuidadas. No esta   señalizado el camino para llegar a los magnificos vitrales",,5,,,mar de 2025
Views and Murals,From the archeological museum we walked around the lake and up to the castle. At the bottom of the hill you buy your tickets ($100) for the castle which houses the National History museum. We found the best things here to be some of the terrace views and murals inside the castle.,,4,"County Monaghan, Irlanda",,mar de 2025
Castillo de CHAPULTEPEC,"Un lugar con una historia,arquitectura y vista increíble que siempre te va a sorprender, además de que este tiene al rededor uno de los jardines urbanos más grandes de América!",,5,"Atenas, Grecia",,ago de 2024
No te lo pierdas!,Es un lugar HERMOSO con mucha información enriquecedora y unas vistas a la ciudad que son ESPECTACULARES. Siempre que pueda voy a volver.,,5,"Heredia, Costa Rica",,abr de 2024
Visita imperdible.,"Me encantó, tiene tanta historia de la cultura mexicana, además de spots para fotos increíbles, algunos de ellos con la ciudad de fondo (terrazas). Lo que no me gustó es lo mucho que hay que caminar para llegar al castillo, es prácticamente una colina y en el mes que fui hacía mucho calor.",,4,,,abr de 2024
Parque de ardillas antes es increíble,"Bonito paseo al castillo y castillo es increíble también, me encantó el parque con ardillas uno de los lugares favoritos, lo recomiendo 100%",,5,"Belgrado, Serbia",,dic de 2024
Un viaje por la historia de México. Algo que se tiene que hacer al menos una vez en la vida,"Imperdible, El único consejo es llevar tenis o zapato cómodo, se camina de 2 a 3 horas dependiendo del tiempo con que se cuente.",,5,"San Luis Potosí, México",,feb de 2025
Magnífica vista de la Ciudad de México,"Este es un castillo increíble con vistas a la Ciudad de México. El interior coincidiría con cualquier cosa que veas en Europa. El jardín era precioso. Tenga en cuenta un par de cosas, es una buena caminata por la carretera circular a la entrada. No se puede traer ningún líquido en tan desperdiciado vaciando nuestras botellas de agua.",,5,"Ann Arbor, MI",,ene de 2025
Hermosas vistas y jardines,"Prepárate para subir una colina grande para entrar. Me pareció que valía la pena, pero no para aquellos con problemas de movilidad. Hermosas vistas desde la cima. No necesitará más de una hora, camine y explore los terrenos. Las habitaciones son bonitas - algunos hermosos vitrales, pero los jardines son lo que me pareció más impresionante. Mientras estuve en CDMX hubo un espectáculo folclórico de ballet por la noche en el castillo que fue sobresaliente. Así que si hay una oportunidad para un espectáculo nocturno lo recomiendo encarecidamente, además de que obtiene vistas nocturnas de la ciudad.",,5,"Chino Hills, CA",,ene de 2025
Imperdible,"El lugar tiene vistas realmente hermosas que valen mucho la pena. Aunque se camina una subida, el recorrido es agradable y está lleno de detalles interesantes. Además, cuenta con excelentes exposiciones y temas fascinantes sobre la historia de México, lo que lo convierte en una experiencia única.",,4,"Bogotá, Colombia",,ene de 2025
"Excelente visita, mucho que ver.","Sobresaliente. Maravillosamente conservado, un montón de detalles hermosos. Vale la pena una visita de medio día. Mis zonas favoritas eran los interiores del palacio con muebles y las vidrieras. También me encantaron los retratos divertidos.",,5,Estados Unidos,,dic de 2024
Un lugar que se debe visitar,"La visita es muy interesante, en la mañana la entrada súper tranquila para hacer el recorrido tomando tu tiempo para leer y observar a detalle las pinturas e indumentarias. Para recorrerlo a detalle requieres mínimo dos horas. Bien conservado, limpio y seguro!",,5,,,dic de 2024
Palacio,El castillo de Chapultepec situado en el parque Chapultepec fue formalmente el Palacio Real y después el Palacio Presidencial. Hay muchas obras de arte y exposiciones de la época en que era un palacio real / presidencial. También buenas vistas sobre la ciudad.,,4,"Wellington, Nueva Zelanda",,dic de 2024
"En un día brillante, fui al Castillo de Chapultepec y me quedé asombrado por su esplendor y magnificencia.","El castillo está situado en el centro del Parque Chapultepec en una colina. El Museo Nacional de Historia, que ahora se encuentra en el castillo, cuenta con notables murales, pinturas, esculturas, muebles y artefactos que representan la historia de México y su pueblo.",,5,,,dic de 2024
