Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Coyoacán... nunca deja de sorprender.,"Muchas veces he ido a Coyoacán, a la fuente de los coyotes o al mercado, por lo que nunca imaginé fue que descubriría una cara diferente, mágica, de historia, no solo contemporánea sino antiquísima.La guía que compartió con nosotros, Grace, de Estación México, fue muy amena en el recorrido, eso lo hizo aún más interesante porque se ve que ha leído y sabe cómo transmitir ese conocimiento de una manera divertida que invita a leer más sobre el tema.Me hizo falta tiempo, me hubiera gustado poder seguir escuchando de los personajes y calles aledañas a lo que recorrimos, aunque fue largo el camino se pasó muy muy rápido, gracias!!!En mi próxima visita a la CDMX iré al recorrido de la Roma, escuché a quién ya fue y se me antojó conocer también ese barrio.Felicidades",,5,,,jul de 2025
A great walk in Mexico City.,This is a great add on to a walk through San Angel. There are many cafes and markets and a nice central square. It is worth a visit.,,4,"Toronto, Canadá",,jul de 2025
Beautiful neighborhood where time stands still! Totally worth the drive to visit and spend a morning.,"Absolutely amazing neighborhood to visit and walk around and have a quiet lunch or coffee or churro. Feels very safe, super quiet in the mornings, a break from bustling city life. Leon Trotsky and Frida Kahlo houses are definitely worth visiting. Plaza is beautiful. Just wander around and see all the gorgeous trees and architecture!",,5,,,feb de 2025
Authentic neighborhood feel,This is an enjoyable walking neighborhood. It had more authentic restaurants and a flea market inside should you run into weather. The cathedral in the main square is also a good stop.,,4,"Ann Arbor, MI",,ene de 2025
Great and safe neighborhood to explore,"This is pretty far from the other neighborhoods but definitely worth taking a trip and walking around, sitting in the park, going to Frida Kahlo’s home, going to the market. A couple hours is fine unless you also go to the university.",,5,"Chino Hills, CA",,ene de 2025
Cute-ish but not worth the time at all if just visiting CDMX.,"Cute and semi-interesting but nowhere near as nice as Condesa, Polanco, Roma, and Centro. Food was generally worse than those 3 places but pricier too, which I’m confused about. We ate at a Taco stand and it was 3x what we paid for a way better Taco stand in Condesa. Churros I saw ppl holding looked burnt. We also checked out the coyote zoo which was sparse and wolf exhibit was completely blocked off.Expensive uber ride down and back, expensive very mid food, architecture very mid (it’s a fine cute small town for ppl to live in maybe like boring burbs). Dirtier than the areas closer to downtown with the exception of centro, however centro has the most to see in terms of architecture and art. Really not worth visiting even with extra time during your visit.We came here so you don’t have to.",,3,,,ene de 2025
Nice posh area,"Good place to relax and spend few hours, eat churros at El moro and visit St John the Baptist Church and some artisanal markers",,5,"Boston, MA",,dic de 2024
It was unquestionably one of the greatest districts we visited during our few visits to Mexico City.,"It seems comfortable, welcoming, and has a terrific feeling. Vendors are often courteous. With all the wonderful food options, flowers, fruits, veggies, and other items, the long-standing permanent market is fantastic and truly made me wish I lived nearby.",,5,,,dic de 2024
"Vale la pena darse la oportunidad de caminar por el centro de está delegación, ","La historia que se respira en esta delegación es muy basta, creo que vale dedicarle por lo menos dos días si se está de visita en la CDMX ",,5,"Ciudad de México, México",,nov de 2024
HAY QUE IR,"Es una mini ciudad muy cerca del DF nosotros llegamos en el turibus muy pintoresca, famosa por Frida Kalo al llegar fuimos a una panadería enorme muy cerca de la parada del bus muy rica, la catedral linda en el parque hay una heladería deliciosa también y la fuente muchos vendedores en el parque pero no te acosan.",,5,"El Salvador, Chile",,ene de 2024
H21 Hospedaje Boutique - ¡UNA NECESIDAD!,H 21 Hospedaje Boutique - Lugar increíble y único con el personal más amable y servicial! Me alojaría aquí de nuevo en un santiamén!,,5,,,nov de 2024
Hermosa,"Excelente, hermosa ciudad y amable, me encantó, volveré pronto para explorar más si esta hermosa ciudad. Tengo una hermosa manta, me encanta",,5,,,nov de 2024
Agradable tarde,The plaza at Coyoacán is very beautiful and lots of outdoor restaurants and lots of vendors the water fountain good for pics food is good very welcoming.La plaza es hermosa el Pueblo es bonito y hay muchos restaurants con asientos afuera y Muy agradable el ambiente. La iglesia es hermosa para visitar y contemplar la arquitectura.,,5,,,oct de 2024
Barrio genial para visitar,"Este es un barrio pintoresco en la Ciudad de México con bonitas tiendas y restaurantes. El parque es bonito y el mercado parecía interesante (por desgracia no tuvimos tiempo para explorarlo). Es un buen lugar para visitar, especialmente si necesitas matar algún tiempo antes / después de ir a La Casa Azúl.",,5,"Westbury, Estado de Nueva York",,sept de 2024
