Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
No es exactamente lo que esperaba,Este mercado está bien. Hay mucha más producción en masa de lo que esperaba. Ten cuidado y sé selectivo. Había algunos vendedores de calidad. Los precios varían también.,Solitario,3,"Victoria, Canadá",28 de agosto de 2025,ago de 2025
Textiles Típicos DE Oaxaca - ¡vale la pena visitar en La Ciudadela!,"Mi esposa y yo encontramos varias hermosas tiendas de artesanos en este precioso mercado. Compramos hermosos textiles hechos a mano en Oaxaca y otros mexicanos en los Pasillos 7 y 8 , ubicaciones 179 y 214 . Hay muchos lugares para comprar recuerdos en la Ciudad de México. Si desea encontrar trabajo artesanal, ""Textiles Típicos..."" es una de las muchas tiendas que puede disfrutar visitando en La Ciudadela.",Pareja,5,"Mi esposa y yo encontramos varias hermosas tiendas de artesanos en este precioso mercado. Compramos hermosos textiles hechos a mano en Oaxaca y otros mexicanos en los Pasillos 7 y 8 , ubicaciones 179 y 214 . Hay muchos lugares para comprar recuerdos en la Ciudad de México. Si desea encontrar trabajo artesanal, ""Textiles Típicos..."" es una de las muchas tiendas que puede disfrutar visitando en La Ciudadela.",24 de julio de 2025,jul de 2025
¡Eh...! Está bien no impresionado,"Bueno para recuerdos, si tienes tiempo para ir antes de salir de la ciudad, pero no pasas mucho tiempo allí. Los precios son más altos de lo esperado, pero bueno, somos turistas. . .",Amigos,3,"Mississauga, Canadá",29 de junio de 2025,jun de 2025
Hermosos recuerdos auténticos mexicanos!,Si estás buscando llevarte a casa algunos regalos mexicanos hermosos que son hechos por artistas locales y no son caros pásate por este increíble Mercado! Definitivamente encontrarás algo para todos en tu lista.,Amigos,5,"San Francisco, CA",19 de junio de 2025,jun de 2025
Ideal para regalo turístico para usted o para otros.,Hay mucho que ver y comprar aquí. Tengo el cinturón más bonito que tengo aquí y un poncho de mi equipo de fútbol americano favorito junto con una camiseta y imanes. Este es un gran lugar para comprar cosas turísticas.,Solitario,5,"Nueva York, Estado de Nueva York",16 de junio de 2025,jun de 2025
Lleno de color y carácter,"Un mercado encantador, lleno de color y con un gran revuelo. Un montón de artesanías y recuerdos, por lo que navegar alrededor era una gran manera de pasar un par de horas. Hay una hermosa cafetería en el medio, por lo que es un lugar ideal para hacer una pausa para tomar una cerveza refrescante.",Pareja,5,"Huddersfield, UK",10 de junio de 2025,mar de 2025
Lo colorido de mexico,"Un lugar con cosas muy interesantes., los colores de los objetos son muy llamativos y dan ganas de compra y algun dia volveria",Familia,5,1 aporte,19 de mayo de 2025,jul de 2024
Hermosos tesoros,"Para aquellos que nunca han estado en un Mercado artesano tener que ir aquí. Lo tengo un 4 porque para los que hemos estado en muchos lamentablemente no había nada nuevo. Sin embargo, este mercado estaba muy limpio y la gente muy agradable. ¡Prepárate para negociar!",Amigos,4,"Rosarito, México",13 de mayo de 2025,may de 2025
Selección abrumadora,"El mejor - dejar de comprar artesanías en la Ciudad de México. Una selección bastante abrumadora, pero deberías poder encontrar lo que sea que estés buscando.",Pareja,5,"El mejor - dejar de comprar artesanías en la Ciudad de México. Una selección bastante abrumadora, pero deberías poder encontrar lo que sea que estés buscando.",17 de marzo de 2025,mar de 2025
Mercado artesanal,"Este es un gran mercado con decenas de puestos que venden de todo, desde camisetas, textiles, cerámica, joyería, recuerdos, etc. Los propietarios de los puestos no son exigentes y están dispuestos a negociar. Hay un restaurante dentro del mercado donde se puede tomar un descanso del bullicio y el ajetreo y sentarse y tomar algo de buena comida y bebida (no alcohólica o alcohólica)",Amigos,4,"Wellington, Nueva Zelanda",6 de marzo de 2025,ene de 2025
Esto es IT para piezas artesanales.,"Hay mucho que ver, pero todo está hecho a mano. Todos los precios, desde pequeños recuerdos hasta hermosos textiles, que es lo que me encanta. Se compraron almohadas bordadas a mano y corredores de mesa. También compré platos rectangulares de sándwich de cerámica",Familia,5,"Fayetteville, AR",25 de febrero de 2025,feb de 2025
Ahorre tiempo y dinero - solo unas pocas joyas entre cientos de vendedores de baratijas,"Un poco decepcionado en este mercado. Esperaba encontrar una gran variedad de artículos hechos a mano, pero en su lugar, es principalmente una repetición de artículos que están hechos en China, no auténticos o no hechos a mano. Ni siquiera habría pensado en comprar joyas en este mercado. Entre los muchos pasillos de baratijas baratas, hay algunas joyas. Un vendedor en el pasillo 8 había hecho a mano una guirnalda, que era cara pero claramente única. Otro vendedor en el pasillo 1 tenía agitadores de vidrio y picos de aceituna, que ningún otro vendedor tenía. Y de nuevo, un poco caro pero único. Algunos otros que vendían espejos y trabajos de hojalata eran más artísticos y auténticos, pero el resto puedes hacerlo igual o mejor con un vendedor ambulante cerca de un parque. En cuanto al resto de los proveedores, la mayoría se mostró antipática y se negó a negociar. Ahorre el viaje y quédese en un mercado callejero local o encuentre un verdadero mercado artificial de lujo.",Amigos,2,"Nueva York, Estado de Nueva York",16 de febrero de 2025,feb de 2025
Muy bonito pero con cuidado,"El lugar es muy bonito y grande, existen piezas de decoración muy hermosas, sin embargo muchos de los locales tienen a sobreprecio las mismas piezas/souvenirs que si se dan una vuelta encontrarán mucho más barato.",Pareja,3,guille m,28 de enero de 2025,ene de 2025
"Gran mercado, compras convenientes","Gran mercado con una mezcla de artesanías y recuerdos. Este era un buen lugar para comprar porque había una serie de puestos en un solo lugar y se podía caminar y ver bien una variedad de cosas que podrían estar interesados y luego hacer su elección de compra después de sentir que los había mirado por todas partes. Estoy seguro de que no es el mercado de precio más bajo, pero fue muy conveniente y me permitió recoger algunas cosas que sabía que quería y ver bien lo que el mercado de artesanías de Centroamérica está haciendo. Uno de mis grandes pesares es que volvía con una maleta pequeña y no pude comprar algo de la cristalería que vi que me gustaba mucho. Los comerciantes son bastante profesionales. La mayoría de ellos tomaron tarjetas de crédito y pagué un par de cosas con otros billetes grandes que había recibido en la máquina bancaria y no recibí a nadie que no pudiera cambiar, aunque intenté usar los billetes grandes para comprar cosas que se acercaran al tamaño de los billetes. En general, me gustó porque contuve mis compras en una parte en particular del viaje y no me sentía como si quisiera parar en los puestos dondequiera que fuéramos.",Pareja,5,"Silver Spring, MD",13 de enero de 2025,ene de 2025
Mercado artesanal excepcional,Fantástica colección de artesanías de todo el país. Algunos artesanos están haciendo sus artesanías en sus puestos. El mercado está muy limpio y tranquilo. Los empleados de la tienda no son exigentes y puede disfrutar mirando sin sentir presión para comprar. Bonito restaurante en el lugar con gran café y comida. Me sentí muy segura y no ajetreada por nadie.,Familia,5,"Cayo Ambergris, Belice",10 de diciembre de 2024,dic de 2024
