Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
¡No te pierdas!,"Me encanta la visita en bucle autoguiada del sitio. Las señales informativas pueden ser mejores, pero aún así proporcionan buena información. La ubicación del Templo Mayor justo al lado de la Catedral, y justo al lado del Zócalo, es excelente y tan conveniente para un recorrido rápido mientras visita el centro histórico.",Solitario,5,Christine H,16 de agosto de 2025,ago de 2025
¡Una visita obligada!,"Me encantó esta visita! No nos dieron un guía, solo leer las descripciones y vagar por ahí. Puedo leer Español, y mi pareja usó la aplicación de traducción de Google que funcionó bien. Podría haber pasado más tiempo aquí, pero estábamos tratando de llegar a otro lugar en el Centro. Date al menos 3 horas ya que el museo es bastante grande (además del paseo por las ruinas exteriores! ) Compramos boletos el mismo día y pudimos usar nuestra tarjeta de crédito. Word to the wise - trae un ziploc con toallas de papel, servilletas y toallitas húmedas en una bolsa de libro o riñonera. Los baños públicos apenas tienen (su sistema séptico tampoco aprecia ninguno de esos artículos en la taza del inodoro! ) Además, el de Templo Mayor es gratuito, pero la mayoría de los baños públicos cobraban de 5 a 7 pesos (aproximadamente un cuarto de dólar) solo por entrar.",Pareja,5,"Chicago, IL",15 de julio de 2025,jun de 2025
Excelente,"Otro debe parar en la ciudad. Puedes pasar por aquí en un par de horas y ver la mayoría de las cosas. Depende de cuán profundamente leas todo. El museo da una excelente crítica de los antiguos residentes de la ciudad y los alrededores, por lo que es una experiencia bastante educativa.",Familia,5,"Denver, CO",10 de junio de 2025,sept de 2024
Un viaje al centro del pueblo azteca.,"Maravillosa experiencia para entender la cultura y sociedad del Pueblo Azteca. Ubicado en el centro de la Ciudad de México, junto a la Catedral Nacional, este museo al aire libre / interior te lleva a la historia. El museo comienza en el exterior mostrando las cámaras internas del Templo Azteca. A medida que avanzas por el complejo puedes ver estatuas, áreas de asientos internos y decoraciones de templos. El museo cubierto alberga más tesoros únicos del complejo, incluidas las linternas de ofrenda que se encontraron durante los trabajos de reparación de la Catedral. Este descubrimiento inspiró nuevas excavaciones del Templo Mayor. Una maravillosa manera de entender la historia única y dinámica de las comunidades indígenas mexicanas.",Pareja,5,"Londres, UK",14 de mayo de 2025,may de 2025
Templo Mayor,"El Templo Mayor es una parada obligatoria que te transportará directamente al corazón del antiguo imperio mexica. Ubicado justo al lado del Zócalo, entre calles modernas y edificios coloniales, este impresionante sitio arqueológico es una joya oculta a plena vista.",Amigos,5,"Santiago, Chile",13 de abril de 2025,may de 2024
Visita imperdible,"Excelente, muy ordenada el recorrido y explicativo.Una demostracion de avanzado de las culturas mezoamericanas. Para recorrer en una mañana sin apuro",Pareja,5,SandraPatricia P,8 de abril de 2025,mar de 2025
Asegúrate de lanzar una moneda,"Me gustó mucho caminar y ver ruinas de la antigua civilización, no estaba lleno cuando visité es un gran + también asegúrese de tirar una moneda jaja vale la pena visitar y lo recomiendo",Pareja,5,"Belgrado, Serbia",11 de febrero de 2025,dic de 2024
Impresionante,"Hay un pequeño museo en la entrada, luego caminas a través de algunas ruinas al aire libre, luego hay un museo muy grande de 5 pisos que también puedes visitar. Todo esto está incluido en el precio de la entrada. La mayoría de la señalización es bilingüe, tanto en español como en inglés. Esto es absolutamente digno de una visita!",Solitario,5,"Las Vegas, NV",8 de febrero de 2025,feb de 2025
Súper,"Templo mayor en el centro de la Ciudad de México. Excelente años de no haber venido y está increíble la zona arqueológica, súper cuidado",Familia,5,"Cancún, México",2 de febrero de 2025,feb de 2025
Extraordinarias ruinas visibles al aire libre,"Extraordinarias ruinas al aire libre visibles desde la calle. Museo anexo cercano con paseos por las ruinas. Templo mesoamericano mexicano construido en su capital, Tenochtitlanh (hoy Ciudad de México).",Pareja,4,"Extraordinarias ruinas al aire libre visibles desde la calle. Museo anexo cercano con paseos por las ruinas. Templo mesoamericano mexicano construido en su capital, Tenochtitlanh (hoy Ciudad de México).",30 de enero de 2025,ene de 2025
Puede ver parte de ella desde fuera,"El primer día que aterrizamos en la Ciudad de México, hicimos un recorrido a pie y nos detuvimos aquí para una breve visita. Desafortunadamente no tuvimos la oportunidad de ir al museo en sí. No parece muy grande.",Pareja,4,"El primer día que aterrizamos en la Ciudad de México, hicimos un recorrido a pie y nos detuvimos aquí para una breve visita. Desafortunadamente no tuvimos la oportunidad de ir al museo en sí. No parece muy grande.",26 de enero de 2025,ene de 2025
Tesoro del Templo Mayor,Este fue un museo realmente interesante y la información se dio en inglés y español. Después de mirar alrededor de los artefactos se sale a ver el templo Mayor en sus múltiples etapas. Era fácil seguir la ruta y la información de nuevo estaba en dos idiomas. Este era un sitio increíble y realmente tienes la sensación de lo vasto que había sido,Pareja,5,"Chelmsford, UK",10 de enero de 2025,dic de 2024
Fantásticas ruinas y museo,Estupendo lugar para traer a sus hijos (de 6 y 9 años ) mientras están en la Ciudad de México para aprender sobre la historia y ver Templo Mayor. Definitivamente debe - ver!,Familia,5,Estupendo lugar para traer a sus hijos (de 6 y 9 años ) mientras están en la Ciudad de México para aprender sobre la historia y ver Templo Mayor. Definitivamente debe - ver!,7 de enero de 2025,dic de 2024
Tiene muchos defectos en el servicio y la higiene es muy mala del museo y de los alrededores. Necesita mantenimiento,"Buen museo, con mucha historia del Centro de México. Los alrededores están muy sucios y los baños en pésimas condiciones. No es un buen lugar para discapacitados y falta contexto explicativo multimedia",Familia,4,"Buen museo, con mucha historia del Centro de México. Los alrededores están muy sucios y los baños en pésimas condiciones. No es un buen lugar para discapacitados y falta contexto explicativo multimedia",3 de enero de 2025,dic de 2024
