Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
"Crowded, but worthwhile if you can tolerate the cattle line jostling","The museum is what it is, an interesting place that is so crowded with visitors that it is uncomfortable. I don’t read Spanish well so details were lost on me, but I’ve read a biography on Kahlo so I got the gist. HOWEVER, this review is mostly to caution people against booking through TA. For a few weeks the time was 1:30 pm. The day before the event I got an alert that it was 1 pm. We got to the museum early to avoid traffic, wait in line and BOOM the ticket wranglers tell us it’s for 1:30, not 1. So back in the cattle line we go.I’m glad I went— I liked seeing the house and several objects and paintings, but I will never want to go again. Also, i will never book anything through TA again (I had a negative experience regarding time with a booking yesterday, too). Happy travels.",,2,,,sept de 2025
Experiencia inmersiva y diferente sobre Frida Kahlo,"La visita fue una experiencia distinta: nos tocó una representación en vivo de la vida de Frida Kahlo. El lugar estaba muy lleno, tanto que en ocasiones apenas podíamos ver bien mientras caminábamos junto con la experiencia. Sin embargo, la actriz que interpreta a Frida es excelente y transmite mucha autenticidad. A pesar de la multitud, sin duda fue una experiencia agradable y recomendable para quienes quieran vivir algo diferente.",,5,"Los Cabos, México",,ago de 2025
Super cool experience,"This was very cool. My favorite part was the special exhibit of Frida’s dresses, which I’m not sure are there all the time! A great experience overall, especially if you are a fan. I was only sad that they don’t let you take photos in the house, which was disappointing since they have a few of her works.",,5,"Madison, WI",,ago de 2025
Must see museum,"A special museum. Need to visit when in Mexico, if only a slightly interested in history and mystery about this iconic museum.",,4,,,ago de 2025
Sitio imperdible cuando visites Ciudad de México CDMX,"Maravillosa experiencia, te permite conocer los espacios y rincones habitados por Frida Kahlo, te transportas en el tiempo.",,5,"Zapopan, México",,sept de 2024
Great experience for Frida and art lovers!,"Loved this trip! It was about a half hour Uber ride from Roma Norte. I bought my ticket online, about 3 weeks in advance. The tickets were mailed to us and I easily pulled them up on my phone.  We showed up 15 minutes in advance and there was a line. I did a self guided tour and we spent about 2 hours on the grounds. I was able to see all the spaces and if you want to eat in the cafe, give yourself some more time. We went walking to the Mercado de Coyoacán afterwards to eat!",,5,"Chicago, IL",,jul de 2025
Tips for visiting Casa Azul,"Must-do for Mexico City. So many interesting pieces from Frida's life to be found here. Definitely book your ticket in advance online. We went on a Tuesday and by 11 am, all entries until 4 pm were sold out. Luckily, we had booked our tickets online 2 weeks earlier but even then, time slots only had 1 or 2 available spots left. There are good souvenir kiosks outside the museum but they require cash. There are nice souvenirs inside but they get picked over quick and seem to take a while to replenish due to the crowds. A great art studio right next door to the museum too. (Can't recall the name.) The entryway alone is a fabulous photo-op but upstairs there are lots of interesting crafts, jewelry, art, etc that aren't super expensive. They will tell you all about how the pieces were made.Getting a photo at Casa Azul without randoms standing in the background is hard considering how packed it was. There is a small drink cart inside the grounds and lots of sitting areas so plan to have a drink and relax for a while within the blue walls after visiting the museum/ home.",,4,"Woodbury, MN",,jun de 2025
Must visit when visiting CDMX,"This was such a wonderful place to visit, it was great to walk through the house & see all of her artwork. The house itself is a piece of art. Definitely book in advance as it sells out. Also really enjoyed the exhibition featuring some of Frida’s dresses and clothing. Quick easy uber ride from CDMX.",,5,"Los Ángeles, CA",,may de 2025
Wonderful place to personally connect with Mexico’s most famous artist.,"A great musuem to explore the beauty and tragedy of Mexico’s most celebrated modern artist. Frida Kahlo grew up in this home and having survived polio, she had her right leg amputated after a tragic bus accident. The museum carefully displays 21 of her more minor works but gives a wonderful narrative of her life, politics, and marriage to Diego Rivera. This exhibit also includes personal items including the bed (with suspended mirror) that she used to construct her self portraits as well as the room where she passed away. A newer addition to the collection is some of her wonderful clothes that were discovered in the house in 2007. Pre-book your tickets in advance is essential for entry.",,5,"Londres, UK",,may de 2025
Tips for exporting the museum,"We bought our tickets about 49 days in advance and would recommend to get the first slot in the morning (10 AM) to beat the crowds. People start lining up about 15-30 minutes before their scheduled time. You cannot go at another time, you have to go at the time stated on your ticket. We had printed tickets and saved a screenshot in our phones. The QR code ticket screenshot in our phones were read easier than the printed version. Make sure you see the last part of the museum! After Frida Kahlo's death in 1954, her husband Diego Rivera had her belongings stored in a bathroom at their home, and ordered it to remain locked until 15 years after his own death. The room was opened in 2004, fifty years after it was sealed and the contents are showcased in that last area.",,5,,,abr de 2025
