Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Increíble exhibición,"Excelente museo, muy grande y alberga cuantiosas exhibiciones históricas  mexicanas, desde la prehistoria hasta la actualidad. Limpio, ordenado y bien administrado. Recomendado",Familia,5,"Playa del Carmen, México",26 de mayo de 2025,may de 2025
Genial,Es un museo bastante grande donde cuentan la historia de México además que es muy ilustrativo por toda la información que hay en cada,Solitario,5,"Ciudad de México, México",20 de mayo de 2025,may de 2025
"Impresionante, hermoso y bien conservado !","Hermoso, bien diseñado, exquisito para aprender de la historia del hombre y de la civilización mexicana . Disfrute mucho esta visita , sin dudas volvería a repetir !",Amigos,5,"La Habana, Cuba",6 de abril de 2025,mar de 2025
Uno de los museos imprescindibles del mundo.,Increíbles exposiciones muy bien diseñadas para cubrir la evolución de las civilizaciones en el México precolonial. Grite al departamento de seguridad. Mi esposa olvidó su riñonera (con objetos de valor) en el baño. Descubrimos esto unas horas después. La seguridad era accesible y manejaba la situación de forma rápida y profesional y pudimos recuperarlo al día siguiente (intacto). -Muchas gracias.,Familia,5,"Carlsbad, CA",28 de marzo de 2025,mar de 2025
Genial incluso si no te gustan los museos,"Este es el mejor museo de arqueología en el que he estado. Nuestra familia no está súper en la arqueología, pero nos pareció extremadamente interesante. Tenía zonas interiores y exteriores, lo que era un buen contraste. Lo recomendaría a cualquiera que quiera aprender sobre la historia de las áreas. Es muy limpio y moderno.",Familia,5,"Seabrook, TX",22 de marzo de 2025,mar de 2025
Un lugar que es necesario visitar,"Hermoso museo, con un número muy grande depiezas bien organizadas por épocas que le ayudan a comprender la historia de Mesoamérica.La arquitectura del museo es espectacular y la calidad de los guías que dan las explicaciones en el recorrido es muy alta.Un sitio que recomiendo visitar.",Familia,5,"Bogotá, Colombia",21 de marzo de 2025,mar de 2025
Museo Nacional de Antropología e Historia,"Se los mejores museos del mundo por su arquitectura, su colección, y la experiencia que se vive desde el arribo hasta la despedida.Mi sala favorita es la del imperio azteca.",Solitario,5,"Cancún, México",18 de marzo de 2025,dic de 2024
LAS AUTORIDADES COMPETENTES Y EL PERSONAL COMPROMETIDO DEBEN MEJORAR VARIAS ZONAS DEL MNAH,"Museo emblemático sobre la historia mesoamericana. Una gran pieza de arquitectura moderna con un extraordinario diseño museográfico. A pesar de ser el museo más emblemático de las culturas indígenas de México, las autoridades del MNAH han abandonado, sin ningún mantenimiento las áreas exteriores del museo como el estanque central principal, la fuente en el sótano que se puede apreciar desde la explanada de entrada y los jardines interiores de las salas de exposición. Les escribí hace tres meses, me dirigieron a otra área que hace alarde de negligencia y una total y vergonzosa indiferencia. Los propios jardineros se quejan de que les han pedido el equipo adecuado y no hay respuesta alguna. Esperemos que nuevas autoridades competentes se hagan cargo de una pieza tan relevante del patrimonio cultural de la arquitectura mexicana. LA PÁGINA DE TRIPADVISOR NO ME PERMITE SUBIR FOTOS PDF TOMADAS ESPECIALMENTE PARA ESTA OPINIÓN.",Familia,3,"Museo emblemático sobre la historia mesoamericana. Una gran pieza de arquitectura moderna con un extraordinario diseño museográfico. A pesar de ser el museo más emblemático de las culturas indígenas de México, las autoridades del MNAH han abandonado, sin ningún mantenimiento las áreas exteriores del museo como el estanque central principal, la fuente en el sótano que se puede apreciar desde la explanada de entrada y los jardines interiores de las salas de exposición. Les escribí hace tres meses, me dirigieron a otra área que hace alarde de negligencia y una total y vergonzosa indiferencia. Los propios jardineros se quejan de que les han pedido el equipo adecuado y no hay respuesta alguna. Esperemos que nuevas autoridades competentes se hagan cargo de una pieza tan relevante del patrimonio cultural de la arquitectura mexicana. LA PÁGINA DE TRIPADVISOR NO ME PERMITE SUBIR FOTOS PDF TOMADAS ESPECIALMENTE PARA ESTA OPINIÓN.",11 de marzo de 2025,dic de 2024
TOP 10 WORLD’S MUSEUM,"No es casualidad que el MNA sea uno de los 10 mejores museos del mundo. El contenido histórico es invaluable y fantástico.Recomiendo contratar un guía para entender a fondo más de la cultura Maya, Azteca y Mesoamericana y tu experiencia tenga un valor aún aún mayor.Por si fuera poco, la arquitectura y diseño del Museo es exquisita e incluso adelantada a su época en la que se construyó, no olvides preguntar por estos detalles!",Solitario,5,"Ciudad de México, México",9 de marzo de 2025,mar de 2025
Visita obligada en CDMX,"Visita obligada en la ciudad de México. El museo está construido, ordenado y ambientado de tal manera que ayuda a la comprensión de lo que ha sido la evolución humana, y no sólo de las culturas mesoamericanas. Además, la zona en la que se encuentra es formidable. De paso podrás recorrer el bosque de Chapultepec.",Pareja,5,"Montevideo, Uruguay",7 de marzo de 2025,mar de 2025
Increíble exhibición,"Excelente museo, muy grande y alberga cuantiosas exhibiciones históricas  mexicanas, desde la prehistoria hasta la actualidad. Limpio, ordenado y bien administrado. Recomendado",Familia,5,"Playa del Carmen, México",26 de mayo de 2025,may de 2025
Genial,Es un museo bastante grande donde cuentan la historia de México además que es muy ilustrativo por toda la información que hay en cada,Solitario,5,"Ciudad de México, México",20 de mayo de 2025,may de 2025
"Impresionante, hermoso y bien conservado !","Hermoso, bien diseñado, exquisito para aprender de la historia del hombre y de la civilización mexicana . Disfrute mucho esta visita , sin dudas volvería a repetir !",Amigos,5,"La Habana, Cuba",6 de abril de 2025,mar de 2025
Uno de los museos imprescindibles del mundo.,Increíbles exposiciones muy bien diseñadas para cubrir la evolución de las civilizaciones en el México precolonial. Grite al departamento de seguridad. Mi esposa olvidó su riñonera (con objetos de valor) en el baño. Descubrimos esto unas horas después. La seguridad era accesible y manejaba la situación de forma rápida y profesional y pudimos recuperarlo al día siguiente (intacto). -Muchas gracias.,Familia,5,"Carlsbad, CA",28 de marzo de 2025,mar de 2025
Genial incluso si no te gustan los museos,"Este es el mejor museo de arqueología en el que he estado. Nuestra familia no está súper en la arqueología, pero nos pareció extremadamente interesante. Tenía zonas interiores y exteriores, lo que era un buen contraste. Lo recomendaría a cualquiera que quiera aprender sobre la historia de las áreas. Es muy limpio y moderno.",Familia,5,"Seabrook, TX",22 de marzo de 2025,mar de 2025
Un lugar que es necesario visitar,"Hermoso museo, con un número muy grande depiezas bien organizadas por épocas que le ayudan a comprender la historia de Mesoamérica.La arquitectura del museo es espectacular y la calidad de los guías que dan las explicaciones en el recorrido es muy alta.Un sitio que recomiendo visitar.",Familia,5,"Bogotá, Colombia",21 de marzo de 2025,mar de 2025
Museo Nacional de Antropología e Historia,"Se los mejores museos del mundo por su arquitectura, su colección, y la experiencia que se vive desde el arribo hasta la despedida.Mi sala favorita es la del imperio azteca.",Solitario,5,"Cancún, México",18 de marzo de 2025,dic de 2024
LAS AUTORIDADES COMPETENTES Y EL PERSONAL COMPROMETIDO DEBEN MEJORAR VARIAS ZONAS DEL MNAH,"Museo emblemático sobre la historia mesoamericana. Una gran pieza de arquitectura moderna con un extraordinario diseño museográfico. A pesar de ser el museo más emblemático de las culturas indígenas de México, las autoridades del MNAH han abandonado, sin ningún mantenimiento las áreas exteriores del museo como el estanque central principal, la fuente en el sótano que se puede apreciar desde la explanada de entrada y los jardines interiores de las salas de exposición. Les escribí hace tres meses, me dirigieron a otra área que hace alarde de negligencia y una total y vergonzosa indiferencia. Los propios jardineros se quejan de que les han pedido el equipo adecuado y no hay respuesta alguna. Esperemos que nuevas autoridades competentes se hagan cargo de una pieza tan relevante del patrimonio cultural de la arquitectura mexicana. LA PÁGINA DE TRIPADVISOR NO ME PERMITE SUBIR FOTOS PDF TOMADAS ESPECIALMENTE PARA ESTA OPINIÓN.",Familia,3,"Museo emblemático sobre la historia mesoamericana. Una gran pieza de arquitectura moderna con un extraordinario diseño museográfico. A pesar de ser el museo más emblemático de las culturas indígenas de México, las autoridades del MNAH han abandonado, sin ningún mantenimiento las áreas exteriores del museo como el estanque central principal, la fuente en el sótano que se puede apreciar desde la explanada de entrada y los jardines interiores de las salas de exposición. Les escribí hace tres meses, me dirigieron a otra área que hace alarde de negligencia y una total y vergonzosa indiferencia. Los propios jardineros se quejan de que les han pedido el equipo adecuado y no hay respuesta alguna. Esperemos que nuevas autoridades competentes se hagan cargo de una pieza tan relevante del patrimonio cultural de la arquitectura mexicana. LA PÁGINA DE TRIPADVISOR NO ME PERMITE SUBIR FOTOS PDF TOMADAS ESPECIALMENTE PARA ESTA OPINIÓN.",11 de marzo de 2025,dic de 2024
TOP 10 WORLD’S MUSEUM,"No es casualidad que el MNA sea uno de los 10 mejores museos del mundo. El contenido histórico es invaluable y fantástico.Recomiendo contratar un guía para entender a fondo más de la cultura Maya, Azteca y Mesoamericana y tu experiencia tenga un valor aún aún mayor.Por si fuera poco, la arquitectura y diseño del Museo es exquisita e incluso adelantada a su época en la que se construyó, no olvides preguntar por estos detalles!",Solitario,5,"Ciudad de México, México",9 de marzo de 2025,mar de 2025
Visita obligada en CDMX,"Visita obligada en la ciudad de México. El museo está construido, ordenado y ambientado de tal manera que ayuda a la comprensión de lo que ha sido la evolución humana, y no sólo de las culturas mesoamericanas. Además, la zona en la que se encuentra es formidable. De paso podrás recorrer el bosque de Chapultepec.",Pareja,5,"Montevideo, Uruguay",7 de marzo de 2025,mar de 2025
¡Tanta Cultura!,"Increíble museo! Fue masivo y tenía tanta historia en él, que recomiendo pasar al menos 5 - 6 horas aquí. La comida en el restaurante también era genial.",Pareja,5,"Nueva York, Estado de Nueva York",26 de febrero de 2025,feb de 2025
Vale la pena el precio de entrada y más!,"El museo cuenta con amplias exposiciones sobre los habitantes originales de la Ciudad de México ... los Aztecas. Los artefactos son variados y extremadamente bien curados... desde cerámica, máscaras, códices, fachadas de piedra, recreaciones, y mucho más... google translate será útil y gran parte de la información está en español. Pasamos varias horas aquí - y no lo vimos todo. Hay exhibiciones externas que también replican la ubicación selvática del pasado donde se encontraron las ruinas. Muy recomendable!",Pareja,5,"Sídney, Australia",25 de febrero de 2025,feb de 2025
Uno de los mejores sitios,"Qué museo tan increíble. Es enorme y realmente necesita reservar varias horas. Ojalá hubiéramos tomado una guía. Si bien parte de la información está en inglés, nos habríamos beneficiado de más. Se percibe bien el crecimiento de las culturas y la posterior conquista española.",Amigos,5,"Londres, UK",21 de febrero de 2025,feb de 2025
Un saludo para el equipo de seguridad,"Un saludo para el equipo de seguridad del museo. Perdimos un suéter nuevo en algún lugar de la larga ruta a través de los edificios. Estábamos un poco tristes por la pérdida, pero justo en la salida allí estaba con algunos otros objetos perdidos. Una mujer de seguridad muy amable nos pidió que demostráramos que era nuestro, por ejemplo, con una foto usándolo. Me alegro de haber recuperado el suéter. Gracias chicos por el gran servicio! Y sí, es un museo increíble, una visita obligada cuando esté en la Ciudad de México.",Familia,5,"Amberes, Bélgica",20 de febrero de 2025,ene de 2025
Mejor experiencia de museo,Realmente increíble. A veces parece que estás inmerso en el pasado. Lea los carteles para comprender su historia. Es impresionante.,Solitario,5,"Londrina, PR",15 de febrero de 2025,feb de 2025
"Solo nos quedamos unas horas y luego nos agobió, sin duda volveremos con un guía turístico y comenzaremos en la apertura.","Absolutamente increíble museo con tantas habitaciones, necesitaría dos días para verlo todo. Ojalá hubiera ido con un guía turístico para sumergirme en la historia y la cultura.",Amigos,5,Katehtx,13 de febrero de 2025,feb de 2025
