Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
La mejor..,"Altamente recomendado un gran lugar para admirar grandes obras del.mundo, son varios pisos con historia, me gustó volvería a vivir la experiencia",,5,,,jul de 2025
"Breathtaking, very beautiful and clean.","So beautiful, breathtaking. Loved every single sculpture and painting. For me, the most thoughtful part about it is that the owner made that museum in honor of his wife. The museum is mesmerizing from the inside and outside. The architect and designers did an amazing job.",,4,,,ene de 2025
Excelente experiencia,"Es un excelente lugar para conocer, el tiempo se pasa muy rápido, todas las obras están increíbles, el salón de las pinturas religiosas es impactante, también las esculturas y la parte de teléfonos de México es espectacular.El único comentario negativo es que los guardias deberían ser más amables y discretos, comprendo que hay que asegurar que no se toquen las piezas, pero no hay que ser irrespetuosos.",,5,,,jul de 2025
Museo Soumaya es imperdible!!!,"Me encantó el Museo Soumaya. Su arquitectura es impresionante y la colección de arte es enorme y variada. ¡Además, la entrada es gratis!",,5,"Ciudad de México, México",,jul de 2025
Museum,The museum was very beautiful and easy to get around. The museum had some beautiful art. I went here before I went to the mall which is directly next door,,5,"Odessa, TX",,jul de 2025
Go if you have free time but don’t prioritize,"This is a lot of art but not very well displayed or curated. It made me think of that aunt who has collected a lot of things and displays them on every shelf in her house and then invites neighbors to see everything she has.  There is some good art but it’s hard to find the needles in the haystack. Carlos Slim needs to hire someone to tell him he shouldn’t display everything all at once.  On the upside, it’s free.",,3,"Phoenix, AZ",,jun de 2025
A modern museum,"A good option in Mexico City; specially  if you’ve already seen other museums in the city that are institutions of their own (this museum is newer and more modern, with several replicas in its collection).  It’s also free!A modern, friendly, and accessible art museum in CDMX.Una buena opción en la Cd. de México; especialmente si ya conoces otros museos  destacados (este museo es nuevo y moderno,  con varias réplicas en su colección). También es gratis!  Un museo moderno, amigable, y accesible en CDMX.",,4,"Menomonee Falls, WI",,may de 2025
Increíble la exposición de Rodin y hermoso museo!,"He visitado dos veces este museo cuya estructura y apariencia es impresionante, me encanta, en esta ocasión había una exposición temporal de Rodin que me fascinó!",,5,"Durango, México",,mar de 2025
Unique Building and an Interesting Mix of Art & History,"We visited Museo Soumaya while in Mexico City, and it was definitely worth the stop. The building itself is really eye-catching—super modern and unlike anything else around. It’s right next to Museo Jumex, so you can easily see both in one trip.As soon as you walk in, the space feels huge and open. Everything inside is painted white, which gives it a really calming atmosphere. The museum has five floors, so there’s quite a bit of walking involved, but there’s a lot to see.The collection is quite varied. You start with Italian sculptures on the lower floor, then move through different exhibits with paintings, historical pieces, and even things like old telephones and communication displays. It’s kind of a mix of art and history, which made it quite fun to explore.If you’re into museums or just want to check out an interesting building and spend a few hours indoors, it’s a solid choice—and it’s free, which is always a bonus.",,5,"Greater London, UK",,abr de 2025
"Lo recomiendo , hermoso lugar !",Hermoso y su entrada es completamente gratis ! Se requieren al menos  unas 3 h para recorrerlo . Impresionante colección de obras de arte internacional y de artistas mexicanos !,,5,"La Habana, Cuba",,abr de 2025
Vale la pena,"Todo muy bonito, el museo es precioso por dentro y se nota mucho el cuidado que tiene, no tiene costo de entrada por lo que está lleno todo el día, pero vale totalmente la pena.",,5,"Mérida, México",,mar de 2025
gran colección,"gran colección una de las mejores colecciones no solo de México si no del mundo encontraras obras de arte de los grandes maestros de todos los tiempo de varios países, la conservación del acervo es muy buena, el tamaño de la colección es muy grande por lo que llevar zapatos cómodos y tiempo es lo básico, no recomiendo ir con niños es muy cansado para ellos por lo largo del recorrido",,5,"Guadalajara, México",,mar de 2025
Línea va rápido,Espera a estar al sol. La línea va muy rápido. Hermoso museo. 5o piso no abierto y tan decepcionante. ¡Abre el lunes! ¡Libre!,,4,"Chicago, IL",,mar de 2025
Marginal,El edificio es interesante desde el exterior pero no tanto desde el interior. Una dispersión de buenas piezas en medio de una gran cantidad de arte de segunda y tercera clase.,,3,"Vienna, VA",,mar de 2025
Entrada libre y arte fantástico para ver,"Este museo tiene 6 niveles que tiene arte, bronce / mármol obra de numerosos artistas famosos como van Gogh, Rubens, Rivera, Turner, Dali, Picasso, Monet, Rodin, Renoir, Cezanne por nombrar algunos. Este es uno de los pocos museos en México que es de entrada libre. Los nombres del artista y cómo se llama la pieza se muestran junto a la obra en español e inglés.",,5,"Wellington, Nueva Zelanda",,feb de 2025
Debo ver,Qué museo tan increíble. Es increíble desde el exterior y fantásticamente curado en el interior en muchas plantas. Para hacer justicia a la visita necesitas varias horas. Fue una pena que no hubiera cafetería.,,5,"Londres, UK",,feb de 2025
Tienes que ir con tiempo,"Es un museo enorme, con varios pisos con gran cantidad de obras, por lo que puede resultar muy agotador, lo ideal es aprovechar los asientos que hay en cada piso para poder disfrutar lo que el museo tiene por ofrecer. Hay servicio de baños y son limpios. Tienen obras excepcionales, vale la pena la visita. Al no poder ingresar ni comida ni bebida, hay que hacer una fila después de pasar seguridad para que guarden tus objetos.",,4,,,feb de 2025
Diseño muy bonito,"“Es un museo realmente hermoso, que no solo destaca por su arquitectura, sino también por su cuidada colección. Cada exposición ofrece una experiencia enriquecedora, llena de piezas interesantes que capturan la atención de los visitantes.”",,4,"Bogotá, Colombia",,ene de 2025
Uno de los mejores del mundo,"Desde el momento en que vea el exterior de este moderno edificio hasta entrar en el espacioso interior de flujo blanco con una réplica de tamaño natural de David en el vestíbulo, ¡se sorprenderá con los 6 pisos de arte de artistas y escultores famosos del mundo! ¡En realidad pone a TODOS los museos de arte en CDMX a la sombra! ¡Sólo ve allí, por favor!",,5,,,dic de 2024
"¡Si vas a este museo, haz este tour!","Excelente tour. Me sorprendió el conocimiento de la guía. Si de alguna manera te interesa el arte o la historia, te recomendaría este tour. El guía era servicial y servicial en muchos aspectos. Muy bien en general. Además, como el museo no tiene audioguía, realmente es una necesidad si quieres aprender sobre las increíbles obras de Rodan, van gough y maestros mexicanos.",,5,,,dic de 2024
