Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
10 de 10,Simplemente espectacular! No se lo pierdan el ballet folklórico. Tienen mucho talento esos chicos y chicas ………………!!!,Solitario,5,Linda O,20 de agosto de 2025,ago de 2025
¡El muralismo mexicano en su máxima expresión!,"Fue un ejemplo sobresaliente del muralismo mexicano. No te pierdas actividad. Desde Rivera, Orozco, Tamayo y Siqueiros, absolutamente impresionante!",,5,1 aporte,16 de agosto de 2025,ago de 2025
Ballet Folklórico de México de Amalia Hernández,"excelente producción, que te llena los sentidos y te transporta hacia los lugares que están en el programa, excelente el duelo de arpas correspondiente a la fiesta de Tlacotalpan, así mismo el charro haciendo el floreo de reata , todo espectacular; El prietito en el arroz fue que en su programa no incluyeran un capitulo  sobre la música norteña, que se llenara el recinto con el sonido del acordeón, bajosesto y  tololoche, de ahí pal real vale la pena cada centavo que pagaste por la entrada",,5,"Monterrey, México",13 de agosto de 2025,ago de 2025
Siempre agradable,"En esta ocasión fui al museo, que albergaba la exposición “La Revolución Impresionista”, pero aproveché para conocer la de Jorge González Camarena “La utopía inacabada” y los murales de Siqueiros, Rivera, Orozco, Camarena y más. Visitar el Palacio es siempre un deleite visual.",Familia,5,"Celaya, México",24 de julio de 2025,jul de 2025
,"Un edificio que data de unos 100 años aproximadamente si es lo que entendí quisa más, el lugar se siente como un viaje en el tiempo , quisa lo han remodelado claro pero mantiene esa esencia,grandes artistas han pasado por esas puertas , increíble exposiciones artistas mexicanos e internacionales una parada obligada si te encuentras en la ciudad de Mexico",,5,1 aporte,24 de julio de 2025,jul de 2025
"Lugar único, superó mis expectativas","Este lugar realmente superó mis expectativas. Es único, cuidadosamente diseñado, y ofrece un gran ambiente : ) Sin duda volvería y lo recomendaría a otros.",Negocios,5,"Catasauqua, Pensilvania",16 de junio de 2025,jun de 2025
Vistas y más,"La mejor vista exterior del edificio Art Nouveau es desde el edificio Sears 8a planta cafetería. El acceso es gratuito para mayores de 60 años con identificación. Además, los domingos entrada gratuita. Interior de construirnos una fusión de Art Déco y arte mexicano. Entre los artistas se encuentran Rivera, Siqueiros y Camarena.",Pareja,5,"San Diego, CA",11 de junio de 2025,jun de 2025
Lo mejor en compañía de mi hija menor,"Sin duda alguna la sala de exposiciones y museo es una gran oportunidad de observar y apreciar los mejores murales como Siqueiros, Diego Rivera, Camarena, Orozco y para terminar escuchar la orquesta sinfónica nacional.",Familia,5,"Villahermosa, México",1 de junio de 2025,jun de 2025
Prepárate para que te roben el corazón por Baile Folklórico en Palacio de Bellas Artes,"Baile Folklórico en el Palacio de Bellas Artes es una de las actuaciones más bellas y conmovedoras que he presenciado. Desde el primer golpe de tambor, me quedé completamente cautivado. El espectáculo es una vibrante celebración de las diversas regiones de México, con cada baile contando una historia única a través de juegos de pies tradicionales, trajes coloridos y coreografía dramática. Realmente puedes sentir el alma de México cobrar vida en el escenario. El Palacio de Bellas Artes es impresionante, su gran arquitectura hace que toda la noche se sienta como una ocasión especial. Recomiendo encarecidamente vestirse un poco y hacer una noche de ella. Si buscas experimentar auténtica cultura y arte mexicano, esta actuación es inolvidable.",Solitario,5,"Seattle, WA",1 de mayo de 2025,jun de 2024
Palacio de Bellas artes-Ballet Amalia Hernández,"Ballet de Amalia Hernández en domingo, concurrido. Llega con tiempo ya que es puntual la función. El metro bellas artes o metrobus son la opción en transporte.",Familia,5,carina o,2 de abril de 2025,may de 2024
Increíble,"Increíble edificio, gran arquitectura, disfrutamos de un evento de música clásica en el interior por lo que miramos todo el edificio por dentro y por fuera, tan hermoso",Pareja,5,IVAN M,22 de marzo de 2025,mar de 2025
Mi lugar favorito Bellas Artes,"Es uno de los murales más bellos , las paredes llenas de tantos cuadros de pintura artística de Diego Rivera y David Alfaro S. Recomiendo encarecidamente a todos que vengan a visitar",Solitario,5,"Chicago, IL",13 de marzo de 2025,feb de 2025
No te pierdas esta joya,"Fuimos cuando estaba atrincherado para evitar el vandalismo de los manifestantes por lo que era difícil acceder a él, pero aún abierto.",Pareja,5,"Scottsdale, AZ",9 de marzo de 2025,mar de 2025
