Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
No vayan a los restaurantes que están en la terraza!!!! FRAUDE TOTAL!!!,"Fuimos de visita a pasar un fin de semana en CDMX y pensamos en tomar un descanso en los restaurantes que están en las terrazas del zocalo para disfrutar la vista.Al principio todo bien. Atentos. Jarra de agua de cortesía. Sin embargo,  terminó siendo una pésima decisión.De una cuenta de $3350 (ya incluyendo la jarra de agua más cara de nuestras vidas), nos terminaron cobrando $5061:  jarra de agua en $499, un consumo (cover) de $533 y un importe que no supimos ni de qué fue.Pides explicaciones y no te entregan ticket, te presionan para que pagues.Íbamos con niños, así que no quisimos entrar en discusión,  pero por favor, tengan cuidado!(Adjunto ticket)",Familia,1,1 aporte,22 de agosto de 2025,ago de 2025
Zócalo de la Ciudad de México,El corazón de la CDMX: enorme plaza llena de historia y sede de grandes eventos. Rodeada de edificios emblemáticos y un ambiente lleno de vida.,Amigos,5,"Ciudad de México, México",29 de julio de 2025,jun de 2025
no es bueno,"esto fue un desastre debido a miles de maestros que protestaban. había cientos de tiendas, caminar no era agradable",Pareja,1,Ron D,19 de junio de 2025,may de 2025
Solas y esparcimiento,"Es un espacio donde se observa creatividad , comercio, arte gastronomía, gente amable,espacio seguro,la organización de las actividades. Y distribución de chinamos y la accesibilidad de vendedores es digna de admirar.Me encanta México.",Pareja,5,Norma V,17 de junio de 2025,jun de 2025
Plaza enorme,"Gran espacio abierto. Cuando asistimos no había nada en IT sin embargo había gente ofreciendo bendiciones tradicionales por una pequeña tarifa frente a la iglesia, que era genial. La zona en sí era agradable para pasear con un montón de arquitectura diferente.",Pareja,5,"Sídney, Australia",11 de junio de 2025,mar de 2025
¡No vayas allí!  IT ha convertido en un campamento gigante para personas sin hogar.,¡No vayas allí! Toda la plaza y las calles adyacentes han sido ocupadas por enormes campamentos de personas sin hogar. La zona está completamente cubierta de tiendas ITh y lonas con cuerdas que hacen imposible llegar. Estábamos atrapados tratando de salir de este lío y IT era una situación aterradora.,Pareja,1,"Aliso Viejo, CA",26 de mayo de 2025,may de 2025
Bello,"Bellamente bello no hay belleza que se pueda embellecer bellamente ese lugar es simplemente bello,bello,bello (bello)",Solitario,5,"Tabasco, México",18 de mayo de 2025,jun de 2024
"Un corazón poderoso y cultural de la Ciudad de México, lleno de energía e historia","El Zócalo (o Plaza de la Constitución) es algo más que una plaza principal: es el latido de la Ciudad de México. De pie aquí, rodeado de siglos de historia, sentí esta profunda conexión con el alma de la ciudad. Es donde el pasado y el presente chocan: la Catedral Metropolitana de la Ciudad de México a un lado, el Palacio Nacional al otro y los restos del antiguo Templo Mayor Azteca a pocos pasos. Ya sea que sea tu primera vez en la Ciudad de México o la quinta, el Zócalo siempre causa una impresión. La energía es palpable — escucharás músicos callejeros, verás bailarines, manifestantes, celebraciones... es un espacio de vida, de respiración. Fue uno de los primeros lugares que visité en mi viaje en solitario, y caminar por él solo me pareció empoderador. Hay algo fundamental en estar en un lugar tan poderoso por tu cuenta. Si lo visitas, tómate tu tiempo. Siéntate en un banco. Vigila a los lugareños. Siente el ritmo de la ciudad. Y definitivamente parar a comer algo cerca - los tacos siempre son una buena idea.",Solitario,5,"Un corazón poderoso y cultural de la Ciudad de México, lleno de energía e historia",10 de mayo de 2025,jun de 2024
Excelente experiencia!!!,"Los servicios eran excelentes, buena ubicación, excelentes vistas; buena comida; La gerente general Fernanda Lozano hizo todo lo posible para asegurarse de que tuvimos una experiencia increíble, lo recomiendo totalmente.",Familia,5,1 aporte,9 de abril de 2025,mar de 2025
El punto de partida central para visitar la Ciudad de México,Un lugar obligado para cualquier viaje a la Ciudad de México. Enorme plaza abierta con la bandera más grande que jamás verás. Siempre pasa algo aquí con un ambiente maravilloso.,Familia,5,El punto de partida central para visitar la Ciudad de México,11 de marzo de 2025,mar de 2025
¡Un banquete visual! ¡Haz un punto para visitar y caminar por las calles!,"Una enorme bandera mexicana se encuentra en el centro de la gran plaza. A un lado está la gran catedral que es igualmente impresionante por dentro y por fuera. ¡Es la oportunidad fotográfica por excelencia! En el interior es muy ornamentado y el órgano doble vale la pena verlo. Era libre de entrar cuando fuimos. Se le pide que no tome fotos durante la misa, pero estuvo bien en otras ocasiones. En el exterior encontrarás artistas callejeros, vestidos con trajes tradicionales y bailando al ritmo de tambores tradicionales. Es muy evocador y es fácil imaginar cómo era este espacio cuando era Tenochtitlan. Caminamos hasta aquí, ya que hay MUCHOS edificios hermosos alrededor de la ubicación general, junto con otros artistas y puestos bordean los caminos a lo largo de la calle principal y el parque circundante.",Pareja,5,"Sídney, Australia",25 de febrero de 2025,feb de 2025
Zócalo capitalino,"Actualmente ya es peatonal, se disfruta al máximo la experiencia de ver todos los monumentos. Ven a disfrutar de México",Familia,5,"Ciudad de México, México",17 de febrero de 2025,feb de 2025
¡Una visita obligada!,¡El zócalo es una visita obligada! Simplemente entré a la plaza y es una enorme área llena de vendedores y otros que solo respetan la cultura de México. Gran lugar para fotos y para interactuar con grandes restaurantes / vendedores / locales.,Solitario,5,¡El zócalo es una visita obligada! Simplemente entré a la plaza y es una enorme área llena de vendedores y otros que solo respetan la cultura de México. Gran lugar para fotos y para interactuar con grandes restaurantes / vendedores / locales.,17 de febrero de 2025,feb de 2025
Asombrosamente hermoso centro de la ciudad,"Al planear nuestro viaje a la Ciudad de México, quería reservar un hotel con fácil acceso al Zócalo en el corazón del casco histórico de la ciudad. Tuvimos suerte, aterrizando 2. A 5 cuadras de la Plaza de la Constitución - a solo cinco minutos a pie. Este peatón - única porción de bienes raíces es el latido del corazón de toda la ciudad. Nos amontonamos en la plaza nuestro primer día, precisamente cuando las campanas del mediodía comenzaron a sonar en las torres de la Catedral Metropolitana. La belleza era tan abrumadora que nos quedamos atónitos... y llorosos de ojos. Durante nuestra estancia, volvimos aquí cada día para encontrar nuevas sorpresas. Una tarde, nos encontramos con actuaciones de danza azteca. Todos los días se instalaban mercados ambulantes en la plaza, con vendedores que vendían comida local y todo tipo de baratijas (con excepción de recuerdos, una carencia bastante significativa). Vimos músicos locales tocando para propinas justo al lado de la plaza. Un joven tocando una bachata perfecta en su saxofón fue otra lágrima - jerker, al igual que un violonchelista brillante que se instaló y tocó el domingo por la noche. Sentí como si estuviera en Europa. Otro día nos topamos con Templo Mayor en el extremo norte de la plaza, que alguna vez fue la gran pirámide de Tenochtitlán. Este es el sitio de ruinas aztecas del asentamiento original aquí, que data de hace setecientos años. Puede ver las ruinas desde una plataforma sobre la plaza, o puede ir bajo tierra y pagar por recorrerlas. Las multitudes eran masivas, pero todos tenían buenos modales, posiblemente debido a una notable presencia policial. Como dos mujeres viajando juntas, mi hija y yo nos sentimos muy seguros en toda esta sección de la ciudad. Hay tanto que ver solo en este pequeño segmento del distrito histórico que podría pasar días aquí mismo. Explora cada rincón.",Amigos,5,Florida,13 de febrero de 2025,ene de 2025
Debo ver,Enorme y masiva plaza rodeada de hermosa arquitectura. Esta es una visita obligada cuando en el centro histórico de la Ciudad de México.,Solitario,5,Enorme y masiva plaza rodeada de hermosa arquitectura. Esta es una visita obligada cuando en el centro histórico de la Ciudad de México.,7 de febrero de 2025,feb de 2025
