Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Fun,"The aquarium is a few dollars via Uber from the cruise ship. It would probably be doable in half a day—maybe 3 hours max. There is a cute sea lion show and some nice aquariums that are well kept. Everything seems to be in good working order and well taken care of. We were lucky enough to SCUBA in the aquarium. The staff was helpful and kind. We brought our own gear, and they allowed us to use it. Our cousin rented gear, and it had no SPG!Overall, a fun time. Do not eat here—the food is awful, slow, and expensive. Except the cotton candy machine by the food court, which is just fun! Lots of places to eat just outside.",,3,,,jun de 2025
"Pésima actitud del personal que toma fotos, te las venden a fuerza!!","El joven de las fotos se molestó por no comprarle una, pésima actitud de todo el personal. La que vende cervezas con una carota!! El lago lleno de basura, focas mal cuidadas, edificio e instalaciones en mal estado… que lástima que lo tengan así…",,2,,,jul de 2025
Vacaciones familiares todo excelente menos el acuario ya 1que ni había los guías que nos dijieron que nos hiban a estar,Mala atención de toda la información mal dada sobre los shows y no nos guiaron correctamente sobre lo que había y podíamos disfrutar mientras estábamos en sus instalaciones,,3,,,abr de 2025
Sad,Very disappointing not much to see and you have to pay extra for everything. Small dirty tanks. The bird show is the worst ….. when the guy finally stops screaming into the mic ( bring earplugs feels like eardrums will blow) they bring a bird out for a second then that’s it.,,1,"Orillia, Canadá",,mar de 2025
Acuario Mazatlán Costo excesivo.,"En mi caso, he tenido la oportunidad de visitar varios acuarios del país, como en ciudad de México, Guadalajara, Veracruz, cancun y ahora mazatlan.Mi humilde opinión es la siguiente:Por los casi $500 por adulto que cobran es caro para lo que ofrecen.El lugar es grande y enredoso. No hay quien pueda guiarte o ayudarte a poder hacer un itinerario y decir por donde empezar.En la cafetería SOLO había 1 persona para atender, ella cobraba, hacia los cafés y limpiaba. Para esto, tardo en atender a 4 personas en 40min. Increíble que no tuvieran personal para un día feriado.El pinguinario es decepcionante.Tienen muy poquitos pinguinos y las pocas pocas ventanas para verlos estan muy chicas para la cantidad de personas que pueden entrar al lugar. Mas bien es una pecera de pinguinos. Nada atractivo.Nada que ver con el pinguinario de Guadalajara, es otro mundo comparado con el de mazatlan. Ese está padrisimo, con muchos pinguinos de todos tamaños y el lugar para verlos es grande y esta super bien organizado, todos realmente disfrutan de verlos. La gente se mete a verlos 2 a tres veces más en un mismo día.Lo único que rescata parte de el acuario Mazatlán, es el show de Leones Marinos, se puede decir que es lo mejorcito de todo, junto con las peceras grandes donde tienen a los tiburones y la bonita ubicación natural del lugar.Pueden mejorarlo todavia mas y bajar los abusivos precios o poner promociones de 2x1 en ciertos dias.Calificación general: máximo un 7.",,3,"Mazatlán, México",,dic de 2024
Educativo ,"Esta bonito pero honestamente por el precio esperaba un poco más, hay algunas áreas que se notan un poco descuidadas, eso si hay una pecera que al entrar es impresionante y que ninguna foto le podría hacer justicia, dicen que la mayor parte del dinero se va a la investigación científica entonces fue la razón por la que a pesar del precio acudí. ",,4,"Ciudad de México, México",,dic de 2024
Un pedacito del mar de Cortés en la ciudad de Mazatlán …,"En realidad hay lugares enorme, y tiene muchas vitrinas muy grandes, con diversidad de especies; siento que el lugar está desaprovechado, y tienen muchos espectáculos, pero no nos dio tiempo visitarlos todos, podría mejorar la atención a los animales y hay mucha gente, por lo que tienes que hacer rápido, porque no puedes disfrutar de todas las pecerasVimos en espectáculo de aves y uno de lobos marinos , el espectáculo está aceptable, pero siento que le falta un poquito de más actividades Se ofrecían otras actividades por un costo adicional, como alimentar a las rayas o al unos pajaritos; pero se me hizo eso muy comercial En general bien, tienen una gran estructura como para aprovechar mejor el lugar y hacer de este acuario todavía mejor",,4,"Ciudad de México, México",,dic de 2024
Such a beautiful Aquarium,"Very impressive. The small tanks were filled with a variety of marine live. The largest tank was very impressive. The signage was all in Spanish. We could understand some of it. It was clear that, as with most modern aquariums, education is very important: keeping the oceans clean, the importance of coastal protection, etc. One pool had mangrove trees, you could see the roots and the fish swimming among them.We had a very nice mid-day visit. Plenty of staff to help direct visitors around.",,5,"Olimpia, WA",,oct de 2024
Precios altos por poco servicio,"Pocos señalamientos de rutas de acceso a los diversos atractivos.En el área de las peceras, la gente se pierde entre escaleras y elevador, por falta de letreros y personal.Costo extra por interactuar con pinguino y mantaraya.Esperábamos mucho más atendiendo al costo de estrada.Fuimos en temporada alta y el show de lobos marinos con sobrecupo.La exhibición con los buzos fue lo que más nos gustó.",,2,"Coahuila, México",,jul de 2024
Hermoso edificio y gran experiencia.,"El acuario está hermoso. La arquitecta Tatiana Bilbao y su equipo hicieron una obra maestra. La experiencia del acuario en sí es muy buena, te contextualiza en los hábitats del Mar de Cortés. Un poco caro para mi gusto.",,5,"Ciudad Guzmán, México",,jul de 2024
