Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Beautiful place of worship and must see,"Must see must see..if you are visiting. Such a great structure and beautiful place. Be sure to make stop and enjoy your visit. Also, lots to se around it, but keep in mind, it’s located in the old Centro area which means there are a lot of locals there and the city is not as well maintained, so you don’t get surprised.",,5,"Vaughan, Canadá",,abr de 2025
Impresionante ,"Fui de día y de noche, de día hay bastante gente aún así es bonita, de noche no sé si siempre o sólo en época decembrina pero tenía una iluminación que le daba mucha vista",,5,"Ciudad de México, México",,dic de 2024
A pretty cathedral,"We walked around downtown Mazatlan on our own and enjoyed seeing this cathedral while we were in the old town. Its yellow color stands out as you walk by, and the interior has various nice checkerboard patterns. It wasn't as cool, temperature-wise, as some European cathedrals we've visited, but there were electric fans running on a hot day that kept the interior comfortable. We spent about 10 minutes sitting inside and admiring our beautiful surroundings.",,4,"Portland, Oregón",,nov de 2024
Catedral hermosa,"La visite de noche, es hermosa, frente a la catedral hay una plaza que también es muy bonita y muy tranquila, la zona es muy tranquila de noche y las calles muy seguras",,5,,,jun de 2024
A good cathedral,Over the years we've seen dozens of cathedrals.  This one is nice and clean and seems more modern than many.  Worth a visit but not for spending a long time at.  The afternoon sun gives a nice light display through the stained glass windows.,,4,"Iowa City, IA",,abr de 2024
"Located across from Plaza Principal, it gives you a sense of unity","The Basilica is located in the central of Mazatlan. Built on an ancient Indian Temple, it stands out with its Baroque, Moorish and Gothic influences. It has an eclectic, yet very beautiful look. The best place to view the Catedral, is from Vista Hermosa up on the hillside. Virgin de la Purisima Conception is the Patron saint of Mazatlan, and you can see her above the altar in a protective pose. Due to the French trying to (unsuccessfully) recolonialize Mexico in the 1860's, The Catedral wasn't finished until 1899. The Catedral has a very impressive organ that was built in Paris by Aristide Cavaille-Coll. He was probably one of the best organ builders during this time. I was told that the foundation of the Basilica was paid by the Jewish Community of Mazatlan. Being grateful for the donation they incorporated the Star of David on each of the 28 stainglassed windows. Opposite from the Basilica there is a park with its own history. Surrounded by a lot of foliage, its a great place to find some shade.",,5,"Tucson, AZ",,ene de 2024
Beautiful Cathedral Worthy of a Visit,The Catedral was one of the stops on our city tour. It is a beautifully designed church with easy access to both exterior and interior photographs. We were there on a Holy Day of Obligation so there were frequent masses well attended by local churchgoers. The interior of the church has spectacular gothic like arched ceilings with many statues and side altars. It sits right across the street from a central plaza which was busy with visitors. It also had many interesting backdrops for photographs. Food vendors were present.,,5,"Tucson, AZ",,ene de 2024
Small but charming,"Very ornate in an understated way but statuary rather than stained glass. apparently the only cathedral with the  star of David incorporated within its design, due to the donations made  at the time of construction.At the time of our visit there were Day of dead displays in the area across the road.",,4,"West Sussex, UK",,nov de 2023
Beautiful,Beautiful cathedral. This was on our tour of  and worth the stop. Beautiful architecture enhanced by many unique features inside.,,5,"Tulsa, OK",,nov de 2023
Very Emotional Wedding,"We attended a wedding of a former student celebrated by a priest from Scotland in a fully attended Cathedral. The music was inspirational and the décor was traditional. Our student is now a Capt. of the merchant fleet and still our friend. He stopped the exit procession to acknowledge us, the only expats among well to do Mexicans.",,5,"Sudbury, Canadá",,jul de 2023
catedral,"ir a conoceres obligado. tomarse medio dia para cada lugar parsa que rinda. no se puede estacionar, se recomienda bus.",,3,,,ago de 2023
Asistimos a una gran boda de un ex alumno ahora capitán.,"Un ex maestro misionero javeriano en ICO voló desde Escocia para celebrar la boda. La catedral estaba llena, pero la procesión se detuvo al salir para que el novio nos saludara a mí y a mi esposa.",,5,"Sudbury, Canadá",,may de 2023
Impresionante.,Siempre visitamos la capilla y disfrutamos de todo lo que ofrece. Se hizo un trabajo tan impresionante en la construcción y lo miramos con asombro.,,5,,,mar de 2023
VISITAR LA CATEDRAL DE MAZATLAN.,"al visitar la catedral de mazatlán, para los que son creyentes, es una bonita experiencia, ya que tiene un altar espectacular, y varias entradas",,5,"Morelia, México",,feb de 2023
hermoso por dentro,Esta fue una parada en nuestra excursión en crucero. Una plaza bastante concurrida. Mucha actividad por dentro y por fuera.,,4,"Marietta, GA",,dic de 2022
placer,"Catedral de mazatlan, hubicada en el mero centro del puertoes muy importante que cuando viajes a mazatlan de placer o de negocios,hasle una visita por favor...ademas visitas el centro comercial mazatlan viejo",,5,"Mazatlán, México",,sept de 2022
Guau.,Bastante hermoso por dentro y al lado de un hermoso parque. Definitivamente vale la pena una visita y lejos de las hordas turísticas.,,5,"Puerto Vallarta, México",,ago de 2022
a la hora del Ángelus ,"preciosa, la arquitectura, los retablos, el Sagrario... y una nieve de garrafa saliendo, te sientas en el kiosco de la plaza, genial!!!!",,5,"Chihuahua, México",,jul de 2022
Catedral muy interesante.,Busque la estrella de David en las ventanas superiores. Una familia judía local financió la finalización. Hermoso interior.,,5,"San Diego, CA",,jun de 2022
Retrocediendo en el tiempo,"Esta es una hermosa catedral a pocas cuadras de la Plaza Machado. Se encuentra en la Plaza Principal que también es preciosa. La catedral está abierta y el interior es más hermoso que el exterior. Esta es una visita obligada. La plaza al otro lado de la calle está llena de gente caminando, comiendo helado y disfrutando del hermoso clima de Mazatlán. Hay una línea de sillas para lustrar zapatos a lo largo del costado que da a la catedral con bancos para sentarse y relajarse.",,5,"Sedona, AZ",,feb de 2022
Una experiencia hermosa y santa.,"Me siento muy agradecido de haber podido visitar esta hermosa iglesia y ofrecer una donación de diezmos. No he dejado de pensar en mi experiencia. Había puesto todo el dinero en efectivo que llevaba en la caja de donaciones en el frente de la iglesia. A una cuadra de distancia, pasé junto a una señora, que estaba apoyada en un rincón sentada en la calle sosteniendo una taza. Ella me miró a los ojos y mi corazón se hundió. No tenía nada que poner en su taza. Estoy tan enojado conmigo mismo por no volver, o encontrar un cajero automático o algo que hacer para ayudarla. Si te diriges en esa dirección, tenla en mente y en tu corazón y guarda algo para ella. Te prometo que alegrará tu día. No te la puedes perder, probablemente tenga más de 90 años y pese alrededor de 60 libras. Sus ojos están nublados, pero puede mirar fijamente a tu corazón y alma. No hagas lo que hice yo, te arrepentirás profundamente. Gracias.",,5,"Minneapolis, MN",,ene de 2022
Hermosa iglesia histórica,Maravilloso entorno y recorrido. Me encantó la historia y la arquitectura. Me encantaría experimentar un servicio allí.,,4,"Fairfield, CA",,ene de 2022
Catedral Bonita,Esto es algo que debe hacer. La variada arquitectura representa la tradición de una iglesia católica de estilo barroco del siglo XIX. Se encuentra en la zona histórica de Mazatl n.,,5,,,dic de 2021
bonito lugar para visitar,está en el centro de la ciudad y encontrará muchos lugares para comer algo si quiere que los vendedores paletas helados churros tacos comida de mar un buen lugar para pasar la mañana o la noche,,5,"Moreno Valley, CA",,may de 2021
hermosa iglesia,Esta iglesia es preciosa. Los detalles por dentro y por fuera son simplemente increíbles. Realmente disfrutamos nuestra visita.,,5,"Magnolia, TX",,jun de 2021
bellisima catedral,"bellisima catedral, recomiendo la visiten, es muy tranquilo, seguro, hay camiones para llegar facilmente y directos.",,5,,,may de 2021
"Absolutamente increíblemente hermoso por dentro. ¡Un ""must see"" cuando estés en Mazatlán!","Esta catedral, en el centro del casco antiguo de Mazatlán, es verdaderamente una de las mejores que he visitado en México. Desde los impresionantes techos hasta las estatuas, es impresionantemente hermoso. ¡Usted tiene que verlo para creerlo! Usted no será decepcionado.",,5,"Ventura, CA",,may de 2021
hermosa catedral,Hermosa por dentro y por fuera. Debes verlo. Tomé muchas fotos Es pintoresco desde la plaza. Permitir imágenes en el interior sin flash,,5,"Nuevo Nayarit, México",,abr de 2021
hermosa iglesia,"Si te encanta la madera tallada y los hermosos vitrales, ¡visítanos! La iglesia está en la calle principal rodeada de tiendas y restaurantes.",,5,"West Falls, Estado de Nueva York",,feb de 2021
Paseo por la ciudad,"Construida hace 100 años, gran Romería. A pocas cuadras del malecón principal, rodeado de una plaza mexicana de estilo antiguo.",,5,"Mill Creek, WA",,ene de 2021
Imposante.,La Catedral abre sus puertas dos veces al día. Vale la pena tomarse el tiempo para visitarlo. Gran arquitectura.,,5,"Hollywood, California, USA",,sept de 2020
Paseo,"Buena ubicación, mucho transporte , comida ,  el kiosko es hermoso , Mazatlán es de las playas más hermosas , la gente es muy amable, lo vimos un poco peligroso en las noches .",,3,"Santiago de Querétaro, México",,sept de 2020
Catedral de Mazatlán,Hermoso e impresionante Bien vale la pena visitarlo. Hermosa vidrieraHistoria y edificios tan antiguos,,5,"Red Deer, Canadá",,nov de 2019
Gran Catedral,"Catedral enorme en zona muy transitada de la ciudad. Había gente por todo este lugar, ya que estaba bien adornado y se mantenía muy limpio y listo para los visitantes. Tenía un carácter sagrado, pero no muchos parecían adherirse o notarlo. Gran vista exterior desde el lateral o frontal.",,5,"Farmingdale, Estado de Nueva York",,ene de 2020
Hermosa iglesia antigua,"Esta hermosa iglesia antigua estaba cerrada, así que volvimos otro día. Disfrutamos paseando por la zona, mirando a la gente.",,4,"Surrey, Canadá",,ene de 2020
Sereno y catártico,"Hermosa e interesante, gran historia, ¡una experiencia verdaderamente inolvidable! Una fiesta para los ojos y el alma.",,5,"North Bend, Oregón",,oct de 2019
Interesante,Su arquitectura neo barroca y ecléctica hacen de esta catedral una propuesta arquitectónica interesante y especial. ,,4,,,mar de 2020
Hermosa iglesia ,Es una hermosa iglesia ideal de partir de ahí iniciar tu recorrido. Ya que estarán cerca el mercado y la Plaza Manchado. ,,5,"Morelia, México",,feb de 2020
Catedral majestuosa,Esta esplendida construcción es majestuosa por  lo que es una visita necesaria cuando visiten la ciudad.,,5,"Ciudad de México, México",,dic de 2019
Hermosa catedral,"muy hermosa la catedral, de fácil acceso muy limpia y recomendable para visitar hermoso lugar para acudir a misa o simplemente a conocela",,5,"Monterrey, México",,feb de 2019
Muy agradable interior,Al momento de entrar a la catedral te sas cuenta que se respira mucha tranquilidad en un espacio para practicar la espiritualidad. ,,5,,,ago de 2019
Simplemente Majestuosa ,Muy bella de amplios espacios y belleza sobria a mi gusto luce más de noche pero visitarla es obligatorio ,,5,"Guadalajara, México",,nov de 2019
Hermosa Catedral de Mazatlan,"Si vas al hermoso puerto de Mazatlán no dejes de visitar la catedral de Mazatlán, hermosa iglesia y de paso enfrente en el parque disfruta un raspado para el calor",,5,,,may de 2019
Bonita! ,"Es un lugar muy bonito, está en el centro de Mazatlán a lado de la presidencia municipal. Es grande y de mucha paz. Recomendable. ",,4,"Ciudad de México, México",,sept de 2019
hermosisima.,"Esta hermosa, el día que la visitamos había una boda, así que pueden imaginar lo hermosa que se veía con los arreglos. me encanta que sea tan grande!!!!!",,5,"Ensenada, México",,sept de 2018
Espectacular arquitectura!,"Considerándome conocedor de la arquitectura colonial y sacra de este hermoso país, esta basilica presenta una arquitectura muy especial, debido al vestibulo que presenta en su entrada, dandole una estetica unica y muy llamativa. El interior, con columnas y muros de cantera decorada con vivos Sobredorados y tallas unicas en muros y trabes. Para los amantes de la arquitectura sacra es de visita obligada. Es un edificio posterior a la colonia, de mediados del siglo XIX de una belleza excepcional.",,5,,,oct de 2018
Tesoro de mazatlán,Sin duda es una belleza de edificio y su arquitectura es un orgullo para los mazatlecos¡.. sólo hay que continuar invirtendo en su conservación¡,,5,,,jul de 2019
Hermosa y mas maravillosa,El catolicismo y el judaísmo coexisten en las 28 vidrieras de las Estrellas de David: todo el mundo trabajaría tan bien.,,1,"Leander, TX",,ene de 2019
Catedral mazatlan,Es muy bonito lugar para visitar su interior colonial imágenes y esculturas muy interesantes y su plazuela frente a catedral muy bonita,,5,,,jul de 2019
 Bella ,Una catedral muy bonita.   Poder visitarla al estar aquí es sensacional.  Sin dudar un paseo por maravillaso,,5,,,jun de 2019
