Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Amazing views,"Nice views! It’s worth it, But go early in the morning cause it’s a lot of walking. It took us more than 45 minutes we went later in the morning and it was too hot we had to stop and take a lot of breaks.",,4,,,may de 2025
El Faro Lighthouse/Zipline Mazatlan,Had a goal to make it up to the top of the lighthouse! Went around 9 in the morning…good time to go as it wasn’t to hot.  Made it up in about 45 minutes resting as we went.   Amazing to see whales and dolphins!Unbelievable views of the area and we paid a few pesos to go out onto the Platform!  Our daughter made the trip down on the zip line!!What an experience for her!!,,5,Canadá,,ene de 2025
Moderate Hike with Lovely Views,"If you are in moderately good shape, the climb will not be a challenge for you.  The 336 steps are not like walking up typical stairs -- there is room for a few strides on quiet a few of them.  There is a bathroom at the entrance if need be.  Cost 10 pesos and they are quite clean.Be sure to take water and wear a good pair of shoes.  There is a small store at the top where you can buy more water if needed.The views are quite lovely as you go up and, of course, from the top.I enjoyed the hike and would do it again.",,5,"Salmon Arm, Canadá",,ene de 2025
Destacable,"Ubicado al inicio o al final del malecón dependiendo de tu perspectiva, es una actividad que debes de hacer estando en la ciudad, cobran 30 pesos para subir al mirador de cristal y tomarte la foto del recuerdo, para llegar ahí debes de subir 700 metros de camino por la montaña y después 336 escalones y estarás en la cima, la cual te recompensará con increíbles vistas al puerto y la ciudad de Mazatlán, si llevas presupuesto hay una tirolesa en la cual puedes aventarte por 1,200 pesos y sentir una experiencia única.",,5,"Naucalpan de Juárez, México",,ene de 2025
Sensational Views,"We went later in the day so the sun wasn't scorching our buns.. then watched a beautiful sunset upon reaching the summit..  it was a fairly easy/moderate hike for this senior.. took us about 25 minutes to go up, longer to come down because we watched the cruise ship leaving port, we pet some well-fed kitties, and took more pictures. Bring water and wear good shoes... you might need a flashlight if you're coming down at night... not much of a ""lighthouse"" per se, but none-the-less, incredible 360 city views... as for the wastewater treatment plant next door... it has been closed since 2022.",,4,"Columbia Británica, Canadá",,ene de 2025
Amazing views and city vantage point,"This is one to go to first thing in the day. Not only do you avoid the heat (it’s a heart rate elevating walk), you also avoid the crowds when there are cruise ships in town. Plus it’s lovely hearing everyone else speak Spanish as you walk up; makes it feel more local / special. We were fortunate enough to be the only ones at the Skywalk so got to enjoy it immediately and in solitude (once I picked up the courage to walk out).",,5,Auckland,,ene de 2025
Vista increíble ,"La vista es muy bonita, pero para llegar hay que ir con la mentalidad de caminar mucho y después subir escalones aunque la verdad el esfuerzo vale mucho la pena.",,5,"Ciudad de México, México",,dic de 2024
"A tus viajes, agrégale siempre un poco de reto y de aventura … en Mazatlán tienen el faro y su puente de cristal","Se nos había dicho que subiera al faro, era todo un reto, son más de 336 escalones, por lo que sí, no es tan accesible, pero una vez llegando allá se convierte en un lugar hermoso la vista de Mazatlán, vale la pena y tiene su puente de cristal, que aunque es cierto que si está lleno y hay que hacer una fila bien, vale la fotografía.Hay que ser pacientes y considerar a las demás personas que también van a tomar sus fotografíasNosotros fuimos y no había mucha gente, y nosotros llevamos sombrilla para el sol, eso nos ayudó bastante. Aparte de ponernos bloqueador Tomamos una mochila y compramos Agua arriba para no cargarla desde abajoSi nos gustan los retos, este es el lugar para ello, y para medir nuestra condición física, no necesitas subir rápido, aunque sea lento, pero llegar arriba tiene su recompensa",,5,"Ciudad de México, México",,dic de 2024
Excelente ubicación excelente vista,Excelente lugar no puedo escribir la belleza de lo que te puedes encontrar aquí lo que sea es que tienes que venir bien preparado para subir porque es muy pero muy cansado y como diría una conocida los que tienen condición lo pueden subir en una hora pero los que no tenemos condición dos Navidades así es de qué si vienes vete súper preparadocómodo para subir y bien hidratado,,5,"Grand Prairie, TX",,ago de 2024
Camino diferente pero no te dejan osar al faro,"El último sanado de julio fuimos con la familia, pero no te dejan entrar, solo puedes manejar hasta la cima y la vista es limítala, el camino es angosto y peligroso, consideren que solo tendrás 4 miradores en el trayecto para ver la panorámica",,2,,,jul de 2024
Lugar hermoso con vistas especiales,"Es un lugar muy bonito que aparte ayuda a qué se haga ejercicio por sus escalones y su recorrido, cada paso vale la pena, recuerden llevar agua y bloqueador solar, las vistas son muy bonitas y los gatitos son los cuidadores del faro",,5,,,jun de 2024
Worth the Hell,"We planned for months to hike El Faro and, by golly, we did! From the cruise ship terminal, its 3.1 miles round trip back to the ship.Be prepared!Of course, this is Mexico. It's going to be hot. The mountain has sheer cliffs on 2 of the side, so the only place to put the trail is in full sun. It's very steep so take your time, take lots of water and enjoy the amazing views.It's worth the journey!",,5,"Las Vegas, NV",,may de 2024
Intensa caminata y espectaculares vistas.,"Prepárate para una intensa caminata, lindas vistas y un sitio maravilloso para tomar fotos. Lamentablemente no se puede entrar al faro. No se ofrece info sobre la importante labor que el faro tiene en la bahía.",,5,"Monterrey, México",,mar de 2024
Great views of Mazatlán,"Great views at the top. Easy hike (winds up and then 336 steps to the top). It is free to walk up but if you want to walk out onto the glass floor viewing platform at the top, you must buy a ticket for 30pesos. You may have to wait about 10-15 minutes to enter this video no area (and need to remove shoes).",,5,"Vancouver, Canadá",,mar de 2024
Lighthouse/market 1/2 day tour,"Had a wonderful day with our guide Raul.  He was very knowledgable with the history and folk tale.  Walked the lighthouse with us and the tour of the market , helped to answer questions.  Church was beautiful to see inside!",,5,"Columbia Británica, Canadá",,dic de 2023
Faro y puente de cristal,"Muy buena experiencia, tienes que tener buena condición para subir hasta lo más alto del faro. Al finalizar el recorrido puedes entrar al nuevo puente de cristal. Muy recomendable !!",,5,"McAllen, TX",,dic de 2023
La mejor vista de Mazatlán ,"Uno de los lugares turísticos que hay que visitar cuando estás en Mazatlán, ir preparados con botellas con agua, o bebidas rehidratantes, sino llevas ahí venden a buen precio, eso sí, no lleves bebidas alcohólicas por qué no te darán acceso el personal de seguridad. Llevar calzado deportivo evitando chanclas ya que es una caminata de 30 a 45 minutos entre la vereda y 336 escalones. En boleto para pasar al mirador que tiene puente de vidrio es muy barato por lo que se vale la pena pagar los $30 MXN, ir muy temprano para evitar el calor del día, o por la tarde.",,5,"Ciudad de México, México",,nov de 2023
Great place to check out!,Beautiful hike! Definitely get the glass platform ticket that is a few dollars. There are cats everywhere which took the steep hike off my 11 year olds mind. Beautiful views of the city! Shop at top to get cold water was handy.,,5,"Melbourne, Australia",,oct de 2023
El faro natural más alto del mundo.,"Es un lugar que aparte de la función de seguridad para los barcos, ofrece increíbles panoramas para tomar unas excelentes fotos.Mucha gente acude también para mantenerse en forma, pues el ejercicio al subir y subir escaleras, ayudan a mantener nuestro físico sano y fuerte.La información que se tiene, es que es el faro natural más alto del mundo y lo tenemos en Mazatlan!!",,5,,,nov de 2022
UN LUGAR FANTÁSTICO ,"Es un lugar increíble desde el que se aprecia Mazatlán, el lugar está hermoso y el mirador está increíble. Se recomienda ir muy temprano por la mañana ",,5,,,sept de 2023
El faro,"Vista excelente, subida pesada pero vale la pena la experiencia. Recomendable llevar agua y calzado cómodo. ",,5,,,ago de 2023
Opción económica a visitar ,"Recomiendo visitarlo, es un lugar muy bonito. El acceso es gratis y  solo para tomarte las fotos en el mirador de cristal hay que pagar 30 pesos por persona. Subirlo es algo pesado para quien no tiene condición y no lo recomiendo para niños muy pequeños o personas de la tercera edad. Aproximadamente se pueden tardar unos 30 minutos. Cómo recomendación, hay que ir desde muy temprano para que el sol no sea una molestia y llevar mucha agua. Además de usar zapato cerrado.",,5,"San Nicolás de los Garza, México",,jul de 2023
