Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Fue un gran viaje,Fue un gran viajeUn viaje en barco muy interesanteComida deliciosa¡Estábamos muy contentos!recomiendo¡Buena suerte a todos!,,5,"Krasnodar, Rusia",,abr de 2025
Restaurante nenas ,Un buen lugar para pasar en la playa tranquila para comer rico ala orilla del mar y unas ricas bebidas preparadas con camastros amacas,,5,"Isla de la Piedra, México",,mar de 2025
Pasé un mes en la zona.,Stoney isla era nuestro lugar Go To para relajarse en la playa. Si compraste comida y bebidas. Tienes un paraguas y sillas de los restaurantes. La comida y las bebidas eran buenas. Menos vendedores y ruido que las principales playas.,,4,"Stoney Creek, Canadá",,ene de 2025
Relajarse con los lugareños.,Es una playa local 🏖️. Bonito con restaurantes y todo lo normal de la playa. El agua estaba fría en febrero. Es bueno relajarse con los lugareños.,,4,"Arlington, TN",,feb de 2025
"Una playa, tranquila y relajada para disfrutar un día en Mazatlán","Estuvimos más de medio día  en esta playa, nos divertimos porque tienen diversas actividades. Nosotros aprovechamos y paseamos en caballo, nos subimos a la banana y estuvimos nadando en la playa, aunque hay más actividades tambiénLa playa es muy accesible para nadar, había muchos niños en ella, el oleaje es muy tranquilo y hay diversidad de  restaurantes para comerNosotros tomamos un Tours y nos pasearon también por las islas gemelas antes de llegar a la isla que en realidad es una península, y en este Tour también nos tocó ver, a unos leones marinos",,5,"Ciudad de México, México",,dic de 2024
Embarcadero isla de la piedra en Mazatlán Sinaloa,Excelente lugar si no quieres gastar la verdad es que nos cobraban 40 pesos y de vuelta te sale Super económico y además puedes estar todo el día o o el tiempo que tú quieras en la isla de la piedra esto no lo recomendaron porque si tomas un Tour estás expuesto a los horarios de ellos en cambios si tú llegas por tu propia cuenta puedes quedarte y también puedes comer donde tú quieras,,5,"Grand Prairie, TX",,ago de 2024
Visita a la isla de piedra,"Suelo visitar la isla de piedra en diciembre cuando voy de vacaciones a Mazatlán. Es un lugar muy bonito que me hace sentir increíblemente feliz y tranquila, aunque también me pone nerviosa cruzar el mar. Su comida es muy sabrosa y afortunadamente, venden otros alimentos además de mariscos, es un ambiente muy agradable y cómodo. Es un lugar que me gusta mucho, pero no lo recomendaría a las personas que tienen miedo al mar, a menos que lleguen por tierra.",,5,,,dic de 2023
No lierdas la oportunidad de visitar este lugar la pasarás de lujo,"Lugar a visitar en Mazatlán. Isla ubicada en el extremo de la ciudad,  rinda una buena opción de visitar, buenos restaurantes, tours y paseos a precios accesible. Cuenta con todo lo necesario para pasar un día genial. Paseos en moto, catamaran, motos y parachute.",,5,"Monterrey, México",,jul de 2024
Mantente alejado de Playa Sur Tours,"¡TERRIBLE CUIDADO CON LAS ESTAFAS! El promotor llamado Oscar Muñoz nos vendió un ""paquete"" que incluía transporte al muelle, barra libre, un paseo en barco a Stone Island y 2 actividades por persona. Nos estafaron y no conseguimos las actividades. La comida era horrible y la playa era un vertedero. ¡Dinero y tiempo perdidos!",,1,,,jul de 2024
Playa tranquila y bonita,"El lugar es bonito, hay variedad de restaurantes, nosotros fuimos a un tour, la verdad fue bueno, la comida rica, bebidas ilimitadas, lo que no fue tan bueno es que te limitan el tiempo en la playa y aparte te llevan tarde lo que te quita tiempo que no recuperas y el precio si es algo alto",,4,,,jun de 2024
Full-time rving since 1/24,Rving at 3 amigos rv campground $30 a nite. Outstanding. Off the charts.Gourmet food. Ocean front property in Mexico. Viva mexico 🇲🇽 😍,,5,,,jun de 2024
TOUR ISLA DE LA PIEDRA MAZATLAN,"Los tours son un fraude sobre todo ya en la isla, la comida que ofrecen es deplorable no hay atención de meseros, no hay salsas, servilletas,etc. Sirven la comida fría y de mala gana. La atención del.personal es pésima.  No vale la pena lo que pagas (500).En una palabra. PESIMO.",,1,,,may de 2024
STONE BEACH IS AWESOME,"We read about Stone Island on another review and took our family, and LOVED it!  We went from a cruise ship that ported in Mazatlan and simply walked there. We exited the marina area, turned left and walked down the street a few blocks until we hit an intersection, crossed the street and walked straight along the gravel road until we found a small ferry and went over. I believe it cost $3 per person round trip. There was someone there waiting for tourists to try and talk us into sitting in his chairs, but we went a bit further to El Velero restaurant, sat in some lounge chairs on the beach for free, ordered some drinks, and had a great time. The kids played in the sand and ocean while we ate fresh cannolis. There was also a message therapist/chiropractor named Sonia outside Estebin restaurant (just prior to El Velero) who was great! This beach was our favorite stop of all the ports. We enjoyed this way more than touring Mazatlan itself with an overpriced tour.",,5,"Twin Falls, ID",,feb de 2024
Beautiful area close to cruise terminal,"We picked this bean from aa review on Trip Advisor and it did not disappoint. A short 10-15 min walk from cruise terminal to water taxi, $3 pp round trip (they collect tickets on the return trip),  so many restaurants to choose from and we just got some drinks and nacho and no charge for the chairs. Beach are was so wide, tons of room. Plenty of people just laid in the sand.  There are several vendor that try and sell their goods, but not too pushy. Great relaxing day",,5,,,feb de 2024
Stone Island Mazatlan,"Love this piece of Mazatlan- actually an Isla across from the harbour of Mazatlan.If on a cruise ship you simply step outside the terminal gate and turn left.Walk about three blocks and down a gravel road to the Embarcadero.Pay 3.00 and get a “returno” ticket , walk down the wharf and onto a “Panga”which will whisk you across to the Isla in about five minutes.Once on the Isla simply cross the road and walk down onto the beautiful beach that runs for miles.There are a number of beach style eat/ drink establishments along the way.Highly recommend El Velero for very good food off a wide variety of menu offerings.Same for drinks. You can eat at your  lounge chair under your umbrella or at the restaurant.Your choice, great service and pricing and they do not charge for beach chairs , unlike some other venues.We had a great day and have agreed to return in the future to bask in the sun once more.",,5,"Los Ayala, México",,ene de 2024
Mazatlan bello,"En general bien, recomiendo mucho ir a la isla de piedra, usen ubers las pulmonías tienen lo de bonitas, lo que tienen de caras, uber es la mejor opción.",,4,,,ene de 2024
Inhumane.,"I loved the people and the island it's like going back in time. However....after seeing SO many stray animals there as I seemed to be the only one feeding them. I asked around and no one gets their animals fixed even when the local animal rescue group pays 3k in US to get the mobile clinic there. THEN  to find dead carcasses on our walk ...some of the people there will put POISON out in meat to ""control the population "". I personally will not go back and spend any of my money there. Inhumane and just stupid. I noticed alot of US and Canadian citizens renting there hopefully they will get involved. ",,2,,,dic de 2023
Friendly town that looks like the real Mexico,A charming slice of the real Mexican lifestyle. Good restaurants and way too many Beach vendors! LOL,,4,"Mandeville, LA",,nov de 2023
