Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
¡Divertido y seguro!,"Estoy muy impresionado con Mazatlán, Mx. . La gente aquí es amable. . nos alojamos en El Cid resort el Moro. . Me encantó el complejo, las piscinas eran divertidas y el personal de los restaurantes nos cuidó mucho. . . Mis hijos también se alojaron en el club infantil, Leti y Susan cuidaron mucho de mis dos hijos mientras disfrutaba de mi tiempo en la piscina. También dimos un paseo hasta el Malecón, NO hay problemas durante mi paseo, la vibra era divertida y segura . . . todos conduciendo y caminando nos lo estamos pasando genial . . . Gracias Mazatlán este es ahora mi nuevo lugar de vacaciones. . . Volveré en mis próximas vacaciones!",,5,,,ago de 2025
Un mes en Mazatlán,"Acabamos de pasar un mes en Mazatlán. No estoy de acuerdo con algunas críticas. La infantería de marina, la patrulla fronteriza y la policía están allí para mostrar a todos una presencia. Una sensación de seguridad. Mientras estuvimos allí por treinta días oímos de solo 2 cosas. Un accidente de tráfico en la carretera principal y un pequeño problema de cartel fuera de la ciudad. Todo allí es bastante pacífico. En todas las zonas turísticas. Centro, Zona Dorada y Cerrito. No estábamos asustados ni un poco. Salimos día y noche. Hasta las 11 pm. Espero permanecer callado con la excepción del carnaval. Les encantan sus carnavales. Encontré que toda la zona era senior ex pats y locales / mexicanos. Una buena mezcla. No es un lugar para los jóvenes ni para nadadores. El agua siempre está agitada. Mis 2 quejas más grandes fueron 1) el ruido... Estéreos, buggys de dunas off road y coches y bicicletas sin silenciadores. 2 ) es bastante humeante. . Cada noche. Sentí que tenía unos cigarrillos. Also. Los conductores distraídos tienen el derecho de inmediato. Sobre peatones. Haha. Tan loco como eso. No nos arrepentimos de haber ido. Diciendo eso. No creo que volvamos.",,3,"Stoney Creek, Canadá",,ene de 2025
Maravilloso,"Ubicado en la zona más turística de Mazatlán, su recorrido es inmenso y lleno de alegría, cuenta con esculturas, puestos de vendimia, restaurantes y atracciones turísticas como zona de clavados y piscina natural. Es el segundo más grande del mundo solo superado por el del Rio de Brasil, sin embargo los locales cuentan sobre una posible ampliación para tomar el primer lugar, esperemos que sea cierto ya que el ambiente y la gente lo amerita.",,5,"Naucalpan de Juárez, México",,ene de 2025
Caminando por el Malecón,"Hermoso El Malecón de Mazatlán he caminado en dos ocasiones, otras varias en camioneta y pulmonía, a todas horas es fascinante, pero las puestas de sol son imperdibles",,5,,,dic de 2024
"Nunca más, por desgracia","Mazatlán no es seguro. Lamento escribir esto, pero estuvimos allí una semana y el Malecón estaba prácticamente vacío, al igual que la playa. La violencia del cártel tiene a todos fuera de la vista y para nosotros y otros no mexicanos que conocimos durante nuestra estancia, había una clara sensación incómoda entre todos nosotros que definitivamente no éramos bienvenidos. No salimos de nuestro hotel en Centro en el malecón durante los últimos 2 días de nuestra estancia como resultado de las docenas de personal militar y otros policías por todas partes. 3 pick ups de cañonera cargados con un . Cañón touret de 50 cal y 4 más con C-7 en la parte trasera conduciendo arriba y abajo de la calle en un bucle. No vimos una sola familia no mexicana caminando por el malecón en 7 días. El cártel claramente es dueño y opera Mazatlán y todo el mundo parece saberlo. Decenas de edificios vacíos y proyectos de construcción de edificios a medio terminar.",,1,"Edmonton, Canadá",,dic de 2024
Tranquilo ,"Es enorme y con muchas esculturas, es ideal para ver el atardecer, de día me parece bonito de noche siento que le hace falta iluminación.",,4,"Ciudad de México, México",,dic de 2024
Espectacular,"Todo me Encanto. Las comidas el acuario, Las compa en el mercado el ambiente en la playa incredible si quieres divertirte este es el lugar. Lo mejor de todo el faro y el malecon fabulosas vistas para fotos.",,5,,,sept de 2024
Hermosa zona y gente maravillosa!,"Bajamos durante el carnaval y sí, estaba ocupado, pero uno de los mejores espectáculos que he visto! Mucho que ver y hacer. Un montón de grandes opciones de comida para cualquier presupuesto y grandes Compras",,5,"Moose Jaw, Canadá",,ago de 2024
Caminando por el malecón,Caminamos desde el área de Cliff Divers hasta el malecón y fue un agradable paseo. El área de buceo desde acantilados es grande y cuenta con vendedores ambulantes donde comprar fruta fresca y bebidas (nos perdimos el espectáculo y simplemente pasamos un rato). Las estatuas a lo largo del paseo eran bonitas y ofrecían excelentes oportunidades para tomar fotografías. Caminar por la calle Beatles Cavern Club fue genial para ver más oportunidades para tomar fotografías. Una buena manera de ver los sitios a pie y pasar un par de horas.,,4,"Grove City, OH",,abr de 2024
Paseo en familia,"Un paseo excelente! La playa un poco fuerte el oleaje pero muy limpia, las bandas bien chéveres, un ambiente muy bueno para pasar el dia",,5,,,may de 2024
