Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Excelente!!!!,"Vine a Puebla desde Cuernavaca exclusivamente al Acuario Michin Puebla por recomendación de las redes sociales de mi ciudad. Aprendí muchas cosas entre ellas el cuidado de las especies!! La misión del Acuario es increíble!!! La atención fue muy buena, en el área de taquilla un poco lento pero nada que compensara mi visita con un BIENVENIDOS!! Recomendablemente al 100%, regresaré pronto!!!",,5,"Cuernavaca, México",,ago de 2025
Tiene el potencial de ser mucho mejor.,"Normalmente escribo mis reseñas en Español pero escribo esta en Inglés para las familias que pueden estar viajando y considerando este acuario como una parada en sus viajes. Lo primero que debes saber - no te molestes en comprar boletos por adelantado. Es un infierno. Comprarás tus boletos para la entrada de las 9 am y estarás en fila durante 40 minutos esperando a que te permitan entrar. Es 10.000 años luz más rápido comprar un boleto a pie - sin cola, y entras. Por qué esto no se anuncia está más allá de mí. Las experiencias de los animales comienzan a las 11 , y la mayoría de los animales en la sección al aire libre ni siquiera están fuera si estás allí antes de las 10-11 . Hay un montón de pequeños tanques abiertos - superiores sentados justo a la altura de los niños pequeños, pero NO SE PERMITE TOCAR. Así que diviértete apartando a tus niños de los tanques de no tocar. Esto incluye las rayas picadoras, solo puedes tocarlas si pagas por alimentarlas. El acuario en sí es pequeño pero interesante, y hay actividades cubiertas como una zona de trampolín y una pared de escalada. Si aún no está en camino en términos de cosas que planeas hacer, omítelo con seguridad. Si ya estás en la zona buscando algo que hacer, eh. Puede también.",,3,"Edimburgo, UK",,ago de 2025
Pésimo servicio,"Acabo de visitar con mi sobrina y mi hermano. Fuimos a la parte de la pista de patinaje y el joven atendió con un pésimo carácter. Mi hermano le pidió patines para mi sobrina y le pidió apoyo para que le recomendara una talla, el joven solo dijo ""no se, dime la talla"" le pidió talla 9 y dijo ""no tengo"" pegunto nuevamente cual era la talla mas pequeña y solo entrego los patines mas rotos. Al lado había una especie de zapatera qué mi sobrina confundió con una banca, (hay que recalcar qué el joven no dio mas indicaciones qué cualquier accidente te era responsabilidad nuestra y que era muy normal que eso pasara)Al salir de la pista de patinaje mi hermano se despidió y el joven solo hizo gestos de desagrado.Al transcurrir la estación un joven y una señorita se hacercaron a mi hermano, diciéndole que lo tenían grabado y tenía que pagar, el les comentó que no tenía problema en pagar, sin embargo que la atención recibida fue desagradable. Solo volvió a insistir en el pago pero que daría un formato para llenar.Después de llenar el formato la señorita volvió a solicitar el pago, lo cual dijo nuevamente que pagaria sin embargo solicito el recibo por el pago que se realizaría, la señorita dijo que no emitan esos comprobantes.Mi hermano insistió en que requería un recibo.La señorita se fue diciendo que iría a tesorería, al final mi hermano tuvo que pedir que la localizaran ya que se tenía que retirar, la señorita llegó pero no le dio el recibo, dijo que si quería podía tomar foto.En la estancia nunca vimos que fueran a hablar con el empleado, seguimos siendo testigos de su pésima atencion.¿Como es posible que tengan cámaras para captar el accidente de mi sobrina, pero no para ver el pésimo servicio de sus empleados ?En ningún momento se nego en realizar el pago, pero ¿por qué era mayor su preocupación por $197 que cobraron y no por solucionar la inconformidad del visitante ?¿Cómo es posible que vayan a cobrar al visitante y no emitirle un recibo de pago ?¿Por qué no actuaron con el encargado de la pista (me mencionaron que el nombre es cristian)? Ay que mencionar que si cristian hubiera atendido vien a mi hermano y sobrina probablemente nada hu ira pasado con la zapatera. Si embargo estaba mas preocupado por ligar xon la chava que estaba asu lado (¿por que eso no lo capto la camara?)",,1,,,ago de 2025
Una gran experiencia!,"Es la primera vez que lo visito, la experiencia fue extraordinaria, y el trato con el personal de maravilla. Agradecimientos especiales a Gabriela Ochoa por su asistencia.Definitivamente regresaré con más familia y amigos, porque hay mucho que hacer en el Acuario.  💙",,5,,,jul de 2025
MAL HABITAD PARA LOS ANIMALES,"Hola, no recomiendo ir a este lugar. Pense que sería buena idea ir, ya que en teoría debería de ser para ayudar a la conservación de las especies. Sin embargo, la mayoría de animales se encuentran en espacios muy reducidos, algunas peceras eran muy pequeñas y tenían demasiados peces amontonados. Además que algunas peceras están abiertas, donde seguramente las personas meten sus manos para tocar a los animales y no hay nadie quien cuide de ellos para evitar esto, el espacio  donde se encuentran los capibaras y las nutrias esta muy reducido. En general creo que deberían tener mejor a los animales con todo el dinero que generan, no puede ser los habitas de los reptiles no tengan ni siquiera plantas naturales, todas de plástico. Para finalizar, en una pecera donde tenían cangrejos uno ya estaba muerto y se veía de tiempo ahí abandonado. Igual un pez beta estaba muerto ya",,2,,,ago de 2025
Acuario Michin el mejor!,"Estamos muy contentos con Acuario Michin, comenzando con la atención y amabilidad de todos sus colaboradores, son muy respetuosos, amigables y en todo momento están dispuestos a ayudar. Desde la atención vía telefónica hasta en las instalaciones; las cuales por cierto, están muy limpias, accesibles, y organizadas.Se nota el trabajo,amor y esfuerzo de cada uno de los que colaboran ahí. Agradecemos sus atenciones y amabilidad a todos.",,5,,,ago de 2025
Visita arruinada por la mala atención del gefe de seguridad Jael,"En el area donde nos ponen el arnes El jefe de seguridad nos atendio en un horario de 11:46 es una persona muy despota ,nos regreso a la fila 2 veces ,y habia personas que nose volvian a formar y el no se daba cuenta porque todo el tiempo estubo hablando por celular , cuando le dije que hubo personas que pasaron sin formarse, me contesto altaneramente quien? Y donde esta ,a lo que le comenté ya se bajo y termino diciendome usted no me va a decir que hacer, ya no disfrutamos el momento un niño se pudo divertir y el otro no",,1,,,ago de 2025
Gran acuario,Excelente lugar y muy bueno para niños y adultos 100% recomendado para un día en familia. No sé lo pierdan está gran experiencia!,,5,,,jul de 2025
Todo menos eso …,"ESTAFADORES! En sus anuncios publicitarios decía que por $255 pesos podías tener acceso a todas las atracciones 🐠🦦🐬🐋 , pero luego llegan los papás y dicen que es un pase para alimentar a las mantarallas + otra actividad🛼⚽️🏊🏻. Eso no es el problema, el problema es que cuando intentamos usar el vale para alimentar a los capybaras , nos dijeron que era para alimentar a un animal sorpresa, nos emocionamos mucho, pero que sorpresa! 😡Cuando intentamos que nos dieran el animal , no era alimentar al animal, era una foto con una guacamaya🦜🥺🙄! Que decepción! El anuncio más engañoso de la vida 😡",,2,"Ciudad de México, México",,dic de 2024
Buena atención,"La señorita fue amable, y describió las actividades de manera clara y breve La recepción en taquilla fue lenta, pero la ayuda fue clara",,4,,,jun de 2025
