Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
"Esta capilla esta dentro del templo de Santo Domingo a 1 cuadra del zocalo.En mi opinión,si bien es un símbolo religioso cristiano,lo sentí muy recargado de cosas y la ostentación del oro empleado hizo preguntarme muchas cosas.Si bien arquitectonicamente y ornamentalmente es exuberante vale la pena visitar","Esta capilla esta dentro del templo de Santo Domingo a 1 cuadra del zocalo.En mi opinión,si bien es un símbolo religioso cristiano,lo sentí muy recargado de cosas y la ostentación del oro empleado hizo preguntarme muchas cosas.Si bien arquitectonicamente y ornamentalmente es exuberante vale la pena visitar",,3,,,jul de 2025
El Resplandor Dorado de la Devoción,"Una explosión de arte barroco que te deja sin aliento. Sus detalles dorados y su riqueza son impresionantes. Es una joya de la arquitectura religiosa, un testimonio de la fe y el esplendor en esta ciudad mexicana",,5,"Villa Ramallo, Argentina",,feb de 2025
Magnífico,Absolutamente impresionante. Una visita obligada cuando en Puebla. Es fácil caminar hasta la concurrida calle 5 de mayu. La capilla está dentro de la iglesia Santo Domingo en el lado izquierdo del altar.,,5,,,feb de 2025
Visita obligada en Puebla.,"Un lugar de visita obligada. La arquitectura fantástica y los detalles intrincados dentro de la iglesia son increíbles. Te sientas allí para empaparte de la enormidad del arte, la arquitectura y la paz.",,5,,,ene de 2025
Un lugar hermoso ,Una joya de la arquitectura se.los quiero recomendar ampliamente para buscar paz y armonía con DIOS En la capilla hay servicio de guías que por una propina te explican todo Te recomiendo ir con ropa adecuada por respeto Hay tienda de cosas religiosas  no dejes de comprar ,,5,,,nov de 2024
"Merece la pena parar, incluso si has visto muchas catedrales.","Hay tantas iglesias hermosas en México que uno puede casi (casi) cansarse de mirarlas. Tómate unos minutos para ver esto. Mira la parte principal de la iglesia y nota la hermosa arquitectura española y el altar. Luego mira la Capilla del Rosario donde los trabajadores indígenas agregaron tanto detalle interesante. Las culturas indígenas de México tenían un estilo de arte mucho más fantástico, y se ve incluso cuando estaban tratando de trabajar en el estilo español aquí.",,4,"Swannanoa, Carolina del Norte",,jul de 2024
El horario limitado ,Es muy bonito tiene cosas muy padres lo recomiendo pero eso si abren muy tarde y cierran muy temprano pero fuera de eso es lo mejor 🤠🤠🤠,,5,"Estado de México, México",,jun de 2024
Capilla del Rosario,Junio de 2024: gran viaje de un día a Puebla desde CDMX. Disfruté de la ciudad y en particular de los sitios religiosos. La elaboración en oro es increíble.,,5,Gainesville GA,,jun de 2024
Mucha paz,"Es una verdadera belleza, no podía dejar de ver y apreciar el lugar,  desde que se entra se siente un ambiente lleno de paz, lo cual pude disfrutar mucho.",,4,,,jun de 2024
La octava maravilla del mundo,"Increíble, el arte sacro es increíble, maravilloso ver como todo está cubierto de oro, me impresiona que cada escultura, cada ángel, todo tiene un propósito en la iglesia y el simbolismo es perfecto, hay guías qué no tienen costo, solo si quieres darles alguna propina sera bien recibida, recomiendo mucho que se acerquen a uno y tener más perspectiva de lo que hay en la capilla",,5,,,mar de 2024
¡Impresionante! ¡FANTÁSTICO! ¡ÚNICO!,¡Absolutamente una visita obligada! La Capilla del Rosario de Santo Domingo Tempke es una joya de arte preciosa y única. Tómate al menos 20 minutos para admirar y descubrir la Capilla.,,5,,,mar de 2024
Impresionante ,Definitivamente se volvió uno de mis ligares favoritos por el diseño y la estructura. Es demasiado impresionante. ,,4,,,dic de 2023
belleza y misticismo,"Una de las joyas más valiosas del barroco novohispano. Es un espacio de una belleza arrobadora,  para entenderlo mejor conviene acudir al día siguiente al Museo del Barroco.  El sitio está muy bien cuidado, aunque la información  y la atención al visitante es un tanto descuidada.",,4,,,jul de 2023
lo mejor,"todos fue muy padre y la verdad disfrute mucho el servicio y la comida , en futuras ocasiones vendría acá",,5,,,jul de 2023
Debes conocerla si te encuentras de visita en Puebla.,"Bella Iglesia que vale la pena conocer si te encuentras en Puebla, es muy impresionante en su interior.",,5,,,jul de 2023
Hermoso,"Extremadamente impresionante y 100% digno de visitar. En mi opinión, más interesante y bonito que la propia catedral.",,5,"Ciudad de México, México",,jun de 2023
Impresionante,"Impresionante iglesia digna de ver, muchas pequeñas capillas en su interior. Muchas estatuas y pinturas. Puedes encender una vela electrónica.",,5,"Nicosia, Chipre",,jun de 2023
Iglesias bonitas de Puebla,"Un lugar muy bonito, asombroso y además céntrico. El recorrido es 15 mins aproximadamente, lo cuál te permite visitar otros lugares del zócalo de Puebla.",,5,,,may de 2023
exhibición gloriosa,"Una exhibición tan majestuosa. El mensaje de la iglesia católica donde “los ricos no irán al cielo” choca con el llamativo despliegue de paredes plisadas en oro. Un lugar muy hermoso que vale la pena visitar, independientemente de tu fe.",,5,Nueva Jersey,,abr de 2023
La capilla más bella de México,"Esta capilla es absolutamente hermosa, de esas cosas que cuando las ves por primera vez te dejan absolutamente maravillado y sorprendido por su belleza.",,5,"Cartagena, Colombia",,nov de 2022
La capilla más bella de México,"Dentro de la Iglesia de Santo Domingo, se encuentra esta fabulosa capilla que te dejará maravillado. Un sitio que no te puedes perder cuando visitas Puebla.",,5,,,nov de 2022
Hermosa,"muy bonita e increíble , vale mucho la pena visitar, pero sobre todo con guía Impactante  los decorados ",,5,,,dic de 2022
Espectacular,Es una visita al visitar Puebla. Una capilla recubierta de oro en estilo barroco que se considera una de las maravillas del mundo,,5,"Ciudad de México, México",,dic de 2022
Imperdible impresionante,Impresionante inperdible si vienes a Puebla. De los 10 mejores lugares para visitar en México.  Visito tantas veces puedo este lugar,,5,"Ciudad de México, México",,dic de 2022
Asombrosa,"Mucha historia y culura a través de esta capilla, inigualable como otras iglesias de la ciudad, pero unica en su estilo, quede maravillado",,5,"Santiago de Querétaro, México",,oct de 2022
Impresionante ¡¡¡¡¡¡¡¡,"Impresionante acabado de la capilla, muestra la riqueza de nuestro México. Muestra como robaban nuestras riquezas todosentre Españoles y monjes",,5,"Monterrey, México",,oct de 2022
