Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Joya del virreinato,"Una de las más impactantes iglesias que he visitado, no importa la religión que profeses, es una visita obligada en Puebla México",,5,"Puebla, México",,ago de 2025
Hermoso,"Una arquitectura hermosa, paz y tranquilidad, un arte qué debes conocer, ver y sentir, sin duda alguna lo disfrutaras.",,5,"Quintana Roo, México",,ago de 2025
Obra maestra de piedra gris,"Capada de gris como un edificio del norte de Europa, esta catedral se encuentra en el centro de Puebla. Casi austero fuera de sus muchas glorias se encontraba dentro. Hermosa.",,5,"Norwich, UK",,ene de 2025
Un hermoso templo colonial imponente,Un hermoso templo colonial imponente. Una decoración impresionante en una iglesia majestuosa. Un lugar imprescindible estando en la ciudad de Puebla.,,5,"Ciudad de México, México",,jun de 2024
Hermosa catedral,Siempre es un lujo y un gozo visitar esta catedral llena de cultura e historia. Solo me gustaría que el área que la rodea estuviera más limpia.,,4,,,feb de 2024
Bonita catedral en el centro de Puebla.,"Pasarás por esta catedral si estás en el corazón de la ciudad. Recomiendo visitarlo, aunque no es el más impresionante de todo México, ¡pero aún así vale la pena verlo!",,4,"Melbourne, Australia",,oct de 2023
La Catedral...orgullo poblano,"La catedral de la ciudad es orgullo de los poblanos, una muestra de arte barroco cuya construcción inició en el siglo XVI. Son imponentes sus dos torres campanario con setenta metros de altura.En esta ocasión la contemplé desde el zócalo ambientado con las celebraciones de ""Todos Los Santos"".Disfruta del centro histórico de Puebla de los Ángeles porque: ¡La VIDA...es un VIAJE!",,5,"Ciudad de México, México",,oct de 2023
Hermosa iglesia,"Imponente iglesia,  bella por fuera y dentro, rodeada de lugares también para visitar y conocer. No te la.pierdas.",,5,,,jul de 2023
Catedral muy bonita,"Muy bonita, no diría que es la iglesia más hermosa de Puebla, pero creo que definitivamente debes visitarla una vez que estés en el centro de la ciudad. Me gusta más la arquitectura exterior que la interior.",,4,"Ciudad de México, México",,jun de 2023
La catedral de Puebla,"He podido visitarla  varias veces y cada día que la veo me sigo asombrando de su belleza y La Paz que transmite, un lugar bello",,5,,,may de 2023
hermosa catedral,La iglesia está frente al parque Zócalo y la plaza en el centro histórico de Puebla. Llegamos cuando la Misa estaba terminando. El organista seguía tocando y el altar mayor estaba iluminado. La Catedral es enorme con muchas capillas. Tiene casi 400 años y es Patrimonio de la Humanidad de la Unesco.,,5,"Fair Oaks, CA",,abr de 2023
La más grande,Es mucho más hermosa e interesante que la catedral de ciudad de méxico y la capilla del rosario en su interior esde lo más bello que he visto.,,5,"Cartagena, Colombia",,nov de 2022
🔹️▫️Catedral de Puebla ▫️🔹️,Es muy bella la Catedral de Puebla  inmueble importante del Centro histórico de la Ciudad. Cuenta con buen mantenimiento ,,5,,,ene de 2023
Majestuosa,La Catedral se encuentra muy bien conservada y muy limpia. Llama la atención el estado de conservación sobre todo por la cantidad de gente que reciben. Un lugar que es una visita obligada para todos los visitantes.,,5,"Ciudad de México, México",,dic de 2022
Majestuosa,"Vine de visita a Puebla donde ahora residen mis padres, y que increíble arquitectura, me recuerda a Morelia o Guanajuato",,5,"Santiago de Querétaro, México",,oct de 2022
Impresindible,"Hermosa y majestuosa Catedral, toda la estructura, su historiay tradición, imperdible a un viaje a Puebla.",,4,"Monterrey, México",,oct de 2022
Majestuosa,"Visitenla aunque no sea por el tinte religioso, el arte es increible, solo que no sea despues de las 7 de la noche porque estara cerrada",,5,,,sept de 2022
Hermosa catedral,"Bella catedral con mezcla de estilos, bien conservada y es un buen lugar para disfrutar de las obras de arte que decoran el templo y sus impresionantes canceles de madera",,5,,,sept de 2022
¡Experiencia maravillosa!,¡Este es un lugar imperdible si estás en la ciudad de Puebla! Realmente disfrute mi visita. Aprendimos mucho de la historia de Puebla. ¡El arte es hermoso!,,5,"Oviedo, FL",,jun de 2022
Muy buen tour por el centro de Puebla!!!,"Excelente el free tour con Berenice!!! Muy simpática, agradable y todo lo que nos contó!!! Muy bueno el recorrido, las anécdotas y todas las paradas! Nos gustó muchísimo!!!",,5,Argentina,,ago de 2022
MAJESTUOSA,"Esta es una Catedral impresionante, no solo por su tamaño exterior, como por su trabajo y riqueza interior Para mi es independiente que creas o no en la religión Cristiana, pero lo que si es innegable, es la meticulosidad , el exquisito trabajo, el cuidado, los detalles de todas y cada una de las partes que  componen esta maravilla",,5,"Oviedo, España",,jul de 2022
Una de las más bellas que yo he visto!,La Catedral del Puebla es de una belleza espectacular! Todo muy lindo y bien cuidado!  Me encantó y quiero regresar muchas otras veces! ,,5,"Santiago de Querétaro, México",,abr de 2022
Hermoso .,Dentro y fuera. El espectáculo de luces nocturno fue lo más destacado de nuestra visita a Puebla. Definitivamente regresaré por eso. W,,5,"Puerto Vallarta, México",,jun de 2022
muy imponente,La Catedral domina el Zócalo con sus imponentes torres gemelas y está bellamente decorada por dentro.,,5,"San Diego, CA",,jun de 2022
El mejor sitio de la ciudad.,"Una impresionante catedral junto a la plaza principal en el centro histórico. Aunque no está tan dorada como otras iglesias, es hermosa por dentro, especialmente el altar. En mi opinión, un poco más románico que barroco español. No te pierdas.",,5,"Miami Beach, FL",,abr de 2022
Silencioso,"Este lugar es espectacular, si usted es religioso, o aprecia la arquitectura o los buenos detalles, debes visitarla.finos detalles que brillan es muy grande y linda.",,5,"Puntarenas, Costa Rica",,ene de 2022
Visita obligada si estás en Puebla,"Si visitas la Catedral, sólo toma en cuenta los horarios de misa en domingo ya que no podrás acercarte al altar y algunas partes interiores. ",,5,,,ene de 2022
Bastante la vista,Muy impresionante por dentro. Un montón de cosas fascinantes para ver. Sin costo de admisión y de fácil acceso. Justo al lado de un parque fantástico.,,5,"Mount Vernon, WA",,oct de 2021
"Edificio importante, pero no impresionante.","Para concluir el recorrido de hoy, mi esposo y yo visitamos la catedral, más significativa como un foco importante para la gente de Puebla que como un ejemplo de arquitectura y decoración interesantes. Encontramos una estructura imponente con altos techos abovedados y las esperadas capillas a varios santos que bordean la nave. Según los estándares del barroco mexicano, la decoración es sobria.",,4,"Albuquerque, Nuevo Mexico",,sept de 2021
Impresionante,"De las Catedrales mas impactantes que he visto, es enorme y por dentro tiene tanto detalles que la hacen única. El órgano es impresionante.",,5,"Tamaulipas, México",,jun de 2021
¡Edificio de la catedral de clase mundial!,"La Catedral de Puebla de los Ángeles es una obra maestra arquitectónica y se puede colocar en par (o mejor) con las obras maestras similares en España, Francia y el resto de Europa. ¡Definitivamente, una de las iglesias más hermosas e impresionantes de América! Su belleza y atención a los detalles es un testamento de amor y alabanza a Dios. Esta es una visita obligada (gratuita) si eres católico o no. Evite los horarios de misa porque no podrá visitar todo el edificio.",,5,"Madison, WI",,jun de 2021
Impresionante,"Bella y impresionante catedral por su linda arquitectura,pinturas y decoracion. Un lugar donde se respira paz y tranquilidad.",,5,"Lakeland, FL",,may de 2021
Hermosa Catedral,Esta catedral no le pide nada a las catedrales españolas. Realmente es muy bonita y está bien conservada. Lástima que no se puede visitar el coro donde está el órgano.,,5,"Ciudad de México, México",,may de 2021
Visita obligada,"No deja de maravillar el ver tanta perfección en una obra antiquísima, su arquitectura es magnífica, su belleza en todos los detalles.",,5,Costa Rica,,abr de 2021
Impresionante,"Increíble, espectacular, fascinante, paz total y armonía en el interior, vitrales e imágenes dignas de admirar.",,5,"Cancún, Quintana Roo, Mexico",,dic de 2020
El exterior es imponente y el Interior mas!,"Esta catedral es una visita obligada  para los que llegan a conocer Puebla, el exterior podría parecerse a cualquier otra catedral pero el interior es impresionante, tanto por su tamaño como por sus pinturas, domos y retablos, tienen que visitarla",,4,"Zapopan, México",,dic de 2020
¿Iglesia grande?,"La mayoría de las catedrales e iglesias son hermosas y esta no es diferente. Muchas iglesias están cerradas, pero esta estaba abierta, distanciamiento social, bancos bloqueados, X en los abiertos para mantener la distancia, gel y tapete en la entrada, salida separada.Gran ubicación también.",,5,"Zephyrhills, FL",,oct de 2020
magnifica,visita obligada si viajas a puebla en esta época de pandemia solo existe el acceso si asistes a misa esta muy controlado su acceso para controlar la sana distancia,,5,"Municipio de Puebla, México",,dic de 2020
Tienes que ir,"Una verdadera Obra de Arte por donde le veas.Las pinturas de las capillas , los Órganos musicales, los pilares, todo !!!Digna de ir a ver !!!",,5,"Puebla, México",,nov de 2020
Una catedral mas,Nada en especial hay k visitarla pk esta en la zona del zocalo y esa parte es bien bonita. Pero la catedral es una mas como muchisimas que hay,,3,,,nov de 2020
"Hermosa, aunque las inmediaciones son un poco tristes","Bellas piezas labradas en madera en el interior, arquitectura antigua. La plaza que tiene cerquita se llena mucho y luce un poco triste.",,4,"Ciudad de México, México",,jul de 2020
Bien recorrido y muy buenas opciones para comer,"Muy bella arquitectura.   Me gustaron las pinturas. Lugar muy apacible ,  se puede orar y meditar . Relajarse y ponerse en contacto con dios",,4,"Orizaba, México",,feb de 2020
Queda como imborrable recuerdo.,El caminar por su parque y admirar sus edificios coloniales es un deleite visual . Su catedral es por mucho una de las más bellas de la República mexicana. Su belleza exterior es apenas opacado por lo que uno encuentra en su interior.,,5,"Ciudad de México, México",,oct de 2019
Magestuosa.,Una catedral de u tamaño importante y bastante bien mantenida. Resaltamos la belleza de la iluminación interna y externa. julio de 2016.,,5,"Villa Ramallo, Argentina",,jul de 2019
¡Hermoso!,"Una de las más grandes de todo el país, esta catedral realmente te deja sin aliento. El interior es especialmente hermoso y tan grande. ¡No te lo puedes perder!",,5,"Morelia, México",,ene de 2020
preciosa! ,"la catedral es preciosa! sin duda hay que conocerla cuando se viene a Puebla, la joya del centro histórico !",,5,,,mar de 2020
Estupenda,"Magnífica Catedral de la mas española de las ciudades mexicana.Grande, potente, bien conda.A smi me recordaba -un poco- a El Pilar de Zaragoza.Lo",,5,"Logroño, España",,ago de 2019
Visita obligada,"El altar es impresionante, y el Organo espectacular.Vale la pena visitarla y difrutar un buen rato viendo el arte colonial",,5,"Monterrey, México",,mar de 2020
hermosa catedral,la catedral de Puebla es hermosa algo que no puedes dejar de visitar y admirares bonita de dia pero tampoco te pierdas verla de noche con todas sus luces,,5,,,ene de 2020
Preciosa catedral,Vale la pena cruzar el parque y visitar la preciosa catedral de Puebla construida por los ángeles...recorrer sus capillas,,5,"Coatepec, México",,feb de 2020
