Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Recomendado para los que disfrutan la historia,"Exhiben muchos elementos para documentar los hechos importantes que ocurrieron en este espacio, su línea del tiempo es muy completa. Se conecta con el recorrido 'Pasaje Histórico 5 de Mayo' (costo aparte).Entrada MXN $75 durante la semana.Domingos con acceso gratuito.",,5,"Ciudad de México, México",,abr de 2025
Puebla... ciudad de los Ángeles,Lugar increíble. Toneladas de historia de México (especialmente sobre la guerra con el Imperio francés). Tiempo perfecto para quedarse durante horas.,,5,"Ciudad Juárez, México",,jul de 2024
buen lugar,"Trajimos a mi hijo aquí a conocer, muy bello, me enteré que a veces hacen eventos, entonces en mi próxima visita me gustaría asistir a uno.",,5,,,jun de 2024
La vista desde Loreto,"Un lugar de historia pero lo mejor la vista, lo sentí algo abandonado en comparación a otros años que lo he visitado, sin embargo sigue siendo un gran lugar",,5,,,may de 2023
VISTAS INCREÍBLES,"Este lugar realmente se encuentra muy bien cuidado y entra dentro de las visitas obligadas en Puebla, mediante un recorrido en autobús Las instalaciones se encuentran en perfecto estado, todo muy limpio y muy interesante Desde esa zona las vistas sobre la ciudad son increíbles",,4,"Oviedo, España",,jul de 2022
Hermoso lugar ,"Para pasar un día muy bello muy divertido muy interesante encuentras lago para que los niños suban a lanchitas, andar en bicicleta, jugar en el parque, subir a los juegos y al funicular, también se encuentra los museos y el planetario, Es un lugar completo para respirar aire puro para pasar un día muy agradable",,4,"Puebla, México",,may de 2021
excelente lugar,"tiene una vista de toda la ciudad muy hermosa, puedes ver casi toda la ciudad y si tienes suerte se pueden apreciar los volcanes ",,4,"Tuxpan, México",,nov de 2020
"Visita muy recomendada,","Lugar relajante, vista hermosa de la ciudad, a veces tiene espectáculos nocturnos, puedes caminar por sus alrededores, me encanta la replica en escala del monumento a la Revolución, el café punta de cielo que está ahí es excelente, lo único malo son los mosquitos.",,5,"Ciudad de México, México",,sept de 2019
Vayan,"Recorrer el😒 parque subirse al teleférico ver el lago ver el museo de la evolución  caminar , paseo imperdible ",,5,,,ago de 2019
Vista asombrosa,"Visitamos por la noche, por lo que el museo estaba cerrado. Pero, el parque al lado del museo es encantador para visitar por la noche y tiene unas vistas impresionantes de la ciudad. El parque está súper limpio y nos sentimos seguros por la noche.",,5,"Orillia, Canadá",,ene de 2020
nada espectacular ,"los fuertes están muy interesantes para ir a conocerlos pero sólo un ratito, la verdad tampoco hay mucho que hacer en los alrededores ",,3,,,mar de 2020
Relax,"Un día completamente diferente e increíble ..... no pensamos que nos gustaría, pero así fue.... tienes una vista increíble y puedes disfrutar de una muy buena caminata; eso sí, terminas cansado; pero feliz ",,5,"Córdoba, México",,dic de 2019
Sencillo,"Por fuera se ve imponente, tienen algunos cañones de diferente forma en muy buen estado y por dentro tienen muy pocas cosas en las últimas salas.Solo para conocer un poco de historia.",,3,"Tepotzotlán, México",,feb de 2020
Los fuertes ,"Un lugar donde puedes pasar un fin de semana en familia, haciendo ejercicio o bien solo para caminar y despejarse del mundo, sus su increíble vista de árboles y calles poco transitadas. Un punto específico es el rincón de los enamorados debido a que muchas parejas ponen ahí un candado como prueba de su amor, es idea para ir y pasar un rato con tu novi@. ",,5,"Puebla, México",,ene de 2020
Noche de paseo con la familia.,"El lugar esta poco iluminado, pero no le quita lo hermoso, se puede ver parte de la ciudad desde la parte más alta,  y hay un lago que guarda una gran sorpresa en las noche de fin de semana después de las ocho de la noche. ",,4,"Cuitláhuac, México",,ene de 2020
Lugar que estas obligadp a conocer historia y diversión,"Lo recomiendo es genial para aprender la historia de la ciudad de puebla, podras hacer ejercicio en un gran parte de ares verdes, conocer los museos que están dentro del fuerte la verdad es un sitio que vale la pena conocer y muy economico de verdad te vas a divertir ahi se ubica el Teleferico donde podras observar toda la ciudad",,5,"Ciudad de México, México",,dic de 2019
REVIVE TU PASADO SI ERES MEXICANO,"Un lugar con excelente vista a la cuidad cargado de historia, muy limpio y seguro con ganas de quedarte en la zona un buen clima.",,5,"Municipio de Veracruz, México",,oct de 2019
OBLIGADO,definitvamente es una visita obligada en la ciudad si te esta la historia...el museo muestra pocas cosas sin embargo es muy interesante pues hay muchos artículos utilizados durante la batalle del 5 de mayo,,5,"Veracruz, México",,dic de 2018
visita a un lugar cargado de historia,"ha sido una grata visita, recordar la gesta heroica, el lugar está muy bien conservado, la vista de la ciudad es hermosa, así como la vista hacia los volcanes. ",,4,"Puebla, México",,may de 2019
Bueno ,"La vista es grandiosa, puedes pasar un rato agradable porque hay una cafetería y área verde; se ofrecen tours en donde puedes visitarlo por algunos minutos, recomendable ir a una hora en donde no haga mucho calor ya que no te puedes cubrir mucho. ",,4,"Córdoba, México",,nov de 2018
Excelente Lugar para caminar,"Es un lugar en el que se puede caminar mucho, es realmente agradable e inclusive es posible realizar ejercicio o llevar a pasear a la mascota de noche ya que es un sitio muy tranquilo y hay mucha afluencia de personas realizando actividades físicas. El teleférico añade un interés adicional sólo que el recorrido es muy corto.",,5,"Aguascalientes, México",,ago de 2019
"Visita a lugar histórico, por la batalla del 5 de mayo de 1862.","Es lugar recomendado para conocer por las personas que visitan la ciudad de Puebla. Donde se libro la batalla con el ejercito francés, el mejor de la época en ese momento. Las tropas mexicanas comandadas por el General Ignacio Zaragoza  derrotaron a los invasores el 5 de mayo de 1862. Son los fuertes de Loreto y Guadalupe, donde se libro esa importante batalla. Recomiendo conocer a quienes son amantes de la Historia de México.   ",,5,"Puebla, México",,may de 2019
Muy bien cuidado y limpio,Hay muchos tours en época de julio principalmente jóvenes de toda la República. Los precios accesibles y parte de la historia de puebla se observa claramente en este sitio .,,4,"San Mateo Atenco, México",,jul de 2019
Un lugar histórico de México,"Este lugar es digno de verse, sobre todo para los amantes de la historia de México!! el sitio es agradable!!",,4,"Xalapa, México",,feb de 2019
Bonitos pero...,"Muy padre conocer donde fue un fuerte de Puebla, pero faltan guías, información adentro, solo entras y ya. Fui en domingo y ni gente de la taquilla había ( día gratuito), los vendedores me dijeron qué hay un museo ahí pero estaba cerrado. Cuando visiten vayan en tour o en turibus, nosotros salimos de los túneles y ahí no hay taxis para regresar, tienes que caminar unos 800 metros a conseguir uno. Lugar de difícil acceso para personas con discapacidad, pero no imposible. ",,4,"Torreón, México",,jul de 2019
Muy bonito,"Lugar bello para visitar y caminar relajarse con la familia y tomar fotos, es un lugar para disfrutar!",,5,"Mexicali, México",,jul de 2019
Imperdible,"Si visitas la ciudad de Puebla no puedes faltar a esta zona histórica, en ella podrás revivir parte del pasado histórico de nuestra ciudad, en la zona encuentras variedad de museos.",,5,"Puebla, México",,ene de 2019
Visita cercana a sitios de trabajo,"Este lugar se convierte en una maravillosa experiencia , regresa uno al pasado y permite conocer mucho de la historia de Mexico",,5,"Ciudad de México, México",,sept de 2018
Historic place,"The Fort of Loreto is worth visiting. It contains so much pieces of history related to the Battle of 4 de Mayo in Puebla. The admission was 75 pesos and 45 pesos for video taping. This is the fort in the lower part of the hill. We visited Fort of Guadalupe as well seated on top of the hill. El Fuerte de Loreto vale la pena visitarlo. Contiene muchos documentos, fotos y reliquias antiguas. There are several ways to get to these Forts.  Este fuerte se encuentra ubicado en la parte baja del cerro y el Fuerte de Guadalupe esta en la cima del cerro. Este fuerte tambien lo visitamos y nos encanto. Hay varias maneras de llegar a estos fuertes.",,5,,,may de 2019
visita puebla,"se puede apreciar la historia de puebla, ademas de que el transporte turístico te puede bajar aquí y tomas mas tarde otro de retorno",,5,"Saltillo, México",,jul de 2018
