Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
"Neat gardens, pathways and statues","Lovely little square in the centre of Puebla with gardens, statues, and pathways - and plenty of seating opportunities of locals, lovers, and tourists alike. A practical and beautiful public space.",,4,"Norwich, UK",,ene de 2025
Una caminata,A mi hermana le encanta caminar mientras platica y el poder hacerlo en esta zona fue genial. Pasamos un buen rato mientras disfrutábamos de un tiempo libre.,,4,,,jul de 2024
Me encanta venir al zócalo,"Una plaza hermosa en todos los sentidos. Amplia, limpia y con la imponente catedral al fondo. De las más bonitos en donde he estado.",,5,,,ene de 2024
Épico,Debo decir que es un lugar bello y me gusta que tenga lugares para comer a su alrededor. Solo tengan cuidado con sus pertenencias. ,,5,,,dic de 2023
Luce con ambientación de festividades de Todos Santos,"El zócalo de Puebla es el punto central de esta ciudad colonial, al centro del mismo se halla la ""Fuente de San Miguel"", a un costado puede apreciarse la Catedral con sus elevadas torres y al otro destaca el edificio de la alcaldía.Esta ocasión hay algunos motivos alegóricos a la temporada de ""Muertos"" y esto le aporta un ambiente especial.Disfruta de Puebla porque: ¡La VIDA...es un VIAJE!",,5,"Ciudad de México, México",,oct de 2023
Hermoso centro de la ciudad de Puebla,"Hermoso centro se la ciudad de Puebla,  con muy bella arquitectura y lleno de historia. Vale mucho la.pena la visita",,5,,,jul de 2023
Bonito Lugar,"Se pasa un día agradable conociendo el Zócalo de Puebla y sus alrededores, buena comida y excelente ambiente para pasarla bien con la familia y amistades. Recomendado totalmente.",,5,"Ciudad de México, México",,abr de 2023
Hermoso el centro de la ciudad.,"Puebla es una excelente ciudad para pasear. Sobre todo en el zócalo, ahi vas a ver la catedral, restaurantes al rededor y golosinas y dulces.En sí misma, la ciudad habla sola !!!",,5,"Ciudad de México, México",,ene de 2023
Muy acogedor,"Se transporta uno a Europa, se me hace parecido a algunas ciudades italianas.  Es muy agradable y tiene muchos restaurantes a su alrededor",,5,"Cartagena, Colombia",,nov de 2022
Walked a few blocks from our hotel every day to enjoy the Zocalo,"Zocalo—a nice square in the gorgeous historic center. Good restaurants all around and little cafes and bars on square.  Beautiful large trees, cathedral next door.",,5,,,ene de 2023
Hermoso,Fui con un pequeño grupo de familiares al final de un fin de semana de bodas. Fue la manera perfecta de terminar nuestro tiempo en Puebla. Estaba ocurriendo un festival de Navidad y nos encantaba caminar y disfrutar de las luces y la belleza. Gente encantadora que nos hizo sentir bienvenidos.,,5,Phoenix,,dic de 2022
El Zócalo Puebla es un gran lugar para pasar el tiempo,Me encanta el Zócalo de Puebla. Siempre pasan muchas cosas. Un montón de fotografías. Muy colorido y vale la pena caminar en él todos los días.,,5,US,,oct de 2022
Muy encantador y colorido.,Lugar agradable. muy tipico Muchos restaurantes y bares en el mismo centro de una encantadora ciudad colonial.,,5,"Montecarlo, Mónaco",,sept de 2022
No ser extrañado,"El Zócalo es el corazón del Distrito Histórico, un oasis de vegetación con muchas bancas, algunas estatuas y un pabellón. Los fines de semana suele haber alguna actuación de baile y canto al aire libre. El parque está rodeado de muchos excelentes restaurantes además de la Catedral.",,5,"San Diego, CA",,jun de 2022
Viaje a Puebla familia,"Los familiares que lleve se fueron Muy contento, sobre todo la seguridad que hay ahora en Puebla con esta administración",,4,,,abr de 2022
Los Portales,pese a ser un Zócalo pequeño el de Puebla no deja de tener esa magia de sus portales con sus locales de comida que le dan ese sabor tan suyo y que al viajero le gusta le enamora o solo satisface su necesidad de degustar una buena comida ,,5,,,feb de 2022
un día de relax,"Visité el hermoso centro histórico de la Ciudad de Puebla, el clima muy agradable, la Catedral de estilo plateresco, barróco construida entre los siglos XVI  y XVII, rodeada de hermosos edificios coloniales y en un costado los hermosos portales en donde se puede degustar un excelente café además de una buena comida tipica ",,5,"Cuautla, México",,oct de 2021
Un buen lugar sombreado,"Justo en el centro del Casco Histórico ya la izquierda de la Catedral principal. Un buen punto de partida para un recorrido. Una agradable zona sombreada donde uno puede relajarse, pero no hay suficientes bancos para sentarse.",,4,"Miami Beach, FL",,abr de 2022
Precioso,"En general, todo el lugar es hermoso, venta de artesanías, souvenirs, café, restaurantes, de todo un poco, ademas de caminar por entre los  de arboles, que dan sombra hacen mas relajante la caminata.",,5,"Puntarenas, Costa Rica",,ene de 2022
caos,"Tránsito de autos y bicicletas, calles con multiples vendedores ambulantes que ocupan los mínimos espacios para caminar, música altisonante de personas que te piden dinero por todas partes.  Recomiendo planificar cuáles lugares desean conocer e ir específicamente. Poco seguro para niños y adultos mayores, en realidad poco seguro para cualquier persona. Omitiendo todo eso, hay dos o tres cosas que valen la pena. No volvería.",,2,,,sept de 2021
Parada Obligatoria,"Lugar lleno de historia, alrededor de las calles, edificios que conservan su fachada original, la Catedral majestuosa, y el Parquecito cuenta con las letras de Puebla, en éstas fechas está decorado con unas Calaveritas muy simpáticas para tomar la foto del recuerdo.",,4,"Mérida, México",,nov de 2021
Colorido y hermoso,El zócalo de puebla es hermoso!! Muy pintoresco y colorido. Con muchas artesanías que comprar y dulces deliciosos. Fue una bonita tarde recorriendo sus calles y disfrutando.,,5,,,oct de 2021
Gran plaza rodeada de edificios históricos,"Enorme plaza rodeada de iglesias, museos y edificios gubernamentales. Fuerte presencia policial con antidisturbios alrededor de la plaza.",,4,"Savannah, GA",,sept de 2021
Looking ,Todo cerrado todo alrededor de la plaza principal cerrada no se puede caminar los vendedores no hay por ningún lado ah está un poco incómodo en estos momentos puede ser por COVID puede ser porque están arreglando para las festividades del 16 de septiembre oooh puede ser por Pedro Juan y las cotorras que sello simplemente el Zócalo un poco restringido para caminar y ver,,2,"Chicago, IL",,ago de 2021
No está disponible en julio 21,Estuvimos allí el fin de semana y con mucha pena no pudimos apreciar la linda plaza pueblerina. Estaba cercada por madera y no había paso entonces solo comimos los churros típicos de la gran ciudad de Puebla,,1,,,jul de 2021
Una experiencia única,"El Zócalo De Puebla su lugar muy hermoso que alberga mucha  historia y cultura, aquí se puede pasar un rato agradable, dando una caminata por la noche, en la que se puede disfrutar  su mayor esplendor, además el trato de las personas es amable e incluso puedes degustar de diversos platillos en los restaurantes de alrededor.",,5,,,nov de 2020
Mucha historia,El Zócalo De Puebla su lugar con historia con cultura donde puede uno pasar un rato agradable caminar comer en sus múltiples restaurantes incluso entrar a la catedral que es preciosa,,4,"Puebla, México",,may de 2021
Cerrado parcialmente.,"El zócalo de la ciudad de Puebla es muy agradable para caminar, para sentarse a ver pasar a la gente, asearse el calzado.",,4,"Ciudad de México, México",,may de 2021
Increíble,No soy de esta ciudad pero viví aquí varios años y el zócalo es increíble para estar y pasear por aquí. Me gusta mucho cómo lo arreglan en diciembre.,,5,,,may de 2020
NO QUITEN ARBOLES,"Están reparando esperamos solo sea el piso, y no le cambien NADA MAS NO QUITEN ÁRBOLES. ASI ES HERMOSO ",,2,"Puerto Morelos, México",,mar de 2021
Ataff frontal decepcionante,"Si bien he estado aquí muchas veces, el nuevo personal de recepción es grosero y completo sin servicio al cliente. Me informaron que necesitaría agregar mi nombre a una lista de espera durante un tiempo ocupado, lo cual hice felizmente. Después de una hora de no escuchar ninguna actualización, me registré para encontrar muchas mesas abiertas y otros comentarios de los clientes que aconsejaban sobre un servicio grosero. Fuera del servicio de recepción, el resto de nuestra experiencia fue una delicia con asientos abiertos, un excelente menú y un personal feliz. Si puede superar la primera experiencia grosera, no se sentirá decepcionado.",,1,"Urbandale, IA",,mar de 2021
No hay palabras para describir este lugar.,"Sí, podría ser v como soy de Puebla, pero, de nuevo, he visitado la mayoría de los z calos de las principales ciudades de México y, en mi opinión, este zócalo con el de Yucatán siguen siendo los mejores, Ciudad de México. estaría en la lista, pero la ciudad había permitido que los idiotas la invadieran, así que sí. En este zócalo encuentras todo lo que puedas necesitar para pasar un buen rato paseando. Comida por doquier, una linda fuente, al lado de la Catedral más grande de México y todo tipo de vendedores. ¡Sobre todo, definitivamente necesitas visitar el zócalo si estás en Puebla! ¡Ven a Puebla, seguro que te quedas!",,5,"Visalia, CA",,oct de 2020
Muy activo.,"Z calo tiene una bonita fuente en el centro.La oficina de información turística del gobierno, los autobuses turísticos, los restaurantes y las tiendas están abiertos y practican procedimientos de desinfección y distanciamiento social. Agradable para caminar, la Catedral también se encuentra justo allí.",,5,"Zephyrhills, FL",,oct de 2020
bonito lugar,"muy bonito lugar y muy bien cuidado, está muy limpio. sus calles son empedradas y la hispitalidad de la gente agradable",,4,"Tuxpan, México",,nov de 2020
Agradable lugar,"Excelente lugar para pasear ! Incluso ahorita con el tema de pandemia, es un lugar hermoso para pasear a los pequeños",,5,"Ciudad Madero, México",,nov de 2020
Hermoso,"Todo puebla esta muy hermoso, colonial, muy limpio, edificios muy bonitos, mucha historia. Dulces tipicos",,5,,,nov de 2020
Catedral,"Preciosa, imperdible. Tomar un tour para que les expliquen los retablos, hace la gran diferencia recorrerla con un guía",,5,Querétaro,,nov de 2020
No me gustó,Deberia de haber más seguridad  y mucha gente pidiendo dinero con cara de asaltarte  drogada no.me gusto deberían hacer algo,,2,"Puebla, México",,nov de 2020
CATEDRAL SORPRENDENTE ,"La catedral es impresionante, increíble aunque falta algún servicio de guía para que entiendas y sepas toda su historia. Desconozco si hay visita huida al campanario, la hemos visitado por lo menos 8 veces y nadie nos lo ha ofrecido.El zócalo no ofrece nada relevante pero es bonito.",,4,"Ciudad de México, México",,sept de 2020
Caminar por el zócalo y comer ahí es una gran experiencia.,El visitar Puebla y no recorrer su centro histórico sería perderse de algo de la historia de Mexico. Cada calle guarda un secreto y el zócalo en particular a sido testigo de inumerables acontecimientos importantes.,,5,"Ciudad de México, México",,oct de 2019
muy bonito,"es un lugar digno de admirarse, prefecto para pasar un buen rato ahícon muchas opciones para ir a comer, tomar algo o ir de compras ya que hay muchas tiendas cercael único detalle esq hay muchas gente pidiendo limosna, deberían de hacer algo al respecto por que en camino al hotel me tope con uno que en algún momento creí que me jalaría la bolsa",,4,"Poza Rica, México",,ago de 2020
Bello como todos los Zócalos de México.,Tiene una oferta gastronómica muy importante y próximo al mismo una oferta cultural destacable. Julio de 2016,,4,"Villa Ramallo, Argentina",,jul de 2019
El mundo sería un lugar mejor si ...,"El mundo sería un lugar mejor si cada ciudad y pueblo tuviera un Zócalo. Y todo planificador municipal, director de parque y gerente de arte debe visitar Puebla para aprender cómo hacer un espacio público asombroso. No podía tener suficiente del centro de Puebla: las calles y los parques están llenos de gente feliz. Las sonrisas son frecuentes y la risa es fácil. Y eso es en un día laboral. Todo está súper limpio y nos sentimos seguros tanto de día como de noche. El Zócalo, o parque central, es el centro de todo. Alrededor del Zócalo hay suficiente cultura, sitios históricos, calles pintorescas, restaurantes y tiendas para poner celosa a cualquier ciudad.",,5,"Orillia, Canadá",,ene de 2020
¡Imprescindible en Puebla!,"Esta es una plaza típica de una ciudad colonial mexicana, pero es hermosa. Muy grande y llena de árboles. Rodeado de restaurantes y otros comercios. ¡Lugar agradable!",,5,"Morelia, México",,ene de 2020
Olvida todo lo que creías saber sobre México y su gastronomía…. Es mejor !!,"Lo primero de un viaje a México es que México es todo lo que no sabías sobre México…. y más ~ y en una tierra que ofrece lo mejor de las experiencias interculturales que se remontan a miles de años atrás, hasta los mejores alimentos y acompañamientos actuales, modernos pero basados en la tradición, y ofrece todo en una deslumbrante variedad de colores y formas. y sabores. La cocina es exótica, infaliblemente creativa, infaliblemente especiada y aromatizada, y exquisitamente equilibrada en más formas de las que uno podría pensar. Olvídate de los tacos, nachos y tortillas. . eso es solo arañar la superficie de un vasto repertorio que te absorbe y mantiene tu cabeza dando vueltas con más. Verduras frescas y crudas, hierbas secas y flores preservadas, raíces y otras partes de plantas se incorporan de manera creativa, sin apretar y sin vacilar, en la corriente principal de la comida: tanto es así que algunos platos, cuando se sirven, parecen arreglos florales más para deleitar la vista que el paleta ... pero si no lo supiera mejor, se lo perdería enormemente. Yo ? No tenía ni idea ... ¡pero qué manera de aprender! ! Te agarra por tus papilas gustativas y luego baila balanceándote como una muñeca de trapo hasta que está listo ... lo que puede que nunca sea así.Fuimos invitados a visitar México por un querido amigo de nuestro vecindario en NY, que va todos los años. Fue un regalo especial y tuvimos mucha suerte de poder aceptarlo. Además de quedarnos con ella en Puebla durante 5 días, pasamos dos días en la Ciudad de México y luego 2 días en Puerto Vallarta. Cada lugar fue una experiencia en una cultura que asombró y encantó.Puebla tiene docenas de increíbles restaurantes por toda la ciudad antigua. Sin embargo, la mayor atracción son las más de 40 iglesias esparcidas por casi todos los bloques centrales de la ciudad. Y la plaza central, el Zócalo, es el principal punto de encuentro de la ciudad, donde todo sucede… lento y fácil. Los fines de semana, este espacio se llena de puestos de mercado, vendedores ambulantes, comerciantes, etc., y la arcada circundante es invadida por los numerosos restaurantes que ocupan la plaza, que ofrecen alimentos frescos y deliciosamente preparados para un desayuno tradicional, brunch o bien entrada. la cena, todo en mesas al aire libre dispuestas entre una deslumbrante variedad de comerciantes locales que venden sus productos mientras caminan cargando cargas imposibles de cosas, con montones de sombreros y también cargando niños en la cadera, para arrancar. Fascinante. Pero a diferencia de esos vendedores ambulantes en otros países, estas personas no te molestan en tu mesa a menos que uno los llame para algo.Entonces, este era nuestro primer día completo allí, y el domingo es día de mercado, así que salimos a desayunar tarde, y quiero decir tarde: antes de la siesta, casi ... en el Zócalo. Nos instalamos en un establecimiento que parecía prometedor, Puerta Azul, en el lado sombreado de la vasta plaza, y nos servimos una suntuosa comida de huevos, trozos de pollo, tortillas redondas y crujientes con camarones y salsa, pollo con otro tipo y un montón de cervezas y tequila (¡sí!) para empezar el día. ¿Cuándo en México, hacer como…? El brunch se sirve en forma de buffet, así que te sirves todo lo que quieras y te traen el café, los jugos y las bebidas a medida que los pides. No hay prisa: es solo un día más en el parque.Para los tres, nuestra cuenta fue de 432 pesos, que en ese momento era de unos 22 dólares. 00. Es asombroso lo lejos que llega el dólar en algunos lugares.",,5,"Nueva York, Estado de Nueva York",,ago de 2019
Punto de reunión,"Sin lugar a duda, el lugar exacto para reunirse con la familia o amigos es el Zocalo de Puebla, de ahí se puede partir a vivir experiencias maravillosas en ésta Ciudad, y si se cansan, sentarse un momento y ver a la gente pasar, disfrutar las vistas, la fuente, es algo que debes vivir.",,5,"Tehuacán, México",,mar de 2020
"Centro tranquilo, seguro, hermoso: ¡belleza por doquier!","Estuve en mayo del 2018, realizando investigación académica, y por motivos que desconozco mi reseña no aparece, aunque sí está lo que escribí sobre otros lugares durante mi viaje. En fin, Puebla me cautivó a tal punto que quisiera irme a vivir allá.",,5,"Filadelfia, Pensilvania",,abr de 2019
Pintoresco,"Excelente lugar para pasear, comprar dulces y Talavera. También puedes visitar sus famosas iglesias.",,3,"Ciudad de México, México",,mar de 2020
Zocalo,Súper bonito el lugar nos tocó la feria del libro todo muy ordenado y limpio de ahí tomamos el turibus también muy recomendado,,5,,,mar de 2020
Gran centro poblano,"Magnífica plaza, corazón de la ciudad, con edificios nobiliarios y administrativos.Marca el ritmo de la ciudad.Bares y restaurantes para disfrutarImprescindible.",,4,"Logroño, España",,ago de 2019
