Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Agua necesaria,"Sudarás incluso a las 8 am. Tómalo con calma y toma agua. ¡Genial! Algunas personas se ejercitan allí, así que ten cuidado de mantenerte fuera del camino de aquellos que van más rápido.",,4,Wisconsin,,ene de 2025
Impresionado por la vista!,"La caminata me llevó unos 20 minutos, comenzó en la calle Aldama. Thete también es otro lugar donde simplemente caminas directamente desde La Rotonda del March en la calle Abasolo y sigues subiendo. Ypu no necesita ser el mejor excursionista. ¡Qué vista tan maravillosa!",,5,"Houston, TX",,jul de 2025
"Para algunos es cansada la subida,pero les aseguro que no se arrepentirán cuando lleguen y disfruten de la mejor vista.","Recorre las calles de Vallarta y sube al mirador de la Cruz,no te vas a arrepentir con la maravillosa vista que te ofrece.",,5,,,jul de 2025
Fuimos dos veces,"Hay una colina empinada y luego más de 300 escalones para llegar a la cima. Sin embargo, una vez que lo hace, se le recompensa con vistas espectaculares. Vale la pena subir para nosotros. De hecho, tuvimos una visita de amigos mientras estábamos en PV. Volvimos a subirlo para que pudieran verlo.",,5,"Sioux Falls, Dakota del Sur",,abr de 2025
Maravillosa vista de hecho,"En este momento, este es probablemente el mejor mirador de Vallarta, que ofrece impresionantes vistas panorámicas desde el aeropuerto hasta Los Arcos. Llegar a la cima significa abordar una escalera empinada, pero el esfuerzo bien vale la pena. Tómelo a su propio ritmo si es necesario, pero no pierda la subida: la impresionante vista de toda la ciudad es su recompensa.",,5,"Miami, FL",,feb de 2025
"Sucio, duro, abandonado","Realmente estaba deseando el reto como hemos estado - disfrutando de nuestra comida y bebidas en fotovoltaica. ¡El desafío era real! Encontramos muy poca ayuda en las direcciones. Construcción con zanjas brujas y burros. Inclinaciones MUY pronunciadas y NADA en la parte superior. Seguro que la vista era muy agradable, pero nos habían dicho que había baños y snack bar. Todo estaba abandonado y tuvimos que racionar el agua que trajimos! Los escalones de polvo y la colina lo hacían peligroso. Espero que alguien se haga cargo de esto y lo mejore. El tranvía también fue abandonado. Diablos, quería comprar una camiseta que dijera que llegué a la cima del Mirador de La Cruz pero nada que tener.",,3,,,feb de 2025
Vale la pena subir escaleras,"Excelente vista!!! Prepárate para subir muchos escalones pero sin duda vale la pena! Un atardecer único y mágico, de las mejores experiencias",,5,,,ene de 2025
Vaya vista.,"Mirador de la Cruz - 5 estrellas - Muy buena vista (fotos) Este lugar tiene una de las mejores vistas de la ciudad. No tengas miedo de la subida empinada y las escaleras. Hay un montón de lugares para detenerse y descansar en el camino. Dado que hay dos juegos de escaleras, manténgase en el juego correcto para minimizar cualquier congestión en la escalera. La subida está todo sombreado durante la mañana, así que no te preocupes por sobrecalentarte si eliges subir entonces. El funicular junto a las escaleras ha sido abandonado hace bastantes años y ya no hay baños ni cafetería en la parte superior. Solo una plataforma de visión elevada y una cruz con una serie de bancos para sentarse y disfrutar de la vista de la ciudad y la bahía. Cuando subí en enero, el camino debajo de él estaba cerrado al tráfico para la construcción de un nuevo muro de contención, pero estaba abierto a los peatones.",,5,"Wichita, KS",,ene de 2025
¡No te pierdas esta torre de observación en Puerto Vallarta!,"Esto es increíble - un paseo maravilloso, pero algo difícil de encontrar el camino. Nota mis fotos que ayudarán. Sube por Aldama desde el Malecón hasta que termine en un pequeño café. Camina a la izquierda frente a la cafetería por un camino de tierra (puede haber algo de basura en el lado, no te preocupes! ). Es solo una corta distancia a una calle que es empinada cuesta arriba - verá una torre en la parte superior. Una vez que la calle termine (puedes usar los pasos de la derecha), estarás en los pasos de cada lado de un funicular que no funciona. Descansa lo que necesites, ya que pronto estarás en la cima. Excelentes vistas!",,5,"Phoenix, AZ",,nov de 2024
Gorgeous Sunset view!,Hermosa experiencia y maravillosa vista de la Bahia desde el Mirador de la Cruz.Recomendacion:  Llevar calzado comodo y agua!,,5,"Puerto Vallarta, México",,dic de 2024
