Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Escénica y hermosa,Navegamos hacia la Bahía de Banderas en el crucero Discovery Princess. Fue encantador ver toda la bahía desde el agua y desde una perspectiva diferente en lugar de verlo desde un complejo hotelero (donde lo hemos visto muchas veces en el pasado). Toda la zona entrando en el puerto de cruceros de Puerto Vallarta es muy agradable.,,5,"Calgary, Canadá",,feb de 2024
bahia de banderas,bahia de banderas esta ubicado en el estado de nayarit pasando el rio ameca hay transporte para ir a la playa disfrutar con amigos y familiares,,5,"Puerto Vallarta, México",,sept de 2023
Bahia de Banderas,"Muy bonita la bahia de banderas, muy cuidada, donde me hospede, se muy bien, se ve toda la bahia, los atardeceres son muy espectaculares.",,5,"Ciudad de México, México",,may de 2024
¡Hermoso lugar!,"Me encanta aquí, un lugar tan hermoso para ver. Clima increíble y gente tan amable. Me encanta esta bahía.",,5,"Victoria, Canadá",,feb de 2023
"HERMOSAS VISTAS, muchos restaurantes junto al mar para visitar en barco.","Tenemos dos barcos en PV y navegamos al menos una vez a la semana. El tiempo en ""la temporada"" noviembre. - Junio es perfecto.",,5,"Puerto Vallarta, México",,may de 2023
Hermosa “Bahía de Banderas”,"Con vistas y paisajes tan increíbles en el agua, nunca nos cansamos de estar allí. Desde pequeños barcos de pesca hasta enormes cruceros que llegan al puerto y el barco pirata nocturno que zarpa, siempre hay algo diferente para ver. Hay muchos hoteles y resorts a lo largo de la Bahía de Banderas en Puerto Vallarta y hasta Nayarit. Puedes ver ballenas y delfines, tortugas marinas y varias aves marinas. Las playas de arena son agradables para dar largos paseos, hacer picnics o contemplar las puestas de sol. Cada noche, los fuegos artificiales iluminan el cielo en algún lugar a lo largo de la bahía haciéndolo sentir mágico.",,5,"Calgary, Canadá",,nov de 2022
¡Me encanta la bahía!,Podría simplemente sentarme en la playa y contemplar la bahía todo el día. Con la esperanza de ver saltar una ballena o un delfín. ¡Nunca sabes lo que puedes ver!,,5,"Dallas, TX",,dic de 2022
HERMOSA parte de PVR,¡la vista desde nuestro hotel era esta! ¡Se ve así exactamente! Vimos delfines cazando a lo largo de la orilla. fue IMPRESIONANTE,,5,"Atlanta, GA",,oct de 2022
Playas excelentes y con reglas eso es exclente,"un excelente lugar para visitar y mas porque hay reglas en las playas para mantener el orden, en temporada de ballenas desde ahi puedes apreciarlas ",,5,"Puerto Vallarta, México",,ene de 2022
estuve aqui 15dias,"Hermosa playa, pase 15 días en un hermoso resort de la zona, lugar para disfrutar en familia, aguas cálidas con oleaje, playa amplia, limpia,llena de palapas, con varios supermercados cerca. quizás el mar no es tan transparente pero se disfruta mucho.",,5,"Buenos Aires, Argentina",,jul de 2022
Such a beautiful bay with amazing views.  A must see for sure!,"The only concern I had is the fact that there are a few fresh water rivers that run into the bay, and crocodile and alligators tend to swim into bay during the hot summer season.  We actually had a Kayak tour cancelled for safety reasons as a large alligator was spotted nearby our beach.",,4,,,ago de 2022
Awesome Snorkeling,We did 2 boat rides (for Rythems of the Night and Los Veranos Zip line Tour) and did a snorkel.  Our Resort was on the bay too.  Bay of Banderas is my kind of place.  Beautiful.,,5,"Lompoc, CA",,jun de 2022
Nice refreshing water to swim in,The waves are nice and there is marked places to swim. No lifeguards on duty though. The sun gets hot by 10 am so the water is your friend.,,5,"Calgary, Canada",,abr de 2022
"Just beautiful, amazing and every other superlative","We spent two weeks at the Riu Palce Pacifico, from from 27th January to 10th February. It is situated along the horseshoe shaped coastline of the Bay of Banderas, which measures about forty miles long and about 20 miles wide. The bay and it's waters receive natural protection from the mighty Sierra Madre mountain range which frames the bay, which is at the foot of the mountain range. We were reliably informed that it is the largest natural bay in Mexico. Due to the deep waters in the Bay, fishing there is reportedly some of the best in the world. It also hosts the frequent visitors, Humpback Whales and dolphins, sea turtles and rays reside here. A fellow guest informed us that they saw an alligator in the sea Almost on a daily basis, from our sunbeds on Playa Riu Palace Pacifico, we were treated to a display of whales and dolphins surfacing in the Bay. It was an amazing sight to see a whale splash down on the sea and then about 10 seconds later hear the booming sound of the whale hitting the water, brilliant. Our beach, Playa Riu Palace Pacifico, is a turtle conservation and nesting area for turtles. One day we were privileged to see a batch of turtles hatch, totally at the wrong time, and scurry towards the sea. Fellow holidaymakers, on the beach, provided protection on their way from the eagerly awaiting hungry pelicans. It is possible to take a boat tour, from Puerto Vallarta Harbour, to see whales. We could see numerous boats out at sea on a daily basis. It appeared that the boats would wait till a pod of whales was spotted and then speed to the area. A variety of water sports and activities, including wind surfing and boarding are popular in the Bay. Another wonderful sight is to sit with a cold beer and watch the sun set across the bay. Our room was on the 7th floor of the Hotel, sea facing, we were treated to some wonderful views of the Bay. It is possible to enjoy the Bay and all it has to offer directly from your sunbed. We did see slightly different views as we walked the beach, six and a bit kilometres in one direction and nearly three kilometres in the other. The City of Puerto Vallarta is within the Bay, it is an enjoyable experience to walk along the Malecon, see all the unusual statues and sculptures with the backdrop of this beautiful Bay.",,5,"Devon, UK",,feb de 2022
Charming Bay,"Bahia de Banderas is a lovely bay with long sandy beaches. With it being a bay the sea is relatively calm. Crossed the bay to go to the Rhythm of the Nights meal and show, one side of the boat got to see dolphins and the other side saw a whale.We then did a whale watching tour which was excellent",,5,"Bury, UK",,feb de 2022
