number,value,params_embedding_model,params_hdbscan_cluster_selection,params_hdbscan_epsilon,params_hdbscan_metric,params_hdbscan_min_cluster_size,params_hdbscan_min_samples,params_max_df_fraction,params_min_df_fraction,params_umap_metric,params_umap_min_dist,params_umap_n_components,params_umap_n_neighbors,params_vectorizer_max_features,params_vectorizer_ngram_max,state
0,0.4444662969311265,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.05454749016213018,manhattan,34,13,0.8154464149590923,0.02781816822196533,euclidean,0.062397808134481064,6,24,545,1,COMPLETE
1,0.47090736268580763,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.28466566117599995,manhattan,30,9,0.7670150292181416,0.06562980110873458,cosine,0.1824279936868144,12,20,278,2,COMPLETE
2,0.44569857855144535,paraphrase-multilingual-MiniLM-L12-v2,eom,0.28184968246925673,euclidean,22,6,0.9028123317050858,0.04984249841083138,euclidean,0.3637281608315128,2,23,270,2,COMPLETE
3,0.43068776105788453,intfloat/multilingual-e5-small,eom,0.059614704460251716,euclidean,31,3,0.8555086156464757,0.06615960713411256,cosine,0.3314950036607718,9,21,783,1,COMPLETE
4,0.4916818945909197,paraphrase-multilingual-MiniLM-L12-v2,eom,0.035878273781490506,euclidean,22,4,0.8234809834652892,0.0620588786462673,cosine,0.24931925073102318,27,17,817,2,COMPLETE
5,0.483092065924034,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.023093972948637898,manhattan,30,14,0.9045334835153661,0.01709159654405033,cosine,0.012571674274693702,5,16,847,1,COMPLETE
6,0.4950512634942321,sentence-transformers/distiluse-base-multilingual-cased-v2,leaf,0.002085639159357211,manhattan,22,2,0.7488637183035607,0.03630582523615842,euclidean,0.2157368967662603,27,18,296,2,COMPLETE
7,0.4905797454507161,sentence-transformers/distiluse-base-multilingual-cased-v2,leaf,0.15080370696865844,euclidean,19,5,0.8998184949126639,0.025898484817745857,cosine,0.1454518409517176,22,23,391,1,COMPLETE
8,0.434914427867678,intfloat/multilingual-e5-small,leaf,0.09623401949152074,euclidean,24,8,0.8299964475014132,0.008058135616607294,euclidean,0.30464784613148704,21,19,742,1,COMPLETE
9,0.47977581718433104,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.1979952138102537,manhattan,14,3,0.8165231272383214,0.04664006086995967,euclidean,0.2763750952409864,7,25,393,2,COMPLETE
